release_block,release_block_label,observed_in_bronze_calendar,observed_source_families,observed_source_types,observed_source_subsources,timing_support_class,release_block_taxonomy_status,indicator_series_count,indicator_series_ids,notes
bea_activities_of_u_s_affiliates_of_foreign_multinational_enterp,Bea Activities Of U S Affiliates Of Foreign Multinational Enterp,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_activities_of_u_s_multinational_enterprises_2024,Bea Activities Of U S Multinational Enterprises 2024,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_direct_investment_by_country_and_industry_2025,Bea Direct Investment By Country And Industry 2025,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_1st_quarter_2026,Bea Gdp 1St Quarter 2026,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_2nd_quarter_2026,Bea Gdp 2Nd Quarter 2026,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_3rd_quarter_2026,Bea Gdp 3Rd Quarter 2026,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_4th_quarter_and_year_2025,Bea Gdp 4Th Quarter And Year 2025,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_and_corporate_profits_1st_quarter_2026,Bea Gdp And Corporate Profits 1St Quarter 2026,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_and_corporate_profits_2nd_quarter_2026,Bea Gdp And Corporate Profits 2Nd Quarter 2026,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_and_corporate_profits_3rd_quarter_2026,Bea Gdp And Corporate Profits 3Rd Quarter 2026,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_by_county_and_personal_income_by_county_2025,Bea Gdp By County And Personal Income By County 2025,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_gdp_industries_corporate_profits_state_gdp_and_state_persona,Bea Gdp Industries Corporate Profits State Gdp And State Persona,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_new_foreign_direct_investment_in_the_united_states_2025,Bea New Foreign Direct Investment In The United States 2025,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_outdoor_recreation_economic_statistics_u_s_and_states_2024,Bea Outdoor Recreation Economic Statistics U S And States 2024,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_real_personal_consumption_expenditures_by_state_and_real_per,Bea Real Personal Consumption Expenditures By State And Real Per,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_services_supplied_through_affiliates_2024,Bea Services Supplied Through Affiliates 2024,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_u_s_international_investment_position_3rd_quarter_2025,Bea U S International Investment Position 3Rd Quarter 2025,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
bea_u_s_international_transactions_3rd_quarter_2025,Bea U S International Transactions 3Rd Quarter 2025,True,BEA,official,full_release_schedule,official,observed_in_bronze_calendar,0,,Observed directly in the Stage 1 bronze release calendar master.
