model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,exact,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,exact,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
ar,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,pseudo,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,pseudo,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
bridge,exact,pre_advance,A,80,0,0.0,0.0,,,,,4.90367088807278,4.873697083215683,,,,,0.0
bridge,exact,pre_second,S,79,0,0.0,0.0,,,,,4.571323844861157,4.54265384858136,,,,,0.0
bridge,exact,pre_third,T,80,0,0.0,0.0,,,,,4.429520821390448,4.4019297631577015,,,,,0.0
bridge,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,4.883513325058257,4.853299396730429,,,,,0.0
bridge,pseudo,pre_second,S,79,0,0.0,0.0,,,,,4.570841796783709,4.542167880186523,,,,,0.0
bridge,pseudo,pre_third,T,80,0,0.0,0.0,,,,,4.426287779520506,4.398694165093339,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,2.788445797807909,4.46356805928545,8.38770021791417,2.105387259401963,3.800052640029126,3.784987466876214,0.5562468245474955,0.5540416038515261,0.625,0.8,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3634050991117498,0.4182857987935525,0.446858283046135,0.6400234413202737,0.6069695117347123,0.6032557998202812,1.0609486746931336,1.054457314488653,0.810126582278481,0.9113924050632911,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1285859391591345,0.14108766031182934,0.4919093794689865,0.37921572738848497,0.372834262928205,0.3738022973936841,1.0144820672118542,1.0171160890905266,0.8375,0.9375,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,2.787177785975818,4.482837934217012,8.38770021791417,2.1081522159439094,3.797853466106895,3.7840616348302256,0.5571136042128693,0.5550904569535525,0.6125,0.8125,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3634064387396486,0.4182861909405291,0.446858283046135,0.6400402273979674,0.6066158168425781,0.6029134468445192,1.0615789558978315,1.0550998006108092,0.810126582278481,0.9113924050632911,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1285859187852793,0.14108766031182934,0.4919056556005119,0.3792174612782401,0.37279170090889113,0.37376017704993814,1.014601031793638,1.017236865396098,0.8375,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,1.8988480328576056,3.2683308807043554,6.621257018566167,1.8255334908137435,3.750295119515887,3.7280853015923556,0.48967052605636835,0.48677062274752275,0.6,0.7625,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3586664454353085,0.4079914325074125,0.4292506890951503,0.6331710052971361,0.6725374262242988,0.6706226369103132,0.9441539406040275,0.9414658286778622,0.7468354430379747,0.8860759493670886,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1246816956702528,0.1367390558610496,0.490775350381408,0.3729687444298564,0.3744146504457355,0.3741257139876896,0.996907537989032,0.996138222651924,0.8375,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,1.898308025403254,3.274599870011586,6.621257018566167,1.8239363411094032,3.748545939323009,3.7264642906474355,0.489454936060185,0.48657169223296426,0.6,0.7625,1.0
