model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.5220660619756323,,,not_available,1.5897,0.9323660619756324,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
no_revision,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.676662735671639,,,not_available,1.5897,1.0869627356716391,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
bridge,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.3003401037625852,,,not_available,1.5897,-0.28935989623741465,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
midas_umidas,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,-1.1901251250953893,,,not_available,1.5897,-2.779825125095389,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
spf,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.0914,,,not_available,1.5897,0.5017000000000003,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.9404727815787433,14.112941428052261,3.756719503509979,model_implied_state_space,1.5897,0.35077278157874336,False,False,2,-7673.733338119839,-8672.313149082278,-7673.733338119839,511.9237515584018,0.0625314760287,3.0,0,{},14,expanding,40,1947:Q2,,,0.0
standard_dfm,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,0.9518081262210565,,,not_available,1.5897,-0.6378918737789434,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
release_dfm,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,0.9518081262210565,,,not_available,1.5897,-0.6378918737789434,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
revision_dfm_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.473442285401794,13.372750020650072,3.656877085800133,model_implied_state_space,1.5897,0.8837422854017942,False,False,2,-2612.008036080668,-3647.582056421837,-2612.008036080668,377.35187403413966,0.1261894505600338,3.0,0,{},14,expanding,40,1947:Q2,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.587359385365094,8.593375490542263,2.9314459726459674,model_implied_state_space,1.5897,0.9976593853650939,False,False,2,-4332.7809962661695,-5850.402869240945,-4332.7809962661695,453.5008850024469,0.09473034934017097,3.0,0,{},14,expanding,40,1947:Q2,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.4624492667134312,12.557129332202521,3.5436040032998215,model_implied_state_space,1.5897,0.8727492667134313,False,False,2,-4431.656284409866,-5863.431065462268,-4431.656284409866,386.01888901324855,0.08010892519634738,3.0,0,{},14,expanding,40,1947:Q2,,,0.0
ar,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,2.6145769497952154,,,not_available,1.2492,1.3653769497952153,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
no_revision,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.5897,,,not_available,1.2492,0.3404999999999998,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
bridge,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.2073875171326245,,,not_available,1.2492,-0.0418124828673756,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
midas_umidas,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,0.900957733199141,,,not_available,1.2492,-0.3482422668008591,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
spf,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,2.0914,,,not_available,1.2492,0.8422000000000001,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,2.01237397801584,6.134763592083153,2.476845492170061,model_implied_state_space,1.2492,0.76317397801584,False,False,2,-7826.269774105582,-8727.160371021957,-7826.269774105582,476.4841232186318,0.05738177324501069,3.0,0,{},14,expanding,40,1947:Q2,,,0.0
standard_dfm,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.0302091630185468,,,not_available,1.2492,-0.21899083698145327,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
release_dfm,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.710190825981572,,,not_available,1.2492,0.4609908259815718,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
revision_dfm_kalman_em,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,2.039782472560131,6.032735671007741,2.4561627940769197,model_implied_state_space,1.2492,0.7905824725601307,False,False,2,-2655.469442875955,-3670.8760630273187,-2655.469442875955,397.0499237823401,0.13003026216822816,3.0,0,{},14,expanding,40,1947:Q2,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.8623468785648865,5.183541799242359,2.276739291012996,model_implied_state_space,1.2492,0.6131468785648864,False,False,2,-4380.662588367688,-5873.591497240367,-4380.662588367688,458.9050341683842,0.09480397134250848,3.0,0,{},14,expanding,40,1947:Q2,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,2.0597984915653544,5.930710973037091,2.4353051088184188,model_implied_state_space,1.2492,0.8105984915653544,False,False,2,-4465.542147824246,-5888.707585376138,-4465.542147824246,402.942355889857,0.08274846250820199,3.0,0,{},14,expanding,40,1947:Q2,,,0.0
ar,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,2.689824280806622,,,not_available,1.4095,1.2803242808066222,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
no_revision,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.2492,,,not_available,1.4095,-0.1602999999999999,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
bridge,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,0.962816912395579,,,not_available,1.4095,-0.446683087604421,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
midas_umidas,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.1366414029402896,,,not_available,1.4095,-0.2728585970597104,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
spf,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,2.0914,,,not_available,1.4095,0.6819000000000002,False,True,0,,,,,,,0,{},14,expanding,40,1947:Q2,,,0.0
