audit_item,value,detail
gdp_target_file_rows,957,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/data/bronze/targets/gdp_release_targets.csv
point_forecast_coverage::exact::pre_advance::A,4,minimum unique target quarters across compared models
point_forecast_coverage::exact::pre_second::S,4,minimum unique target quarters across compared models
point_forecast_coverage::exact::pre_third::T,4,minimum unique target quarters across compared models
point_forecast_coverage::pseudo::pre_advance::A,4,minimum unique target quarters across compared models
point_forecast_coverage::pseudo::pre_second::S,4,minimum unique target quarters across compared models
point_forecast_coverage::pseudo::pre_third::T,4,minimum unique target quarters across compared models
revision_forecast_coverage::exact::pre_advance::DELTA_SA,4,minimum unique target quarters across compared models
revision_forecast_coverage::exact::pre_second::DELTA_TS,4,minimum unique target quarters across compared models
revision_forecast_coverage::exact::pre_third::DELTA_MT,4,minimum unique target quarters across compared models
revision_forecast_coverage::pseudo::pre_advance::DELTA_SA,4,minimum unique target quarters across compared models
revision_forecast_coverage::pseudo::pre_second::DELTA_TS,4,minimum unique target quarters across compared models
revision_forecast_coverage::pseudo::pre_third::DELTA_MT,4,minimum unique target quarters across compared models
