timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,n_obs,bootstrap_reps,block_length,rmse_diff_baseline_minus_model,rmse_diff_ci_low_95,rmse_diff_ci_high_95,mae_diff_baseline_minus_model,mae_diff_ci_low_95,mae_diff_ci_high_95,positive_diff_interpretation
exact,pre_advance,DELTA_SA,ar,bridge,79,5000,4,-0.0401533382126239,-0.12594205927920102,0.037396376219679284,-0.029864524649330926,-0.06642804438947293,0.004491336950912076,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,79,5000,4,0.10847939712025434,0.007625642574288299,0.24546666177674686,0.06854692808634405,-0.010986958309760387,0.16879917451144452,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,0.05423085256067195,-0.07290751222283783,0.17510458157449493,0.010946191560508967,-0.05887215105902386,0.09352118320330664,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,midas_umidas,79,5000,4,-13.188525346704797,-18.153501872054132,-7.805366439516428,-7.462844595794316,-10.654845354684465,-4.506601362966484,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,79,5000,4,0.11554765827055336,0.01763721826931886,0.20846623415094603,0.0642430572508847,-0.002355447309580069,0.1414752402343466,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,no_revision,79,5000,4,0.10847939712025434,0.005278795672814815,0.24193990823023803,0.06854692808634405,-0.011511278436864197,0.16966895244219216,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,release_dfm,79,5000,4,0.036495431052499194,-0.06509228590840105,0.1288583766729899,0.040720576490909266,-0.012017348635125335,0.10746878811782276,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,79,5000,4,0.043401563531880405,-0.061090166795463745,0.14205912282645844,0.023527843059071296,-0.0351034979319595,0.08918709494792565,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,spf,79,5000,4,0.10847939712025434,0.007678317487587844,0.2425379696296273,0.06854692808634405,-0.011149865796171119,0.16725712938206055,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,standard_dfm,79,5000,4,0.036495431052499194,-0.06873717742826888,0.13588909933483131,0.040720576490909266,-0.01316903973955913,0.10858968454611312,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,ar,79,5000,4,-0.10847939712025434,-0.24287074367558809,-0.007550082460163741,-0.06854692808634405,-0.1690864073322359,0.012026529069466371,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,bridge,79,5000,4,-0.14863273533287824,-0.307801954868576,-0.003996531500694001,-0.09841145273567498,-0.21092078649905116,-0.006094336477527393,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,indicator_revision_only_dfm_kalman_em,79,5000,4,0.0,0.0,0.0,0.0,0.0,0.0,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,-0.05424854455958239,-0.16651449885545547,0.05129125073603013,-0.05760073652583508,-0.13922304061304924,0.016573524760419355,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,midas_umidas,79,5000,4,-13.29700474382505,-18.35849654928044,-7.892642612816594,-7.53139152388066,-10.825003030480868,-4.555659160062986,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,monthly_mixed_frequency_kalman_em,79,5000,4,0.007068261150299016,-0.056853230268070404,0.05765497140621414,-0.004303870835459356,-0.061215414527647304,0.04464818769879542,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,release_dfm,79,5000,4,-0.07198396606775515,-0.20100917616656533,0.022379423488902296,-0.027826351595434784,-0.0867765389699015,0.0194191651641112,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,revision_dfm_kalman_em,79,5000,4,-0.06507783358837393,-0.18421938627677448,0.032329304860584544,-0.045019085027272754,-0.11741719982594619,0.016870693016866736,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,spf,79,5000,4,0.0,0.0,0.0,0.0,0.0,0.0,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,standard_dfm,79,5000,4,-0.07198396606775515,-0.20369599335311303,0.021085399800051686,-0.027826351595434784,-0.0848303633625419,0.019755676393152455,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,ar,79,5000,4,0.0401533382126239,-0.03511692912960577,0.12086787674884128,0.029864524649330926,-0.0049951072299176695,0.06585405707080975,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,indicator_revision_only_dfm_kalman_em,79,5000,4,0.14863273533287824,0.004174277695765797,0.31042261127075577,0.09841145273567498,0.005279612010444334,0.2114820675419653,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,0.09438419077329585,-0.040546370174467335,0.22253361942551572,0.04081071620983989,-0.0332572334645489,0.12599655521451356,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,midas_umidas,79,5000,4,-13.148372008492172,-18.224526929339913,-7.875105325933088,-7.432980071144986,-10.788038456754498,-4.554080019055386,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,monthly_mixed_frequency_kalman_em,79,5000,4,0.15570099648317726,0.02877286083084788,0.2840339261865491,0.09410758190021562,0.020621306817817268,0.1841859267302053,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,no_revision,79,5000,4,0.14863273533287824,-0.00024181958831027582,0.3147490836813894,0.09841145273567498,0.005267802460781628,0.21599549481365848,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,release_dfm,79,5000,4,0.0766487692651231,-0.008253788570720965,0.1675050773715524,0.07058510114024019,0.015045279695261779,0.1356115243659646,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,revision_dfm_kalman_em,79,5000,4,0.0835549017445043,-0.021619960528846835,0.19125388763647833,0.05339236770840222,-0.007314220670868632,0.1240229531687694,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,spf,79,5000,4,0.14863273533287824,0.0046282684635947195,0.30625401550828635,0.09841145273567498,0.007792174250211572,0.2072212908780338,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,standard_dfm,79,5000,4,0.0766487692651231,-0.008474075970583214,0.16438490458609498,0.07058510114024019,0.016478353706278565,0.13662740312211463,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,midas_umidas,ar,79,5000,4,13.188525346704797,7.983985083918271,18.275030590713943,7.462844595794316,4.573971161970954,10.766320365707605,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,midas_umidas,bridge,79,5000,4,13.148372008492172,7.908618388923978,18.25164495590674,7.432980071144986,4.5582717180472025,10.766572811278444,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,midas_umidas,indicator_revision_only_dfm_kalman_em,79,5000,4,13.29700474382505,7.97833016020302,18.432076385006056,7.53139152388066,4.5786148222132965,10.850337691171275,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,midas_umidas,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,13.242756199265468,7.957169173487539,18.136902954801965,7.473790787354825,4.572909602578683,10.796551218001992,baseline_has_higher_error_than_model
