table,model_id,timing_mode,checkpoint_id,outcome_id,n_forecasts,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,RMSE,MAE,bias
point,ar,exact,pre_advance,A,80,1.0,0.0,,,,7.136876466075766,2.4019986787197354,-0.0348836821925187
point,bridge,exact,pre_advance,A,80,1.0,0.0,,,,4.873697083215683,2.0735239008375914,-0.08665986755251
point,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,1.0,32.65,9.105742304663422e-05,9.415716183392468e-05,9.991144308162304e-05,3.8424038085406744,2.2405598710981716,0.2527361493927679
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,1.0,34.1,9.081177855984178e-05,9.412878814475096e-05,9.979822504611424e-05,3.7749472467707954,2.1015541639308126,0.0840228356230643
point,midas_umidas,exact,pre_advance,A,80,1.0,0.0,,,,13.366462459510316,8.137926816907179,-1.4902070873138529
point,monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,0.975,46.225,9.808344777077318e-05,9.566845743958204e-05,0.0002499161955071,4.657583212107021,2.2045638876378324,0.3292067544942257
point,no_revision,exact,pre_advance,A,80,1.0,0.0,,,,7.26944298718703,2.553570419453158,-0.1943847229089564
point,release_dfm,exact,pre_advance,A,80,1.0,0.0,,,,3.0658631497628757,1.6259560683385963,0.5613778136832768
point,revision_dfm_kalman_em,exact,pre_advance,A,80,1.0,26.825,9.448498924111892e-05,9.434983379003136e-05,9.982012002949762e-05,3.5252125705474655,1.8702669827357552,0.1344448121229342
point,spf,exact,pre_advance,A,80,1.0,0.0,,,,2.2249600782092696,1.33806625,0.0324862499999999
point,standard_dfm,exact,pre_advance,A,80,1.0,0.0,,,,3.0658631497628757,1.6259560683385963,0.5613778136832768
point,ar,exact,pre_second,S,79,1.0,0.0,,,,6.942115480721942,2.4901407735357477,0.042512275116617
point,bridge,exact,pre_second,S,79,1.0,0.0,,,,4.54265384858136,2.0823601603453783,-0.0567565170461702
point,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,1.0,33.10126582278481,9.082525838606151e-05,9.419516248405888e-05,9.98473011879074e-05,0.5985395768049137,0.447314562944048,-0.0118066889007875
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,1.0,35.40506329113924,9.098361059602224e-05,9.480598399696644e-05,9.99582152741485e-05,0.6486824912748789,0.4835559095024762,0.0573955413729586
point,midas_umidas,exact,pre_second,S,79,1.0,0.0,,,,4.770330173181986,2.073561429579366,0.4285683883104983
point,monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.9620253164556962,47.0126582278481,9.822800956563334e-05,9.624346601843796e-05,0.0002141127235162,0.6102047751845077,0.3979529993017154,0.0235478420702964
point,no_revision,exact,pre_second,S,79,1.0,0.0,,,,0.5696627235545563,0.3997025316455696,-0.0657987341772151
point,release_dfm,exact,pre_second,S,79,1.0,0.0,,,,0.6907381923525489,0.4420605262914328,-0.0075048396001814
point,revision_dfm_kalman_em,exact,pre_second,S,79,1.0,27.26582278481013,9.390884020040644e-05,9.408940900462884e-05,9.998581247246948e-05,0.6659583154417236,0.4514179909360922,0.0654067184507511
point,spf,exact,pre_second,S,79,1.0,0.0,,,,2.3374416593545337,1.447506329113924,-0.033232911392405
point,standard_dfm,exact,pre_second,S,79,1.0,0.0,,,,2.9233852978395793,1.6559888022137654,0.6257983634253164
point,ar,exact,pre_third,T,80,1.0,0.0,,,,6.853900266254954,2.504536216607909,0.0681353139193999
point,bridge,exact,pre_third,T,80,1.0,0.0,,,,4.4019297631577015,2.034724902716331,-0.0398637238758494
point,indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,1.0,32.725,9.255428882675676e-05,9.55818535856093e-05,9.981949810292096e-05,0.3718832432407198,0.2428235632781493,-0.0488531578558047
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,1.0,34.7625,9.337302430714484e-05,9.575149424718192e-05,9.99257024911521e-05,0.3722570235489851,0.2459236819005995,-0.0393700820222154
point,midas_umidas,exact,pre_third,T,80,1.0,0.0,,,,6.1904905088081,2.464334501422958,0.360042216092577
point,monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.9375,44.1125,9.99591069023446e-05,9.554656555927324e-05,0.0002458013824936,0.3786146883386372,0.2623481244873238,0.0010314525589573
point,no_revision,exact,pre_third,T,80,1.0,0.0,,,,0.3621867125530698,0.2402725,-0.0484925
point,release_dfm,exact,pre_third,T,80,1.0,0.0,,,,0.4446166872002175,0.2866196694384428,-0.0044366886745788
point,revision_dfm_kalman_em,exact,pre_third,T,80,1.0,26.3625,9.45382633574773e-05,9.44640821340609e-05,9.989389482669028e-05,0.3729000050180945,0.2455017465486929,-0.039126408240179
point,spf,exact,pre_third,T,80,1.0,0.0,,,,2.380187605841187,1.481165,-0.0809825000000001
point,standard_dfm,exact,pre_third,T,80,1.0,0.0,,,,2.9071466913431796,1.6952067512158628,0.626428932902157
point,ar,pseudo,pre_advance,A,80,1.0,0.0,,,,7.136876466075766,2.4019986787197354,-0.0348836821925187
point,bridge,pseudo,pre_advance,A,80,1.0,0.0,,,,4.853299396730429,2.061680360176223,-0.0626212282907241
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,1.0,33.1125,9.146051472360984e-05,9.426491223982532e-05,9.998204957570086e-05,3.841898947279576,2.233254503745221,0.2703345750771949
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,1.0,34.15,9.10106280346068e-05,9.433888812008758e-05,9.97961956853338e-05,3.773931588337702,2.098583706014643,0.0885841902336807
point,midas_umidas,pseudo,pre_advance,A,80,1.0,0.0,,,,13.55397343598597,8.229496807262095,-1.5805326543914464
point,monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,0.975,46.225,9.796763076845372e-05,9.581733413131506e-05,0.0002499161955071,4.65765808265186,2.2079494780079414,0.3322698510310949
point,no_revision,pseudo,pre_advance,A,80,1.0,0.0,,,,7.26944298718703,2.553570419453158,-0.1943847229089564
point,release_dfm,pseudo,pre_advance,A,80,1.0,0.0,,,,3.051686880620195,1.617840274844697,0.5850074419094152
point,revision_dfm_kalman_em,pseudo,pre_advance,A,80,1.0,26.8375,9.416178523427097e-05,9.415952319202064e-05,9.98343095390544e-05,3.5125104595245618,1.859973728722108,0.1395302905794648
point,spf,pseudo,pre_advance,A,80,1.0,0.0,,,,2.2249600782092696,1.33806625,0.0324862499999999
point,standard_dfm,pseudo,pre_advance,A,80,1.0,0.0,,,,3.051686880620195,1.617840274844697,0.5850074419094152
point,ar,pseudo,pre_second,S,79,1.0,0.0,,,,6.942115480721942,2.4901407735357477,0.042512275116617
point,bridge,pseudo,pre_second,S,79,1.0,0.0,,,,4.542167880186523,2.0691295163901073,-0.0561920369722996
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,1.0,33.063291139240505,9.112845740244507e-05,9.425882265068088e-05,9.986619802264195e-05,0.5983123305166231,0.4465875395906862,-0.0124223619284079
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,1.0,35.34177215189873,9.011679838766233e-05,9.433482603211404e-05,9.927023433575127e-05,0.6479395620337415,0.4820877594485847,0.0568009966174258
