model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,exact,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,exact,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,exact,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,exact,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,exact,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,exact,pre_third,DELTA_MT,0.0,80,0.45,0.4619736015084852,23,14,30,13,1.0525517602521295,1.4045604925963775
ar,exact,pre_third,DELTA_MT,0.1,74,0.44594594594594594,0.45882352941176474,21,13,28,12,1.1342983306491834,1.4326058739972478
ar,exact,pre_third,DELTA_MT,0.2,68,0.4264705882352941,0.44158674803836095,19,12,27,10,1.220271758125884,1.514878702580011
ar,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,pseudo,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,pseudo,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,pseudo,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,pseudo,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,pseudo,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,pseudo,pre_third,DELTA_MT,0.0,80,0.45,0.4619736015084852,23,14,30,13,1.0525517602521295,1.4045604925963775
ar,pseudo,pre_third,DELTA_MT,0.1,74,0.44594594594594594,0.45882352941176474,21,13,28,12,1.1342983306491834,1.4326058739972478
ar,pseudo,pre_third,DELTA_MT,0.2,68,0.4264705882352941,0.44158674803836095,19,12,27,10,1.220271758125884,1.514878702580011
bridge,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,33,15,22,9,0.3997025316455695,0.2787688878309756
bridge,exact,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,25,12,16,8,0.5046213114754097,0.27061739625085474
bridge,exact,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,24,9,12,7,0.5673499999999999,0.27307101904866404
bridge,exact,pre_second,DELTA_TS,0.0,79,0.620253164556962,0.5904761904761905,35,14,16,14,0.23798607594936708,0.2780630076358267
bridge,exact,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6176470588235294,26,8,9,8,0.3465450980392156,0.25866158727345456
bridge,exact,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6607142857142857,23,5,5,5,0.41342105263157897,0.2806081578630765
bridge,exact,pre_third,DELTA_MT,0.0,80,0.4875,0.47988686360779387,14,23,18,25,1.0525517602521295,0.9418677273544207
bridge,exact,pre_third,DELTA_MT,0.1,74,0.4594594594594595,0.4514705882352942,12,22,18,22,1.1342983306491834,0.9176987656854962
bridge,exact,pre_third,DELTA_MT,0.2,68,0.4411764705882353,0.43417611159546643,11,20,18,19,1.220271758125884,0.847048407154696
bridge,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,33,15,22,9,0.3997025316455695,0.2808687410459879
bridge,pseudo,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,25,12,16,8,0.5046213114754097,0.2743039091870129
bridge,pseudo,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,24,9,12,7,0.5673499999999999,0.27722397271991706
bridge,pseudo,pre_second,DELTA_TS,0.0,79,0.6329113924050633,0.6136054421768707,34,15,14,16,0.23798607594936708,0.2797953138222746
bridge,pseudo,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6323529411764706,25,9,8,9,0.3465450980392156,0.26127531412406135
bridge,pseudo,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6928571428571428,22,6,4,6,0.41342105263157897,0.2843150968084263
bridge,pseudo,pre_third,DELTA_MT,0.0,80,0.4875,0.47988686360779387,14,23,18,25,1.0525517602521295,0.9433884422414645
bridge,pseudo,pre_third,DELTA_MT,0.1,74,0.4594594594594595,0.4514705882352942,12,22,18,22,1.1342983306491834,0.9193439757480782
bridge,pseudo,pre_third,DELTA_MT,0.2,68,0.4411764705882353,0.43417611159546643,11,20,18,19,1.220271758125884,0.8492724592330737
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.0,0.5,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.0,0.5,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.0,0.5,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.0,80,0.0,0.5,0,37,0,43,1.0525517602521295,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.1,74,0.0,0.5,0,34,0,40,1.1342983306491834,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.2,68,0.0,0.5,0,31,0,37,1.220271758125884,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.0,0.5,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.0,0.5,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.0,0.5,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.0,80,0.0,0.5,0,37,0,43,1.0525517602521295,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.1,74,0.0,0.5,0,34,0,40,1.1342983306491834,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.2,68,0.0,0.5,0,31,0,37,1.220271758125884,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.6329113924050633,0.572244623655914,41,7,22,9,0.3997025316455695,0.23759027455464243
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.639344262295082,0.5782657657657658,32,5,17,7,0.5046213114754097,0.22301805686492235
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.6730769230769231,0.6084529505582137,28,5,12,7,0.5673499999999999,0.22565802377815172
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.5569620253164557,0.5006802721088436,36,13,22,8,0.23798607594936708,0.0073833436234426965
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.5490196078431373,0.4411764705882353,26,8,15,2,0.3465450980392156,0.007613811827870302
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.6052631578947368,0.475,21,7,8,2,0.41342105263157897,0.008048379026150831
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.0,80,0.375,0.3846637335009428,19,18,32,11,1.0525517602521295,0.006072947125818619
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.1,74,0.36486486486486486,0.37279411764705883,16,18,29,11,1.1342983306491834,0.0062235062074434255
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.2,68,0.36764705882352944,0.37968613775065385,16,15,28,9,1.220271758125884,0.006507953972710916
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.6329113924050633,0.572244623655914,41,7,22,9,0.3997025316455695,0.2386898565464998
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.639344262295082,0.5782657657657658,32,5,17,7,0.5046213114754097,0.22433994117442274
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.6730769230769231,0.6084529505582137,28,5,12,7,0.5673499999999999,0.22765085042156133
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.5569620253164557,0.5006802721088436,36,13,22,8,0.23798607594936708,0.007352052161125815
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.5490196078431373,0.4411764705882353,26,8,15,2,0.3465450980392156,0.007569875249143726
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.6052631578947368,0.475,21,7,8,2,0.41342105263157897,0.007988503030366965
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.0,80,0.375,0.3846637335009428,19,18,32,11,1.0525517602521295,0.006070814029986382
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.1,74,0.36486486486486486,0.37279411764705883,16,18,29,11,1.1342983306491834,0.0062212263870172835
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.2,68,0.36764705882352944,0.37968613775065385,16,15,28,9,1.220271758125884,0.0065044261791999255
midas_umidas,exact,pre_advance,DELTA_SA,0.0,79,0.43037974683544306,0.41129032258064513,24,24,21,10,0.3997025316455695,7.892394175087946
midas_umidas,exact,pre_advance,DELTA_SA,0.1,61,0.4098360655737705,0.38907657657657657,18,19,17,7,0.5046213114754097,8.579531862868144
midas_umidas,exact,pre_advance,DELTA_SA,0.2,52,0.4230769230769231,0.4003189792663477,16,17,13,6,0.5673499999999999,9.361330820253983
midas_umidas,exact,pre_second,DELTA_TS,0.0,79,0.6835443037974683,0.6802721088435374,34,15,10,20,0.23798607594936708,1.2624732313701699
midas_umidas,exact,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6764705882352942,22,12,5,12,0.3465450980392156,1.4718174010722644
midas_umidas,exact,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.7571428571428571,20,8,2,8,0.41342105263157897,1.8080864450488752
midas_umidas,exact,pre_third,DELTA_MT,0.0,80,0.475,0.4833438089252043,22,15,27,16,1.0525517602521295,5.882434729080702
midas_umidas,exact,pre_third,DELTA_MT,0.1,74,0.44594594594594594,0.45441176470588235,19,15,26,14,1.1342983306491834,6.023056606015501
