model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,DELTA_SA,2,0.06075385945226836,0.045543504004000646,0.04020970879506036,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,2,0.052186172674678025,0.042872844389670206,0.02975425738227111,0.8589770780847003,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,2,0.0666882673339172,0.05135000000000001,-0.05135000000000001,1.0976795208592671,,0.0,0.0,1.0,0.17292274410193953,0.17292274410193953,0.1730654444028398,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,2,0.07609890348142373,0.05423351375511465,0.05423351375511465,1.2525772710984937,,1.0,0.0,1.0,0.171836625176774,0.171836625176774,0.17198027933453783,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,2,0.9617074524147453,0.8706766129116711,-0.4084157927391151,15.829569694585684,,0.5,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,2,0.053722934244170704,0.042386636535644895,-0.033007979444349855,0.8842719578396242,,1.0,0.0,1.0,0.05974160788696386,0.05974160788696386,0.059758293634843355,0.0,0.0
no_revision,exact,pre_advance,DELTA_SA,2,0.0666882673339172,0.05135000000000001,-0.05135000000000001,1.0976795208592671,,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,2,0.05920438204374723,0.042697724331562825,0.041012963683301984,0.9744958193192896,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,2,0.07387120437903184,0.052292725293852316,0.05217686956641221,1.2159096565226313,,1.0,0.0,1.0,0.18466188684946744,0.18466188684946744,0.18472912883585224,0.0,0.0
spf,exact,pre_advance,DELTA_SA,2,0.0666882673339172,0.05135000000000001,-0.05135000000000001,1.0976795208592671,,0.0,1.0,0.0,,,,0.0,0.0
