timing_mode,checkpoint_id,outcome_id,model_id,best_model,mean_squared_error,n_obs,test_stat_vs_best,p_value_worse_than_best_one_sided,included_in_proxy_set_alpha_10pct,method_note
exact,pre_advance,DELTA_SA,bridge,bridge,0.0027233966184313087,2,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,bridge,0.0028861536638034846,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,release_dfm,bridge,0.0035051588531819786,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,standard_dfm,bridge,0.0035051588531819786,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,ar,bridge,0.003691031438345976,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,indicator_revision_only_dfm_kalman_em,bridge,0.004447325000000008,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,no_revision,bridge,0.004447325000000008,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,spf,bridge,0.004447325000000008,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,revision_dfm_kalman_em,bridge,0.005456954836408691,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,joint_indicator_revision_dfm_full_kalman_em,bridge,0.005791043111075037,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,DELTA_SA,midas_umidas,bridge,0.9248812240300597,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,ar,ar,0.014915237765595571,2,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,standard_dfm,ar,0.015720992615193847,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,release_dfm,ar,0.019106793721156343,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,bridge,ar,0.028525463877433804,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,revision_dfm_kalman_em,ar,0.03401090420150993,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,joint_indicator_revision_dfm_full_kalman_em,ar,0.03401850279887114,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,indicator_revision_only_dfm_kalman_em,ar,0.03410585999999995,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,no_revision,ar,0.03410585999999995,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,spf,ar,0.03410585999999995,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,monthly_mixed_frequency_kalman_em,ar,0.03473977424436399,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,DELTA_TS,midas_umidas,ar,0.4073850084190218,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,indicator_revision_only_dfm_kalman_em,indicator_revision_only_dfm_kalman_em,0.21495954500000009,2,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,no_revision,indicator_revision_only_dfm_kalman_em,0.21495954500000009,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,spf,indicator_revision_only_dfm_kalman_em,0.21495954500000009,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,joint_indicator_revision_dfm_full_kalman_em,indicator_revision_only_dfm_kalman_em,0.24907630643438664,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,monthly_mixed_frequency_kalman_em,indicator_revision_only_dfm_kalman_em,0.2512929925006938,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,revision_dfm_kalman_em,indicator_revision_only_dfm_kalman_em,0.255270593393991,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,bridge,indicator_revision_only_dfm_kalman_em,0.265181861547657,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,release_dfm,indicator_revision_only_dfm_kalman_em,0.41536487051973425,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,standard_dfm,indicator_revision_only_dfm_kalman_em,0.41814569308632316,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,ar,indicator_revision_only_dfm_kalman_em,0.4367899373098684,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,DELTA_MT,midas_umidas,indicator_revision_only_dfm_kalman_em,19.873082981737856,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,bridge,bridge,0.0026918843847927795,2,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,monthly_mixed_frequency_kalman_em,bridge,0.0028799841402719494,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,release_dfm,bridge,0.0035053723319541574,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,standard_dfm,bridge,0.0035053723319541574,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,ar,bridge,0.003691031438345976,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,indicator_revision_only_dfm_kalman_em,bridge,0.004447325000000008,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,no_revision,bridge,0.004447325000000008,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,spf,bridge,0.004447325000000008,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,revision_dfm_kalman_em,bridge,0.005405919303292227,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,joint_indicator_revision_dfm_full_kalman_em,bridge,0.005525055975530133,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,DELTA_SA,midas_umidas,bridge,0.9262363180325386,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,DELTA_TS,ar,ar,0.014915237765595571,2,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,DELTA_TS,standard_dfm,ar,0.015743350259801815,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,DELTA_TS,release_dfm,ar,0.01909664357780108,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,DELTA_TS,bridge,ar,0.03108422688582628,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,DELTA_TS,revision_dfm_kalman_em,ar,0.03401139438831565,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,DELTA_TS,joint_indicator_revision_dfm_full_kalman_em,ar,0.03401923773489311,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,DELTA_TS,indicator_revision_only_dfm_kalman_em,ar,0.03410585999999995,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,DELTA_TS,no_revision,ar,0.03410585999999995,2,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
