timing_mode,checkpoint_id,outcome_id,anchor_model,model_id,n_common_forecasts,RMSE,MAE,bias,first_target_quarter,last_target_quarter
exact,pre_advance,DELTA_SA,spf,ar,4,0.22261772186622356,0.14550314039374757,0.11387890991557434,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,bridge,4,0.19628861445707124,0.15481162521728045,0.04306961256276395,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,indicator_revision_only_dfm_kalman_em,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,joint_indicator_revision_dfm_full_kalman_em,4,0.3100212329496549,0.2381156665760441,0.17885773456171322,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,midas_umidas,4,0.6802330921321854,0.4469020710085724,-0.2020858318768895,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,monthly_mixed_frequency_kalman_em,4,0.23892105619369114,0.14582807402021064,0.11302900768698482,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,no_revision,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,release_dfm,4,0.2217168052840871,0.13474201905901542,0.12464520244634165,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,revision_dfm_kalman_em,4,0.3204254192767376,0.25779502119448555,0.18030657506722153,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,spf,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,standard_dfm,4,0.2217168052840871,0.13474201905901542,0.12464520244634165,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,ar,4,0.09838748104696876,0.08036008454753382,-0.06001337920123627,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,bridge,4,0.20399069804743666,0.1831455656700534,-0.16929848440497725,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,indicator_revision_only_dfm_kalman_em,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,joint_indicator_revision_dfm_full_kalman_em,4,0.1537023074608053,0.13480633502773018,-0.13480633502773018,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,midas_umidas,4,0.47101153697238424,0.3477612331004162,-0.34112819774765957,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,monthly_mixed_frequency_kalman_em,4,0.15030650591965466,0.11846008238178471,-0.11846008238178471,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,no_revision,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,release_dfm,4,0.11263635239556764,0.09152721133757843,-0.08501054023159103,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,revision_dfm_kalman_em,4,0.15367239346421316,0.1347530387754858,-0.1347530387754858,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,spf,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,standard_dfm,4,0.10245984592349086,0.0845288942523458,-0.06995759151036024,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,ar,4,0.6295988853033145,0.48949340268920727,0.3896897513886399,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,bridge,4,0.5552759332896955,0.4788809447099557,0.25756770551075003,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,indicator_revision_only_dfm_kalman_em,4,0.5274127178974736,0.5086,0.07469999999999992,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,joint_indicator_revision_dfm_full_kalman_em,4,0.5726276793545612,0.5420338471665762,0.13894546310138847,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,midas_umidas,4,3.2901779203714625,2.6591305078141967,1.1174867773084762,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,monthly_mixed_frequency_kalman_em,4,0.5922996295318197,0.5716509664672424,0.09870209504271181,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,no_revision,4,0.5274127178974736,0.5086,0.07469999999999992,2024:Q1,2024:Q4
