timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,target_quarter,loss_diff_baseline_minus_model,cumulative_loss_diff
exact,pre_advance,A,ar,bridge,2024:Q1,0.7855773239734216,0.7855773239734216
exact,pre_advance,A,ar,bridge,2024:Q2,-0.6561092188970701,0.12946810507635154
exact,pre_advance,A,ar,bridge,2024:Q3,-0.07053545014004434,0.0589326549363072
exact,pre_advance,A,ar,bridge,2024:Q4,-0.00044289376299851135,0.05848976117330869
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2024:Q1,0.22653075746729,0.22653075746729
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2024:Q2,0.11906987412397563,0.34560063159126564
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2024:Q3,-0.2795967448294048,0.06600388676186086
exact,pre_advance,A,ar,indicator_revision_only_dfm_kalman_em,2024:Q4,-0.005950209249091426,0.06005367751276944
exact,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q1,0.5524850014143534,0.5524850014143534
exact,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q2,0.10642088759653745,0.6589058890108909
exact,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q3,-0.5966873886910564,0.06221850031983445
exact,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q4,0.05062258081155048,0.11284108113138493
exact,pre_advance,A,ar,midas_umidas,2024:Q1,-6.858121252587562,-6.858121252587562
exact,pre_advance,A,ar,midas_umidas,2024:Q2,-0.009088496400308982,-6.867209748987871
exact,pre_advance,A,ar,midas_umidas,2024:Q3,-3.3941584319243674,-10.261368180912239
exact,pre_advance,A,ar,midas_umidas,2024:Q4,0.053104823491227374,-10.208263357421012
exact,pre_advance,A,ar,monthly_mixed_frequency_kalman_em,2024:Q1,0.8468959083183526,0.8468959083183526
exact,pre_advance,A,ar,monthly_mixed_frequency_kalman_em,2024:Q2,0.09848080553377259,0.9453767138521252
exact,pre_advance,A,ar,monthly_mixed_frequency_kalman_em,2024:Q3,-0.1823989060212908,0.7629778078308344
exact,pre_advance,A,ar,monthly_mixed_frequency_kalman_em,2024:Q4,0.002064562318215661,0.76504237014905
exact,pre_advance,A,ar,no_revision,2024:Q1,-0.31218151521482485,-0.31218151521482485
exact,pre_advance,A,ar,no_revision,2024:Q2,0.0978852185130688,-0.21429629670175604
exact,pre_advance,A,ar,no_revision,2024:Q3,-0.06291573213851451,-0.2772120288402705
exact,pre_advance,A,ar,no_revision,2024:Q4,0.026146771737672124,-0.2510652571025984
exact,pre_advance,A,ar,release_dfm,2024:Q1,0.4624004308907377,0.4624004308907377
exact,pre_advance,A,ar,release_dfm,2024:Q2,0.1298334675859058,0.5922338984766435
exact,pre_advance,A,ar,release_dfm,2024:Q3,-0.8060037928736986,-0.21376989439705507
exact,pre_advance,A,ar,release_dfm,2024:Q4,0.033129491051418665,-0.1806404033456364
exact,pre_advance,A,ar,revision_dfm_kalman_em,2024:Q1,0.7827629310419983,0.7827629310419983
exact,pre_advance,A,ar,revision_dfm_kalman_em,2024:Q2,-0.19782189158664032,0.584941039455358
exact,pre_advance,A,ar,revision_dfm_kalman_em,2024:Q3,-0.4865089983564109,0.0984320410989471
exact,pre_advance,A,ar,revision_dfm_kalman_em,2024:Q4,0.045239571170448106,0.1436716122693952
exact,pre_advance,A,ar,spf,2024:Q1,0.6176035835239486,0.6176035835239486
exact,pre_advance,A,ar,spf,2024:Q2,-0.5427808169482209,0.07482276657572773
exact,pre_advance,A,ar,spf,2024:Q3,-0.8072172383919204,-0.7323944718161927
exact,pre_advance,A,ar,spf,2024:Q4,-0.05692555044772479,-0.7893200222639174
exact,pre_advance,A,ar,standard_dfm,2024:Q1,0.4624004308907377,0.4624004308907377
exact,pre_advance,A,ar,standard_dfm,2024:Q2,0.1298334675859058,0.5922338984766435
exact,pre_advance,A,ar,standard_dfm,2024:Q3,-0.8060037928736986,-0.21376989439705507
exact,pre_advance,A,ar,standard_dfm,2024:Q4,0.033129491051418665,-0.1806404033456364
exact,pre_advance,A,no_revision,ar,2024:Q1,0.31218151521482485,0.31218151521482485
exact,pre_advance,A,no_revision,ar,2024:Q2,-0.0978852185130688,0.21429629670175604
exact,pre_advance,A,no_revision,ar,2024:Q3,0.06291573213851451,0.2772120288402705
exact,pre_advance,A,no_revision,ar,2024:Q4,-0.026146771737672124,0.2510652571025984
exact,pre_advance,A,no_revision,bridge,2024:Q1,1.0977588391882465,1.0977588391882465
exact,pre_advance,A,no_revision,bridge,2024:Q2,-0.7539944374101389,0.3437644017781075
exact,pre_advance,A,no_revision,bridge,2024:Q3,-0.007619718001529829,0.3361446837765777
exact,pre_advance,A,no_revision,bridge,2024:Q4,-0.026589665500670635,0.30955501827590703
exact,pre_advance,A,no_revision,indicator_revision_only_dfm_kalman_em,2024:Q1,0.5387122726821149,0.5387122726821149
exact,pre_advance,A,no_revision,indicator_revision_only_dfm_kalman_em,2024:Q2,0.021184655610906836,0.5598969282930217
exact,pre_advance,A,no_revision,indicator_revision_only_dfm_kalman_em,2024:Q3,-0.2166810126908903,0.34321591560213144
exact,pre_advance,A,no_revision,indicator_revision_only_dfm_kalman_em,2024:Q4,-0.03209698098676355,0.3111189346153679
exact,pre_advance,A,no_revision,joint_indicator_revision_dfm_full_kalman_em,2024:Q1,0.8646665166291783,0.8646665166291783
