model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,DELTA_SA,79,0.6781421206748107,0.4682494597319136,0.0830363873945812,1.0,1.0,0.5316455696202531,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,79,0.7182954588874345,0.4981139843812445,-8.351340754924108e-05,1.0592108010820322,0.5886505918118786,0.5316455696202531,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,32.48101265822785,9.241286175306608e-05,9.53342417225234e-05,9.998334228583655e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,0.6426043500092059,0.4681145142288508,0.07345511478537675,0.9475953939710431,0.6854545892745892,0.620253164556962,1.0,34.0253164556962,9.109816914658715e-05,9.399412874199304e-05,9.974882774827833e-05,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,79,13.866667467379607,7.93109405552623,0.9838526443098989,20.44802563448066,0.0026899110965452502,0.43037974683544306,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,0.5650492032192114,0.4009383312878267,0.02579238082656621,0.8332312445906442,0.06980988959775467,0.5822784810126582,0.9493670886075949,54.063291139240505,9.891985694458497e-05,9.622525872338448e-05,0.00024972644173642747,0.0,0.0
no_revision,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223114,0.4275288832410043,-0.008320378652386367,0.9461832115424667,0.7003278430952298,0.5949367088607594,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.6473826242073623,0.45159914795640543,0.08236044101600976,0.9546415190419966,0.7232610058227235,0.6075949367088608,1.0,26.810126582278482,9.29545322866549e-05,9.460143414120858e-05,9.993619729766532e-05,0.0,0.0
spf,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223114,0.4275288832410043,-0.008320378652386367,0.9461832115424667,0.7003278430952298,0.5949367088607594,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,DELTA_TS,79,0.40791620019200964,0.2599709855671533,0.01637946087350748,1.0,1.0,0.6075949367088608,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,DELTA_TS,79,0.4916791866250372,0.35909573516181303,0.01926729786961534,1.2053436132068291,0.0004633438481438656,0.620253164556962,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,33.08860759493671,9.195032600929291e-05,9.423655901982397e-05,9.997079964352199e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,0.36209512801052574,0.2391262493352928,-0.050989876311608395,0.8876703789652984,0.0975228512728447,0.5443037974683544,1.0,35.063291139240505,9.069677964295283e-05,9.414941378616833e-05,9.998988823048692e-05,0.0,0.0
midas_umidas,exact,pre_second,DELTA_TS,79,3.1241130194946414,1.247401789736979,0.001797142332922886,7.658712789597703,0.11676293747631505,0.6835443037974683,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,79,0.3788844388883884,0.2640805414541114,-0.017426872474655578,0.9288291043847836,0.41399448104422953,0.5316455696202531,0.9493670886075949,52.78481012658228,9.952550011529466e-05,9.653177612242742e-05,0.00021342543503934005,0.0,0.0
no_revision,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,DELTA_TS,79,0.3637919631069554,0.2423442573273786,-0.020824138717578166,0.8918301428962992,0.10057888675392872,0.5822784810126582,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.3613388505314377,0.23804697938860067,-0.05051730362535569,0.8858163768964127,0.09331155295909052,0.569620253164557,1.0,27.189873417721518,9.311152748880257e-05,9.413889363531711e-05,9.980025456886206e-05,0.0,0.0
spf,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,DELTA_TS,79,0.3671373475049814,0.24650353001034286,0.0022413024488946655,0.9000312989093513,0.1299412659711167,0.5822784810126582,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,DELTA_MT,80,3.8893401754701458,1.714783722642571,0.47868059407946834,1.0,1.0,0.35,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,DELTA_MT,80,2.1290652600630544,1.3161581898563912,-0.4871282937401829,0.5474103997102007,0.1419555129597434,0.675,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.0016142136324435,0.46983226112207355,0.29327879728041983,0.2575280557739766,0.07440526852099832,0.0,1.0,32.65,9.204901379061519e-05,9.441686351281122e-05,9.999513786038745e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,1.0044772523953431,0.47318790702968094,0.29498001196009743,0.25826418031791765,0.07450499407594614,0.3375,1.0,34.6,9.334603216492197e-05,9.504258544803336e-05,9.987787642031327e-05,0.0,0.0
midas_umidas,exact,pre_third,DELTA_MT,80,8.189349081226077,4.3526101793359455,0.5980009767134981,2.1055882776404724,0.09403206979005686,0.375,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,80,1.0279308433696417,0.5290121073426975,0.3213927620421636,0.26429440393328024,0.07463039416055663,0.2625,0.9125,51.8875,0.00010876623984308938,9.74179297847804e-05,0.00035077520041668244,0.0,0.0
no_revision,exact,pre_third,DELTA_MT,80,1.0016142136324435,0.46983226112207355,0.29327879728041983,0.2575280557739766,0.07440526852099832,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_third,DELTA_MT,80,1.1538502570072733,0.6448737143723886,0.5412511350814386,0.29666992470459214,0.08115347703269785,0.2,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.003598672838071,0.4729442363221212,0.29502365921102675,0.2580382860742582,0.07445939860307035,0.2875,1.0,26.0625,9.240964097377479e-05,9.371871046059954e-05,9.95723951507454e-05,0.0,0.0
spf,exact,pre_third,DELTA_MT,80,1.0016142136324435,0.46983226112207355,0.29327879728041983,0.2575280557739766,0.07440526852099832,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_third,DELTA_MT,80,1.1152914893484263,0.6783657351423924,0.35445869894013643,0.2867559634877166,0.08557178137388459,0.2375,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_advance,DELTA_SA,79,0.6781421206748107,0.4682494597319136,0.0830363873945812,1.0,1.0,0.5316455696202531,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_advance,DELTA_SA,79,0.7221269467369036,0.4993623149432482,0.001677136452128321,1.064860778767619,0.5708985983339634,0.5316455696202531,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,33.063291139240505,9.130092294394123e-05,9.483227957699674e-05,9.996425230545331e-05,0.0,0.0
