model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,exact,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,exact,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,exact,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,exact,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,exact,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,exact,pre_third,DELTA_MT,0.0,73,0.3835616438356164,0.39108527131782944,13,17,28,15,1.0894660206381124,1.2321600996109734
ar,exact,pre_third,DELTA_MT,0.1,70,0.38571428571428573,0.39285714285714285,12,16,27,15,1.133212064126823,1.2132356949347094
ar,exact,pre_third,DELTA_MT,0.2,66,0.3787878787878788,0.3869047619047619,10,14,27,15,1.1929954375353848,1.2363360494524684
ar,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,pseudo,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,pseudo,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,pseudo,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,pseudo,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,pseudo,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,pseudo,pre_third,DELTA_MT,0.0,73,0.3835616438356164,0.39108527131782944,13,17,28,15,1.0894660206381124,1.2321600996109734
ar,pseudo,pre_third,DELTA_MT,0.1,70,0.38571428571428573,0.39285714285714285,12,16,27,15,1.133212064126823,1.2132356949347094
ar,pseudo,pre_third,DELTA_MT,0.2,66,0.3787878787878788,0.3869047619047619,10,14,27,15,1.1929954375353848,1.2363360494524684
bridge,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,33,15,22,9,0.3997025316455695,0.2787688878309756
bridge,exact,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,25,12,16,8,0.5046213114754097,0.27061739625085474
bridge,exact,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,24,9,12,7,0.5673499999999999,0.27307101904866404
bridge,exact,pre_second,DELTA_TS,0.0,79,0.620253164556962,0.5904761904761905,35,14,16,14,0.23798607594936708,0.2780630076358267
bridge,exact,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6176470588235294,26,8,9,8,0.3465450980392156,0.25866158727345456
bridge,exact,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6607142857142857,23,5,5,5,0.41342105263157897,0.2806081578630765
bridge,exact,pre_third,DELTA_MT,0.0,73,0.5205479452054794,0.46201550387596896,4,26,9,34,1.0894660206381124,1.221966101083369
bridge,exact,pre_third,DELTA_MT,0.1,70,0.5142857142857142,0.4464285714285714,3,25,9,33,1.133212064126823,1.195925003399785
bridge,exact,pre_third,DELTA_MT,0.2,66,0.5151515151515151,0.41369047619047616,1,23,9,33,1.1929954375353848,1.2237095936662001
bridge,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,33,15,22,9,0.3997025316455695,0.2808687410459879
bridge,pseudo,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,25,12,16,8,0.5046213114754097,0.2743039091870129
bridge,pseudo,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,24,9,12,7,0.5673499999999999,0.27722397271991706
bridge,pseudo,pre_second,DELTA_TS,0.0,79,0.6329113924050633,0.6136054421768707,34,15,14,16,0.23798607594936708,0.2797953138222746
bridge,pseudo,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6323529411764706,25,9,8,9,0.3465450980392156,0.26127531412406135
bridge,pseudo,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6928571428571428,22,6,4,6,0.41342105263157897,0.2843150968084263
bridge,pseudo,pre_third,DELTA_MT,0.0,73,0.5205479452054794,0.46201550387596896,4,26,9,34,1.0894660206381124,1.219473755003951
bridge,pseudo,pre_third,DELTA_MT,0.1,70,0.5142857142857142,0.4464285714285714,3,25,9,33,1.133212064126823,1.193407197886037
bridge,pseudo,pre_third,DELTA_MT,0.2,66,0.5151515151515151,0.41369047619047616,1,23,9,33,1.1929954375353848,1.2214015244220533
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.0,0.5,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.0,0.5,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.0,0.5,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.0,73,0.0,0.5,0,30,0,43,1.0894660206381124,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.1,70,0.0,0.5,0,28,0,42,1.133212064126823,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.2,66,0.0,0.5,0,24,0,42,1.1929954375353848,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.0,0.5,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.0,0.5,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.0,0.5,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.0,73,0.0,0.5,0,30,0,43,1.0894660206381124,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.1,70,0.0,0.5,0,28,0,42,1.133212064126823,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.2,66,0.0,0.5,0,24,0,42,1.1929954375353848,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.6329113924050633,0.5665322580645161,42,6,23,8,0.3997025316455695,0.2513458949982381
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.6229508196721312,0.5574324324324325,32,5,18,6,0.5046213114754097,0.23387522867647506
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.6538461538461539,0.5821371610845295,28,5,13,6,0.5673499999999999,0.23896006445929574
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.5443037974683544,0.4904761904761905,35,14,22,8,0.23798607594936708,0.007555006319237161
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.5294117647058824,0.42647058823529416,25,9,15,2,0.3465450980392156,0.007789036095976327
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.5789473684210527,0.4571428571428572,20,8,8,2,0.41342105263157897,0.00826516138556823
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.0,73,0.2876712328767123,0.2996124031007752,11,19,33,10,1.0894660206381124,0.006433304058612458
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.1,70,0.2571428571428571,0.26785714285714285,9,19,33,9,1.133212064126823,0.0065389639724074385
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.2,66,0.24242424242424243,0.25297619047619047,7,17,33,9,1.1929954375353848,0.006720968771078318
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.620253164556962,0.5561155913978495,41,7,23,8,0.3997025316455695,0.2527269350157739
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.6229508196721312,0.5574324324324325,32,5,18,6,0.5046213114754097,0.2354450628017996
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.6538461538461539,0.5821371610845295,28,5,13,6,0.5673499999999999,0.24123606028862696
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.5443037974683544,0.4904761904761905,35,14,22,8,0.23798607594936708,0.007521677726951824
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.5294117647058824,0.42647058823529416,25,9,15,2,0.3465450980392156,0.00774951834683933
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.5789473684210527,0.4571428571428572,20,8,8,2,0.41342105263157897,0.00821064560098388
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.0,73,0.2876712328767123,0.2996124031007752,11,19,33,10,1.0894660206381124,0.00643704058473071
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.1,70,0.2571428571428571,0.26785714285714285,9,19,33,9,1.133212064126823,0.006541844087861503
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.2,66,0.24242424242424243,0.25297619047619047,7,17,33,9,1.1929954375353848,0.0067248865122538385
midas_umidas,exact,pre_advance,DELTA_SA,0.0,79,0.43037974683544306,0.41129032258064513,24,24,21,10,0.3997025316455695,7.892394175087946
midas_umidas,exact,pre_advance,DELTA_SA,0.1,61,0.4098360655737705,0.38907657657657657,18,19,17,7,0.5046213114754097,8.579531862868144
midas_umidas,exact,pre_advance,DELTA_SA,0.2,52,0.4230769230769231,0.4003189792663477,16,17,13,6,0.5673499999999999,9.361330820253983
midas_umidas,exact,pre_second,DELTA_TS,0.0,79,0.6835443037974683,0.6802721088435374,34,15,10,20,0.23798607594936708,1.2624732313701699
midas_umidas,exact,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6764705882352942,22,12,5,12,0.3465450980392156,1.4718174010722644
midas_umidas,exact,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.7571428571428571,20,8,2,8,0.41342105263157897,1.8080864450488752
midas_umidas,exact,pre_third,DELTA_MT,0.0,73,0.4657534246575342,0.49612403100775193,20,10,29,14,1.0894660206381124,7.2963028114583866
