timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,n_obs,bootstrap_reps,block_length,rmse_diff_baseline_minus_model,rmse_diff_ci_low_95,rmse_diff_ci_high_95,mae_diff_baseline_minus_model,mae_diff_ci_low_95,mae_diff_ci_high_95,positive_diff_interpretation
exact,pre_advance,DELTA_SA,ar,bridge,79,5000,4,-0.0401533382126239,-0.12594205927920102,0.037396376219679284,-0.029864524649330926,-0.06642804438947293,0.004491336950912076,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,79,5000,4,0.10847939712025434,0.007625642574288299,0.24546666177674686,0.06854692808634405,-0.010986958309760387,0.16879917451144452,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,0.07254286965516488,-0.054205497954050864,0.19237380658918266,0.023135139408305805,-0.04630577850275936,0.10509430942985187,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,midas_umidas,79,5000,4,-13.188525346704797,-18.153501872054132,-7.805366439516428,-7.462844595794316,-10.654845354684465,-4.506601362966484,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,79,5000,4,0.11228918411041533,0.011635643975238676,0.207807950737765,0.07061761902751462,0.0010400806848304995,0.15230613381017963,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,no_revision,79,5000,4,0.10847939712025434,0.005278795672814815,0.24193990823023803,0.06854692808634405,-0.011511278436864197,0.16966895244219216,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,release_dfm,79,5000,4,0.036495431052499194,-0.06509228590840105,0.1288583766729899,0.040720576490909266,-0.012017348635125335,0.10746878811782276,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,79,5000,4,0.052570384813732995,-0.051276878404483806,0.1523230272935005,0.030125390927902618,-0.027961365235979085,0.09663452760710922,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,spf,79,5000,4,0.10847939712025434,0.007678317487587844,0.2425379696296273,0.06854692808634405,-0.011149865796171119,0.16725712938206055,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,ar,standard_dfm,79,5000,4,0.036495431052499194,-0.06873717742826888,0.13588909933483131,0.040720576490909266,-0.01316903973955913,0.10858968454611312,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,ar,79,5000,4,-0.10847939712025434,-0.24287074367558809,-0.007550082460163741,-0.06854692808634405,-0.1690864073322359,0.012026529069466371,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,bridge,79,5000,4,-0.14863273533287824,-0.307801954868576,-0.003996531500694001,-0.09841145273567498,-0.21092078649905116,-0.006094336477527393,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,indicator_revision_only_dfm_kalman_em,79,5000,4,0.0,0.0,0.0,0.0,0.0,0.0,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,-0.03593652746508946,-0.13373311060342533,0.05571332973140874,-0.045411788678038245,-0.11728730707967686,0.022093872475251835,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,midas_umidas,79,5000,4,-13.29700474382505,-18.35849654928044,-7.892642612816594,-7.53139152388066,-10.825003030480868,-4.555659160062986,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,monthly_mixed_frequency_kalman_em,79,5000,4,0.0038097869901609904,-0.05789139422650091,0.053878546810362055,0.002070690941170572,-0.05445081981387668,0.0521681836183069,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,release_dfm,79,5000,4,-0.07198396606775515,-0.20100917616656533,0.022379423488902296,-0.027826351595434784,-0.0867765389699015,0.0194191651641112,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,revision_dfm_kalman_em,79,5000,4,-0.055909012306521344,-0.16385248439526484,0.03475916695122119,-0.03842153715844143,-0.1067571168985501,0.020212108665136085,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,spf,79,5000,4,0.0,0.0,0.0,0.0,0.0,0.0,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,no_revision,standard_dfm,79,5000,4,-0.07198396606775515,-0.20369599335311303,0.021085399800051686,-0.027826351595434784,-0.0848303633625419,0.019755676393152455,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,ar,79,5000,4,0.0401533382126239,-0.03511692912960577,0.12086787674884128,0.029864524649330926,-0.0049951072299176695,0.06585405707080975,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,indicator_revision_only_dfm_kalman_em,79,5000,4,0.14863273533287824,0.004174277695765797,0.31042261127075577,0.09841145273567498,0.005279612010444334,0.2114820675419653,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,0.11269620786778878,-0.02602947487984427,0.24636367915217267,0.05299966405763673,-0.02196764872432926,0.13990663396055583,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,midas_umidas,79,5000,4,-13.148372008492172,-18.224526929339913,-7.875105325933088,-7.432980071144986,-10.788038456754498,-4.554080019055386,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,monthly_mixed_frequency_kalman_em,79,5000,4,0.15244252232303923,0.022735198519485484,0.2848588830834715,0.10048214367684555,0.025038557094200182,0.1932684041281381,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,no_revision,79,5000,4,0.14863273533287824,-0.00024181958831027582,0.3147490836813894,0.09841145273567498,0.005267802460781628,0.21599549481365848,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,release_dfm,79,5000,4,0.0766487692651231,-0.008253788570720965,0.1675050773715524,0.07058510114024019,0.015045279695261779,0.1356115243659646,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,revision_dfm_kalman_em,79,5000,4,0.0927237230263569,-0.017043357226365616,0.2013403998394187,0.059989915577233544,-0.0021100514212236375,0.13326730680442941,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,spf,79,5000,4,0.14863273533287824,0.0046282684635947195,0.30625401550828635,0.09841145273567498,0.007792174250211572,0.2072212908780338,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,bridge,standard_dfm,79,5000,4,0.0766487692651231,-0.008474075970583214,0.16438490458609498,0.07058510114024019,0.016478353706278565,0.13662740312211463,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,midas_umidas,ar,79,5000,4,13.188525346704797,7.983985083918271,18.275030590713943,7.462844595794316,4.573971161970954,10.766320365707605,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,midas_umidas,bridge,79,5000,4,13.148372008492172,7.908618388923978,18.25164495590674,7.432980071144986,4.5582717180472025,10.766572811278444,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,midas_umidas,indicator_revision_only_dfm_kalman_em,79,5000,4,13.29700474382505,7.97833016020302,18.432076385006056,7.53139152388066,4.5786148222132965,10.850337691171275,baseline_has_higher_error_than_model
exact,pre_advance,DELTA_SA,midas_umidas,joint_indicator_revision_dfm_full_kalman_em,79,5000,4,13.261068216359961,7.9646809306027535,18.177651850243805,7.485979735202622,4.576616813689028,10.813711267546605,baseline_has_higher_error_than_model
