model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,exact,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,exact,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,exact,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,exact,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,exact,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,exact,pre_third,DELTA_MT,0.0,80,0.4625,0.45551378446115287,25,17,26,12,1.05551,1.2324532957288583
ar,exact,pre_third,DELTA_MT,0.1,75,0.4266666666666667,0.42496443812233287,21,17,26,11,1.123417333333333,1.2246956287850401
ar,exact,pre_third,DELTA_MT,0.2,68,0.4411764705882353,0.4340277777777778,20,16,22,10,1.223070588235294,1.3204031541974068
ar,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4717741935483871,36,12,25,6,0.3997025316455695,0.2501262918179009
ar,pseudo,pre_advance,DELTA_SA,0.1,61,0.5081967213114754,0.45551801801801806,26,11,19,5,0.5046213114754097,0.22550355950170461
ar,pseudo,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.5103668261562998,25,8,14,5,0.5673499999999999,0.23054727399781202
ar,pseudo,pre_second,DELTA_TS,0.0,79,0.6075949367088608,0.5414965986394558,40,9,22,8,0.23798607594936708,0.1425640531463274
ar,pseudo,pre_second,DELTA_TS,0.1,51,0.6274509803921569,0.5294117647058824,28,6,13,4,0.3465450980392156,0.15565290819291144
ar,pseudo,pre_second,DELTA_TS,0.2,38,0.6842105263157895,0.5607142857142857,23,5,7,3,0.41342105263157897,0.1790134198990545
ar,pseudo,pre_third,DELTA_MT,0.0,80,0.4625,0.45551378446115287,25,17,26,12,1.05551,1.2324532957288583
ar,pseudo,pre_third,DELTA_MT,0.1,75,0.4266666666666667,0.42496443812233287,21,17,26,11,1.123417333333333,1.2246956287850401
ar,pseudo,pre_third,DELTA_MT,0.2,68,0.4411764705882353,0.4340277777777778,20,16,22,10,1.223070588235294,1.3204031541974068
bridge,exact,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,33,15,22,9,0.3997025316455695,0.2787688878309755
bridge,exact,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,25,12,16,8,0.5046213114754097,0.2706173962508547
bridge,exact,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,24,9,12,7,0.5673499999999999,0.27307101904866415
bridge,exact,pre_second,DELTA_TS,0.0,79,0.620253164556962,0.5904761904761905,35,14,16,14,0.23798607594936708,0.27806300763582714
bridge,exact,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6176470588235294,26,8,9,8,0.3465450980392156,0.2586615872734547
bridge,exact,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6607142857142857,23,5,5,5,0.41342105263157897,0.2806081578630768
bridge,exact,pre_third,DELTA_MT,0.0,80,0.475,0.474937343358396,20,22,20,18,1.05551,0.9412102396336826
bridge,exact,pre_third,DELTA_MT,0.1,75,0.4533333333333333,0.45341394025604553,17,21,20,17,1.123417333333333,0.9545055140292925
bridge,exact,pre_third,DELTA_MT,0.2,68,0.47058823529411764,0.4704861111111111,17,19,17,15,1.223070588235294,0.9956215770465083
bridge,pseudo,pre_advance,DELTA_SA,0.0,79,0.5316455696202531,0.4889112903225806,33,15,22,9,0.3997025316455695,0.28086874104598786
bridge,pseudo,pre_advance,DELTA_SA,0.1,61,0.5409836065573771,0.5045045045045045,25,12,16,8,0.5046213114754097,0.2743039091870128
bridge,pseudo,pre_advance,DELTA_SA,0.2,52,0.5961538461538461,0.5478468899521531,24,9,12,7,0.5673499999999999,0.27722397271991717
bridge,pseudo,pre_second,DELTA_TS,0.0,79,0.6329113924050633,0.6136054421768707,34,15,14,16,0.23798607594936708,0.2797953138222748
bridge,pseudo,pre_second,DELTA_TS,0.1,51,0.6666666666666666,0.6323529411764706,25,9,8,9,0.3465450980392156,0.2612753141240611
bridge,pseudo,pre_second,DELTA_TS,0.2,38,0.7368421052631579,0.6928571428571428,22,6,4,6,0.41342105263157897,0.2843150968084261
bridge,pseudo,pre_third,DELTA_MT,0.0,80,0.4625,0.4630325814536341,19,23,20,18,1.05551,0.9418005099922849
bridge,pseudo,pre_third,DELTA_MT,0.1,75,0.44,0.4402560455192034,16,22,20,17,1.123417333333333,0.9552232130403394
bridge,pseudo,pre_third,DELTA_MT,0.2,68,0.45588235294117646,0.4565972222222222,16,20,17,15,1.223070588235294,0.9966367044725652
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.0,0.5,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.0,0.5,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.0,0.5,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.0,80,0.0,0.5,0,42,0,38,1.05551,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.1,75,0.0,0.5,0,38,0,37,1.123417333333333,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.2,68,0.0,0.5,0,36,0,32,1.223070588235294,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.0,0.5,0,48,0,31,0.3997025316455695,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.0,0.5,0,37,0,24,0.5046213114754097,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.0,0.5,0,33,0,19,0.5673499999999999,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.0,0.5,0,49,0,30,0.23798607594936708,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.0,0.5,0,34,0,17,0.3465450980392156,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.0,0.5,0,28,0,10,0.41342105263157897,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.0,80,0.0,0.5,0,42,0,38,1.05551,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.1,75,0.0,0.5,0,38,0,37,1.123417333333333,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,0.2,68,0.0,0.5,0,36,0,32,1.223070588235294,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.0,79,0.620253164556962,0.5675403225806451,39,9,21,10,0.3997025316455695,0.2575604089195905
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.1,61,0.6557377049180327,0.5990990990990991,32,5,16,8,0.5046213114754097,0.21869133230301263
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,0.2,52,0.6923076923076923,0.634768740031898,28,5,11,8,0.5673499999999999,0.21768494789865134
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.0,79,0.5189873417721519,0.47006802721088436,33,16,22,8,0.23798607594936708,0.007217175579878441
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.1,51,0.5294117647058824,0.44117647058823534,24,10,14,3,0.3465450980392156,0.007311277023509122
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,0.2,38,0.5789473684210527,0.4571428571428572,20,8,8,2,0.41342105263157897,0.007895123272209256
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.0,80,0.4125,0.40789473684210525,21,21,26,12,1.05551,0.0060626795607446006
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.1,75,0.4,0.39900426742532,18,20,25,12,1.123417333333333,0.006227565958920066
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,0.2,68,0.38235294117647056,0.3767361111111111,17,19,23,9,1.223070588235294,0.0062656518165525015
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.0,79,0.6075949367088608,0.5514112903225806,39,9,22,9,0.3997025316455695,0.2542846601214379
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.1,61,0.639344262295082,0.5782657657657658,32,5,17,7,0.5046213114754097,0.2143331979967137
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,0.2,52,0.6730769230769231,0.6084529505582137,28,5,12,7,0.5673499999999999,0.21316042285115466
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.0,79,0.5189873417721519,0.47006802721088436,33,16,22,8,0.23798607594936708,0.00723583541070628
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.1,51,0.5294117647058824,0.44117647058823534,24,10,14,3,0.3465450980392156,0.007347186117546456
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,0.2,38,0.5789473684210527,0.4571428571428572,20,8,8,2,0.41342105263157897,0.00794675701624163
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.0,80,0.4125,0.40789473684210525,21,21,26,12,1.05551,0.0060595926217774845
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.1,75,0.4,0.39900426742532,18,20,25,12,1.123417333333333,0.006224241959707168
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,0.2,68,0.38235294117647056,0.3767361111111111,17,19,23,9,1.223070588235294,0.006260844086117602
midas_umidas,exact,pre_advance,DELTA_SA,0.0,79,0.6075949367088608,0.6370967741935484,24,24,7,24,0.3997025316455695,18.07946663409119
midas_umidas,exact,pre_advance,DELTA_SA,0.1,61,0.5737704918032787,0.5974099099099099,18,19,7,17,0.5046213114754097,7.178471776270149
midas_umidas,exact,pre_advance,DELTA_SA,0.2,52,0.5769230769230769,0.6108452950558214,16,17,5,14,0.5673499999999999,8.158972695700779
midas_umidas,exact,pre_second,DELTA_TS,0.0,79,0.5443037974683544,0.5357142857142857,28,21,15,15,0.23798607594936708,2.1030820619584163
midas_umidas,exact,pre_second,DELTA_TS,0.1,51,0.5882352941176471,0.5588235294117647,22,12,9,8,0.3465450980392156,2.4981239121403482
midas_umidas,exact,pre_second,DELTA_TS,0.2,38,0.6052631578947368,0.5071428571428571,20,8,7,3,0.41342105263157897,2.914105674398761
midas_umidas,exact,pre_third,DELTA_MT,0.0,80,0.5375,0.5357142857142857,24,18,19,19,1.05551,7.357116109820291
midas_umidas,exact,pre_third,DELTA_MT,0.1,75,0.52,0.5195590327169275,21,17,19,18,1.123417333333333,7.4706767638927
midas_umidas,exact,pre_third,DELTA_MT,0.2,68,0.5,0.4982638888888889,19,17,17,15,1.223070588235294,7.643250066692609
