model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
ar,exact,pre_advance,A,24,12.772608971613197,5.0482671137361335,-0.8181744385362836,1.0,1.0,0.8333333333333334,1.0,0.0,,,
bridge,exact,pre_advance,A,24,8.613899659546695,4.1482852609401455,-0.27478973924922373,0.6744040844506295,0.2113433906553904,0.7916666666666666,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,24,5.523429965585593,2.9791796737994205,-0.3371452275071229,0.43244336203052,0.182632975164557,0.9166666666666666,1.0,42.0,9.05965870808447e-05,9.186174837244674e-05,9.985977479649929e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,24,5.892430735427056,3.084396822495274,-0.4978155601317056,0.46133336959761595,0.17891026367312396,0.9166666666666666,1.0,42.291666666666664,9.10924164551473e-05,9.204743035049173e-05,9.894133168356314e-05
midas_umidas,exact,pre_advance,A,24,18.771174886157752,8.23184582438807,0.20866086818820273,1.4696429623639318,0.15771115141880857,0.625,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,24,6.3725243691147115,3.6620748059345227,-0.5638027300740388,0.4989211196614166,0.21536925098112972,0.875,1.0,34.958333333333336,9.479560253411088e-05,9.572414527079827e-05,9.992598888541152e-05
no_revision,exact,pre_advance,A,24,13.017943149641257,5.570252771236277,-1.2816524947503103,1.0192078359694021,0.042778256341442916,0.75,1.0,0.0,,,
release_dfm,exact,pre_advance,A,24,5.233977985163841,2.939804113620527,0.6102238249747501,0.4097814312484024,0.21650236675165516,0.875,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_advance,A,24,5.726735442014156,3.206047032045164,-0.4875320806131529,0.44836066419489407,0.1924869982845352,0.9166666666666666,1.0,26.541666666666668,9.307807692023295e-05,9.30403237147525e-05,9.936485099140968e-05
standard_dfm,exact,pre_advance,A,24,5.233977985163841,2.939804113620527,0.6102238249747501,0.4097814312484024,0.21650236675165516,0.875,1.0,0.0,,,
ar,exact,pre_second,S,24,12.239075796986006,4.8895026607216865,-0.6506450334454126,1.0,1.0,0.8333333333333334,1.0,0.0,,,
bridge,exact,pre_second,S,24,7.891003231821023,3.850045055889797,-0.2051124055691346,0.6447384886499569,0.2050554977804523,0.8333333333333334,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,24,0.41616535443811525,0.30699965858552997,-0.03744318194067195,0.034003004911580016,0.1723543496681239,1.0,1.0,43.041666666666664,9.13066430368624e-05,9.328342104783204e-05,9.861018100068516e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,24,0.5682162455699115,0.39752865859975933,0.019386221667991855,0.04642640138807216,0.17263558474465537,1.0,1.0,43.166666666666664,9.167762460156765e-05,9.167628809968767e-05,9.992853339303503e-05
midas_umidas,exact,pre_second,S,24,7.675872631261396,2.9340262231374368,0.5090868708350226,0.6271611319828296,0.2537937134845074,1.0,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_second,S,24,0.49106806380844714,0.2900704379947407,-0.022779808821868096,0.04012296940994332,0.17237352010830131,1.0,1.0,36.625,9.494488584963462e-05,9.525990595801603e-05,9.996191109577998e-05
no_revision,exact,pre_second,S,24,0.3091344361007569,0.1937374999999998,-0.07067916666666657,0.02525798853021928,0.172108511771336,1.0,1.0,0.0,,,
release_dfm,exact,pre_second,S,24,0.7390878842903454,0.29986665280816815,-0.06704117032627065,0.06038755675263922,0.17282721039110913,1.0,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_second,S,24,0.7307689113367175,0.364988173657158,-0.006483371870008849,0.059707850777153994,0.1726472660089573,1.0,1.0,25.75,9.482643714864483e-05,9.483801369793924e-05,9.991961118391736e-05
standard_dfm,exact,pre_second,S,24,4.790158141557883,2.7117813196919696,0.683375470944036,0.3913823413641663,0.20747962717717117,0.875,1.0,0.0,,,
ar,exact,pre_third,T,24,12.106716935312141,4.872120717856216,-0.6749672842987677,1.0,1.0,0.8333333333333334,1.0,0.0,,,
bridge,exact,pre_third,T,24,7.6052508840792985,3.638007051216055,-0.1425175292660361,0.6281844140500851,0.19689449265945186,0.8333333333333334,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,24,0.23324987930144497,0.1639242103475869,-0.10892074711500992,0.01926615452791465,0.17040321138426812,1.0,1.0,40.791666666666664,8.938749577144403e-05,9.006138404040091e-05,9.93491611258912e-05
