model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
standard_dfm,exact,pre_advance,A,80,3.0658631497628757,1.6259560683385963,0.5613778136832768,0.4295805264860707,0.2108819315398011,0.9375,1.0,0.0,,,
release_dfm,exact,pre_advance,A,80,3.0658631497628757,1.6259560683385963,0.5613778136832768,0.4295805264860707,0.2108819315398011,0.9375,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_advance,A,80,3.4608889350585264,1.8943951598075144,0.1414962278329582,0.4849304806534653,0.1966162369354723,0.95,1.0,26.775,9.303923828326084e-05,9.46186096336636e-05,9.993619729265816e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,3.728085301592577,2.126752215127753,0.0985669875142613,0.522369319311264,0.2071661509327263,0.875,1.0,33.9625,9.113094120682272e-05,9.399171291560403e-05,9.974882775061016e-05
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,3.78498746687666,2.255574070772528,0.2573617264761522,0.530342298184383,0.2167478066267636,0.8875,1.0,32.4125,9.248872731581524e-05,9.542327269157552e-05,9.998334228568146e-05
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,4.5700810629939905,2.231619660998987,0.3694077116585955,0.6403475084257503,0.3117545950424816,0.925,0.95,54.2,9.886694854318748e-05,9.6223940754484e-05,0.0002497264417343
bridge,exact,pre_advance,A,80,4.873697083215683,2.0735239008375914,-0.08665986755251,0.6828893713352308,0.2066013457099369,0.9,1.0,0.0,,,
ar,exact,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,
no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.1943847229089564,1.0185748655930085,0.0511144806424531,0.8875,1.0,0.0,,,
midas_umidas,exact,pre_advance,A,80,13.366462459510316,8.137926816907179,-1.4902070873138529,1.8728728909693328,0.0021819846694521,0.6125,1.0,0.0,,,
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.5987193264333202,0.4003622000984302,-0.0021908419210836,0.0862445068936042,0.1555687974570843,0.9620253164556962,0.9493670886075948,52.78481012658228,9.952550011392412e-05,9.65317761148338e-05,0.0002134254350362
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.6032557998207593,0.4469973572481985,-0.0130005665119842,0.0868979782165801,0.1557435169603384,0.9746835443037974,1.0,33.08860759493671,9.195032603556496e-05,9.42365590164837e-05,9.997079964578276e-05
revision_dfm_kalman_em,exact,pre_second,S,79,0.6692819083448007,0.4540148349579576,0.063982476313331,0.0964089275384971,0.1558854955096932,0.9620253164556962,1.0,27.18987341772152,9.311152749042536e-05,9.413889363519048e-05,9.980025457216734e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,0.6706226369107534,0.493933581464191,0.0561563116073832,0.0966020572220461,0.156265638284209,0.9620253164556962,1.0,35.063291139240505,9.069677961549036e-05,9.414941378545825e-05,9.998988823219982e-05
release_dfm,exact,pre_second,S,79,0.6907381923525489,0.4420605262914328,-0.0075048396001814,0.0994996689799686,0.1561388973955709,0.9620253164556962,1.0,0.0,,,
standard_dfm,exact,pre_second,S,79,2.9233852978395793,1.6559888022137654,0.6257983634253164,0.4211087104439184,0.1984054634308842,0.9240506329113924,1.0,0.0,,,
bridge,exact,pre_second,S,79,4.54265384858136,2.0823601603453783,-0.0567565170461702,0.6543616079559872,0.1929801326672391,0.9113924050632912,1.0,0.0,,,
midas_umidas,exact,pre_second,S,79,4.770330173181986,2.073561429579366,0.4285683883104983,0.6871579976491399,0.2968302601058723,0.8607594936708861,1.0,0.0,,,
ar,exact,pre_second,S,79,6.942115480721942,2.4901407735357477,0.042512275116617,1.0,1.0,0.8987341772151899,1.0,0.0,,,
no_revision,exact,pre_third,T,80,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.3738022973938369,0.243930411882696,-0.0496017869509302,0.0545386251437368,0.1487937668621279,1.0,1.0,32.65,9.204901378976313e-05,9.441686351405784e-05,9.999513785995588e-05
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.3738436225853631,0.2626119978766277,-0.0160799036970238,0.054544654585357,0.14880254604886,1.0,0.9125,51.8875,0.0001087662398411,9.741792978151006e-05,0.000350775200434
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.374125713987859,0.2476687086400885,-0.039192455004191,0.0545858123774954,0.1488040922290963,1.0,1.0,34.6,9.334603216761518e-05,9.504258544408204e-05,9.987787641211464e-05
revision_dfm_kalman_em,exact,pre_third,T,80,0.3746133849949821,0.2467743380749144,-0.039301867400844,0.0546569647123965,0.1488040718232512,1.0,1.0,26.0625,9.24096409748739e-05,9.371871045330126e-05,9.95723951464984e-05
release_dfm,exact,pre_third,T,80,0.4446166872002175,0.2866196694384428,-0.0044366886745788,0.0648706094235539,0.149209923288727,1.0,1.0,0.0,,,
standard_dfm,exact,pre_third,T,80,2.9071466913431796,1.6952067512158628,0.626428932902157,0.4241594680997125,0.1932321572709735,0.925,1.0,0.0,,,
bridge,exact,pre_third,T,80,4.4019297631577015,2.034724902716331,-0.0398637238758494,0.642251797101647,0.1851955957714749,0.9,1.0,0.0,,,
midas_umidas,exact,pre_third,T,80,6.1904905088081,2.464334501422958,0.360042216092577,0.9032069724280728,0.3866718948368688,0.875,1.0,0.0,,,
ar,exact,pre_third,T,80,6.853900266254954,2.504536216607909,0.0681353139193999,1.0,1.0,0.9,1.0,0.0,,,
standard_dfm,pseudo,pre_advance,A,80,3.051686880620195,1.617840274844697,0.5850074419094152,0.4275941856533457,0.2116061668132361,0.9375,1.0,0.0,,,
release_dfm,pseudo,pre_advance,A,80,3.051686880620195,1.617840274844697,0.5850074419094152,0.4275941856533457,0.2116061668132361,0.9375,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_advance,A,80,3.4478339931515456,1.8837685899398864,0.145780754128753,0.4831012571872843,0.1969342172517424,0.95,1.0,26.7625,9.289161186693748e-05,9.438176188714188e-05,9.98881768263082e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,3.726464290647645,2.122995446467313,0.1028805545073379,0.5221421876027865,0.206651148866011,0.875,1.0,34.025,9.11029144569992e-05,9.406613249425472e-05,9.974882775061016e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,3.784061634830496,2.2465509866809414,0.2751865604435307,0.5302125730797711,0.2163893515723906,0.8875,1.0,32.95,9.130450713625144e-05,9.461788446001664e-05,9.996425231077822e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,4.569555660049317,2.233305695551393,0.3710526325331004,0.6402738903734874,0.3116468463249366,0.925,0.95,54.1625,9.905228017238226e-05,9.64390725866775e-05,0.0002497264417343
bridge,pseudo,pre_advance,A,80,4.853299396730429,2.061680360176223,-0.0626212282907241,0.6800313021809988,0.2078092787274127,0.9,1.0,0.0,,,
ar,pseudo,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,
