model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6773397609913052,0.6781421206748106,,,,,0.0
ar,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.41019163488335636,0.40791620019200964,,,,,0.0
ar,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,3.884123072184548,3.8893401754701458,,,,,0.0
ar,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.6773397609913052,0.6781421206748106,,,,,0.0
ar,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.41019163488335636,0.40791620019200964,,,,,0.0
ar,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,3.884123072184548,3.8893401754701458,,,,,0.0
bridge,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.722885248043382,0.7182954588874345,,,,,0.0
bridge,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.4944408692661488,0.4916791866250371,,,,,0.0
bridge,exact,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,2.08566533889512,2.1290652600630544,,,,,0.0
bridge,pseudo,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,0.7267392633602563,0.7221269467369036,,,,,0.0
bridge,pseudo,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,0.49511434520623226,0.49234421429461056,,,,,0.0
bridge,pseudo,pre_third,DELTA_MT,80,0,0.0,0.0,,,,,2.0868704579177786,2.1299563533049155,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.4058819800101965,0.4527828243287057,0.486161548817261,0.6715468023472356,0.5694656229901923,0.5696627235545563,1.1788498256599056,1.1792578432057548,0.8354430379746836,0.9367088607594937,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.1315587365877777,0.1430630551374305,0.158623243893814,0.37861570200670325,0.3595420355888921,0.3613823734957444,1.0476872414784828,1.0530498927241443,0.8481012658227848,0.9493670886075949,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,0.6083509309519686,0.6642956140057059,0.8628822444963289,0.8239422354461354,0.9637577194443875,1.0016142136324435,0.8226143601317669,0.8549267298436203,0.8625,0.95,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.4058823464937404,0.4527829021841736,0.486164690035876,0.671447295093105,0.5694656229901923,0.5696627235545563,1.1786751481709,1.179083105258259,0.8354430379746836,0.9367088607594937,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.1317369045311618,0.1430630612268832,0.158623243893814,0.3786189871888535,0.3595420355888921,0.3613823734957444,1.047696332077226,1.053059029853673,0.8481012658227848,0.9493670886075949,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,0.6083510596524526,0.6642817475532625,0.8628822215193639,0.8239287954447206,0.9637577194443875,1.0016142136324435,0.8226009417904216,0.8549127844285604,0.8625,0.95,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,79,1.0,1.0,0.3664066573826519,0.4199844313013559,0.4411352599017704,0.6416082510241387,0.6424715003580703,0.6426043500091648,0.9984499031402262,0.9986563616698164,0.759493670886076,0.9113924050632911,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,79,1.0,1.0,0.1275391943856255,0.1385245487678146,0.1528335296147749,0.3722419523020057,0.3607776541130802,0.36209512801052746,1.0280225374675112,1.0317766304487699,0.8481012658227848,0.9493670886075949,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,80,1.0,1.0,0.5988554935130771,0.6481669602049884,0.8768078838706864,0.8142289081645349,0.9662462107931451,1.004477252395337,0.8105996489446382,0.8426722910469925,0.8375,0.95,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,79,79,1.0,1.0,0.3664292290421089,0.4199693351152902,0.4411359500665108,0.6416301331118021,0.6434895868633523,0.6437408282789833,0.9967212035116305,0.9971103592202415,0.759493670886076,0.9113924050632911,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,79,79,1.0,1.0,0.1275390966416969,0.1385155818021413,0.1528335296147749,0.37224473596226915,0.3606958154591899,0.3620170766891068,1.028251869681677,1.0320184488094954,0.8481012658227848,0.9493670886075949,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,DELTA_MT,80,80,1.0,1.0,0.5988551703777596,0.648186169563341,0.8768067408256596,0.8142376673642691,0.9662457478765945,1.004476215195685,0.8106092061180812,0.8426817599493961,0.8375,0.95,1.0
midas_umidas,exact,pre_advance,DELTA_SA,79,0,0.0,0.0,,,,,13.920103314063764,13.866667467379607,,,,,0.0
midas_umidas,exact,pre_second,DELTA_TS,79,0,0.0,0.0,,,,,3.144075085918269,3.1241130194946414,,,,,0.0
