table,model_id,timing_mode,checkpoint_id,outcome_id,n_forecasts,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,RMSE,MAE,bias
point,ar,exact,pre_advance,A,80,1.0,0.0,,,,7.136876466075766,2.4019986787197354,-0.0348836821925187
point,bridge,exact,pre_advance,A,80,1.0,0.0,,,,4.873697083215683,2.0735239008375914,-0.08665986755251
point,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,1.0,32.65,9.105742306303116e-05,9.41571618339938e-05,9.991144308001352e-05,3.842403808539885,2.2405598710975547,0.2527361493935052
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,1.0,34.1,9.081177853535304e-05,9.41287881462045e-05,9.979822504941555e-05,3.774947246769973,2.101554163930341,0.0840228356236881
point,midas_umidas,exact,pre_advance,A,80,1.0,0.0,,,,13.366462459510316,8.137926816907179,-1.4902070873138529
point,monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,0.975,46.225,9.80834477777218e-05,9.566845741268812e-05,0.0002499161953542,4.657583212107029,2.2045638876378484,0.3292067544941976
point,no_revision,exact,pre_advance,A,80,1.0,0.0,,,,7.26944298718703,2.553570419453158,-0.1943847229089564
point,release_dfm,exact,pre_advance,A,80,1.0,0.0,,,,3.0658631497628757,1.6259560683385963,0.5613778136832768
point,revision_dfm_kalman_em,exact,pre_advance,A,80,1.0,26.825,9.4484989242235e-05,9.434983379256672e-05,9.982012003202512e-05,3.5252125705476365,1.870266982735803,0.1344448121228786
point,standard_dfm,exact,pre_advance,A,80,1.0,0.0,,,,3.0658631497628757,1.6259560683385963,0.5613778136832768
point,ar,exact,pre_second,S,79,1.0,0.0,,,,6.942115480721942,2.4901407735357477,0.042512275116617
point,bridge,exact,pre_second,S,79,1.0,0.0,,,,4.54265384858136,2.0823601603453783,-0.0567565170461702
point,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,1.0,33.10126582278481,9.082527133714138e-05,9.419516249143805e-05,9.984730119052758e-05,0.5985395768069837,0.4473145629447703,-0.0118066889020346
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,1.0,35.40506329113924,9.098361059742696e-05,9.480598399541228e-05,9.995821526654506e-05,0.648682491274281,0.4835559095021275,0.0573955413731997
point,midas_umidas,exact,pre_second,S,79,1.0,0.0,,,,4.770330173181986,2.073561429579366,0.4285683883104983
point,monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.9620253164556962,47.0126582278481,9.822800955177292e-05,9.624346607630386e-05,0.0002141127235462,0.6102047751844892,0.3979529993017101,0.0235478420702863
point,no_revision,exact,pre_second,S,79,1.0,0.0,,,,0.5696627235545563,0.3997025316455696,-0.0657987341772151
point,release_dfm,exact,pre_second,S,79,1.0,0.0,,,,0.6907381923525489,0.4420605262914328,-0.0075048396001814
point,revision_dfm_kalman_em,exact,pre_second,S,79,1.0,27.26582278481013,9.390884019969012e-05,9.408940900249592e-05,9.998581246339528e-05,0.665958315441715,0.4514179909360126,0.065406718450753
point,standard_dfm,exact,pre_second,S,79,1.0,0.0,,,,2.9233852978395793,1.6559888022137654,0.6257983634253164
point,ar,exact,pre_third,T,80,1.0,0.0,,,,6.853900266254954,2.504536216607909,0.0681353139193999
point,bridge,exact,pre_third,T,80,1.0,0.0,,,,4.4019297631577015,2.034724902716331,-0.0398637238758494
point,indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,1.0,32.725,9.255428882301122e-05,9.558185358573046e-05,9.981949810062798e-05,0.371883243240598,0.242823563278329,-0.0488531578558557
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,1.0,34.7625,9.337302432053944e-05,9.5751494242425e-05,9.992570249547904e-05,0.3722570235492137,0.2459236819011024,-0.0393700820228373
point,midas_umidas,exact,pre_third,T,80,1.0,0.0,,,,6.1904905088081,2.464334501422958,0.360042216092577
point,monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.9375,44.1125,9.995910689503248e-05,9.554656556472289e-05,0.0002458013821821,0.3786146883386361,0.2623481244873266,0.0010314525589613
point,no_revision,exact,pre_third,T,80,1.0,0.0,,,,0.3621867125530698,0.2402725,-0.0484925
point,release_dfm,exact,pre_third,T,80,1.0,0.0,,,,0.4446166872002175,0.2866196694384428,-0.0044366886745788
point,revision_dfm_kalman_em,exact,pre_third,T,80,1.0,26.3625,9.45382633572102e-05,9.44640821181249e-05,9.989389483527708e-05,0.3729000050180803,0.2455017465486829,-0.0391264082401698
point,standard_dfm,exact,pre_third,T,80,1.0,0.0,,,,2.9071466913431796,1.6952067512158628,0.626428932902157
point,ar,pseudo,pre_advance,A,80,1.0,0.0,,,,7.136876466075766,2.4019986787197354,-0.0348836821925187
point,bridge,pseudo,pre_advance,A,80,1.0,0.0,,,,4.853299396730429,2.061680360176223,-0.0626212282907241
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,1.0,33.1125,9.146051473893462e-05,9.426491223524914e-05,9.998204957247216e-05,3.841898947278857,2.2332545037445506,0.270334575077847
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,1.0,34.15,9.101062800896806e-05,9.433888812177351e-05,9.979619568631236e-05,3.773931588336731,2.0985837060141312,0.0885841902344279
point,midas_umidas,pseudo,pre_advance,A,80,1.0,0.0,,,,13.55397343598597,8.229496807262095,-1.5805326543914464
point,monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,0.975,46.225,9.796763077558632e-05,9.58173341813311e-05,0.0002499161953542,4.657658082651885,2.2079494780079423,0.3322698510310938
point,no_revision,pseudo,pre_advance,A,80,1.0,0.0,,,,7.26944298718703,2.553570419453158,-0.1943847229089564
point,release_dfm,pseudo,pre_advance,A,80,1.0,0.0,,,,3.051686880620195,1.617840274844697,0.5850074419094152
point,revision_dfm_kalman_em,pseudo,pre_advance,A,80,1.0,26.8375,9.416178523465862e-05,9.415952318605266e-05,9.983430954932653e-05,3.512510459524698,1.8599737287221416,0.1395302905794514
point,standard_dfm,pseudo,pre_advance,A,80,1.0,0.0,,,,3.051686880620195,1.617840274844697,0.5850074419094152
point,ar,pseudo,pre_second,S,79,1.0,0.0,,,,6.942115480721942,2.4901407735357477,0.042512275116617
point,bridge,pseudo,pre_second,S,79,1.0,0.0,,,,4.542167880186523,2.0691295163901073,-0.0561920369722996
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,1.0,33.063291139240505,9.112847034118088e-05,9.425882265419092e-05,9.986619802177084e-05,0.5983123305185013,0.4465875395912471,-0.012422361929469
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,1.0,35.34177215189873,9.01167983907833e-05,9.433482603753274e-05,9.927023433255888e-05,0.6479395620332987,0.4820877594483316,0.0568009966176357
point,midas_umidas,pseudo,pre_second,S,79,1.0,0.0,,,,4.762771639416986,2.056091631828908,0.3916317728814475
point,monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,0.9620253164556962,47.0,9.83379158646869e-05,9.67940727647933e-05,0.0002141127235462,0.6100065796900154,0.3972875747207305,0.0229508352259454
point,no_revision,pseudo,pre_second,S,79,1.0,0.0,,,,0.5696627235545563,0.3997025316455696,-0.0657987341772151
