model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd
ar,exact,pre_advance,DELTA_SA,67,-1.0821039796494922,0.364017857985642,0.8507462686567164,0.9402985074626866,0.7648956778591413
ar,exact,pre_second,DELTA_TS,67,-0.7816245991141392,0.22116498464856163,0.7611940298507462,0.8656716417910447,0.38633474140248364
ar,exact,pre_third,DELTA_MT,68,-3.312060495400607,1.7057096959770797,0.6764705882352942,0.8676470588235294,2.413009971404185
ar,pseudo,pre_advance,DELTA_SA,67,-1.0821039796494922,0.364017857985642,0.8507462686567164,0.9402985074626866,0.7648956778591413
ar,pseudo,pre_second,DELTA_TS,67,-0.7816245991141392,0.22116498464856163,0.7611940298507462,0.8656716417910447,0.38633474140248364
ar,pseudo,pre_third,DELTA_MT,68,-3.312060495400607,1.7057096959770797,0.6764705882352942,0.8676470588235294,2.413009971404185
bridge,exact,pre_advance,DELTA_SA,67,-1.152814460082281,0.3912687746734345,0.8507462686567164,0.8955223880597015,0.8063619911919397
bridge,exact,pre_second,DELTA_TS,67,-0.775500046159135,0.2735474925531921,0.746268656716418,0.9402985074626866,0.5267716726770005
bridge,exact,pre_third,DELTA_MT,68,-2.249380912915399,1.1649592565225537,0.7352941176470589,0.8970588235294118,2.003561859776385
bridge,pseudo,pre_advance,DELTA_SA,67,-1.1614828043504952,0.39313687212249143,0.8656716417910447,0.8955223880597015,0.8137741417439789
bridge,pseudo,pre_second,DELTA_TS,67,-0.7776326232760936,0.2740418031577703,0.746268656716418,0.9402985074626866,0.5262580012471592
bridge,pseudo,pre_third,DELTA_MT,68,-2.250661922870191,1.1647838674992832,0.7352941176470589,0.8970588235294118,1.9961385611776858
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,-0.875988269608021,0.30816115960360546,0.8354430379746836,0.9367088607594937,0.6642267648817485
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,-0.4158588342730032,0.18417336207507512,0.8481012658227848,0.9493670886075949,0.38106539560567926
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,-1.860307792951104,0.7983388571858392,0.8875,0.975,2.098225459657684
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,79,-0.8759782811757919,0.30816006699936804,0.8354430379746836,0.9367088607594937,0.6642091313536486
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,79,-0.4158013184463839,0.18416804809761586,0.8481012658227848,0.9493670886075949,0.3810613699555212
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,DELTA_MT,80,-1.8603067712214667,0.7983387557726072,0.8875,0.975,2.0982178763977464
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,-0.9256707416218161,0.3328685539748856,0.7468354430379747,0.8860759493670886,0.6256493531531928
