model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
standard_dfm,exact,pre_advance,A,80,3.0658631497628757,1.6259560683385963,0.5613778136832768,0.4295805264860707,0.2108819315398011,0.9375,1.0,0.0,,,
release_dfm,exact,pre_advance,A,80,3.0658631497628757,1.6259560683385963,0.5613778136832768,0.4295805264860707,0.2108819315398011,0.9375,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_advance,A,80,3.5840872522787186,1.8718069794377763,0.1699659884013135,0.5021926986287658,0.1931812947143956,0.95,1.0,26.0875,9.359560027470764e-05,9.408933337695962e-05,9.95608436420617e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,3.804827275830293,2.073555371545247,0.1026657256179363,0.5331221990342772,0.2001683847700931,0.9,1.0,33.675,9.118507157268116e-05,9.453104719048952e-05,9.98981644840629e-05
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,3.8564125474777735,2.2054648592041737,0.2844414852484452,0.5403501890229906,0.2099336614599493,0.8875,1.0,32.75,9.14932393700144e-05,9.44984810219826e-05,9.96714330521104e-05
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,4.709589388584287,2.2049856584706684,0.3094560271817325,0.6598950410548257,0.3162377505299079,0.95,0.975,44.625,9.91199575129246e-05,9.625046418504891e-05,0.0002863668013044
bridge,exact,pre_advance,A,80,4.873697083215683,2.0735239008375914,-0.08665986755251,0.6828893713352308,0.2066013457099369,0.9,1.0,0.0,,,
ar,exact,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.0348836821925187,1.0,1.0,0.9125,1.0,0.0,,,
no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.1943847229089564,1.0185748655930085,0.0511144806424531,0.8875,1.0,0.0,,,
midas_umidas,exact,pre_advance,A,80,13.366462459510316,8.137926816907179,-1.4902070873138529,1.8728728909693328,0.0021819846694521,0.6125,1.0,0.0,,,
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.0657987341772151,0.0820589523663922,0.1554026466179592,0.9620253164556962,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.5997128541946206,0.4480767002414484,-0.009188268190343,0.0863876228881536,0.1557136660035639,0.9746835443037974,1.0,32.822784810126585,9.056807028423922e-05,9.515832783976328e-05,9.989324320124018e-05
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.6082852627940439,0.4013057930417653,0.0295685941395789,0.0876224638560443,0.1556715198197333,0.9746835443037974,0.9493670886075948,45.62025316455696,0.0001005968980813,9.557172289744612e-05,0.0002441024158214
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,0.6402321314452203,0.4785336524031924,0.0635357425566104,0.0922243562820478,0.1560101933490238,0.9746835443037974,1.0,34.139240506329116,9.24548176061042e-05,9.521972066430178e-05,9.987119601564544e-05
revision_dfm_kalman_em,exact,pre_second,S,79,0.66045495551236,0.4509621483086539,0.0672849440684432,0.0951374199041235,0.1558454402578891,0.9620253164556962,1.0,26.17721518987342,9.316474318953557e-05,9.327890490729817e-05,9.990017226220275e-05
release_dfm,exact,pre_second,S,79,0.6907381923525489,0.4420605262914328,-0.0075048396001814,0.0994996689799686,0.1561388973955709,0.9620253164556962,1.0,0.0,,,
standard_dfm,exact,pre_second,S,79,2.9233852978395793,1.6559888022137654,0.6257983634253164,0.4211087104439184,0.1984054634308842,0.9240506329113924,1.0,0.0,,,
bridge,exact,pre_second,S,79,4.54265384858136,2.0823601603453783,-0.0567565170461702,0.6543616079559872,0.1929801326672391,0.9113924050632912,1.0,0.0,,,
midas_umidas,exact,pre_second,S,79,4.770330173181986,2.073561429579366,0.4285683883104983,0.6871579976491399,0.2968302601058723,0.8607594936708861,1.0,0.0,,,
ar,exact,pre_second,S,79,6.942115480721942,2.4901407735357477,0.042512275116617,1.0,1.0,0.8987341772151899,1.0,0.0,,,
no_revision,exact,pre_third,T,80,0.3621867125530698,0.2402725,-0.0484925,0.0528438842823974,0.1487243773879313,1.0,1.0,0.0,,,
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.3711383477667407,0.244960291998392,-0.0391252355669384,0.0541499486933058,0.1487840493351014,1.0,1.0,34.4875,9.2412141723591e-05,9.467137550169144e-05,9.964964331248692e-05
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.3711644509378306,0.2425147280127902,-0.0485684828427908,0.0541537572067179,0.1487783758871873,1.0,1.0,32.4,9.216450084650448e-05,9.597984837873174e-05,9.983022700092612e-05
revision_dfm_kalman_em,exact,pre_third,T,80,0.3718940965001334,0.2447131488517397,-0.0386709860462395,0.0542602141923696,0.1487874136608083,1.0,1.0,25.7375,9.371564962855168e-05,9.392496397867931e-05,9.999327173321583e-05
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.3771221274742741,0.2636991802308038,0.0023809721026204,0.0550229960787476,0.1488273142878372,1.0,0.95,44.6875,9.910693770506556e-05,9.652373063638478e-05,0.0002739932333404
release_dfm,exact,pre_third,T,80,0.4446166872002175,0.2866196694384428,-0.0044366886745788,0.0648706094235539,0.149209923288727,1.0,1.0,0.0,,,
standard_dfm,exact,pre_third,T,80,2.9071466913431796,1.6952067512158628,0.626428932902157,0.4241594680997125,0.1932321572709735,0.925,1.0,0.0,,,
bridge,exact,pre_third,T,80,4.4019297631577015,2.034724902716331,-0.0398637238758494,0.642251797101647,0.1851955957714749,0.9,1.0,0.0,,,
midas_umidas,exact,pre_third,T,80,6.1904905088081,2.464334501422958,0.360042216092577,0.9032069724280728,0.3866718948368688,0.875,1.0,0.0,,,
ar,exact,pre_third,T,80,6.853900266254954,2.504536216607909,0.0681353139193999,1.0,1.0,0.9,1.0,0.0,,,
standard_dfm,pseudo,pre_advance,A,80,3.051686880620195,1.617840274844697,0.5850074419094152,0.4275941856533457,0.2116061668132361,0.9375,1.0,0.0,,,
release_dfm,pseudo,pre_advance,A,80,3.051686880620195,1.617840274844697,0.5850074419094152,0.4275941856533457,0.2116061668132361,0.9375,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_advance,A,80,3.57088459441811,1.864088761429981,0.1767024356033943,0.5003427775991157,0.1935965796481712,0.95,1.0,26.1125,9.336834772184863e-05,9.36687892577695e-05,9.99999080974512e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,3.803585927561054,2.070372237231512,0.1071580250593254,0.5329482646422306,0.1996951404889217,0.9,1.0,33.7375,9.146146375007092e-05,9.49736021853073e-05,9.990324597919189e-05
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,3.8667653871861143,2.208998863040122,0.2930242748177778,0.5418008011720942,0.2096764709702128,0.8875,1.0,32.775,9.23075239669302e-05,9.527860466016932e-05,9.963984337494167e-05
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,4.710572869899431,2.2105510711962473,0.3145644622604198,0.6600328438204779,0.316310882787199,0.95,0.975,44.6,9.939353216406568e-05,9.640292427478568e-05,0.0002863668013044
bridge,pseudo,pre_advance,A,80,4.853299396730429,2.061680360176223,-0.0626212282907241,0.6800313021809988,0.2078092787274127,0.9,1.0,0.0,,,
