model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,exact,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,exact,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
ar,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,7.181818733775091,7.136876466075766,,,,,0.0
ar,pseudo,pre_second,S,79,0,0.0,0.0,,,,,6.986343495667327,6.942115480721942,,,,,0.0
ar,pseudo,pre_third,T,80,0,0.0,0.0,,,,,6.896802153026556,6.853900266254954,,,,,0.0
bridge,exact,pre_advance,A,80,0,0.0,0.0,,,,,4.90367088807278,4.873697083215683,,,,,0.0
bridge,exact,pre_second,S,79,0,0.0,0.0,,,,,4.571323844861157,4.54265384858136,,,,,0.0
bridge,exact,pre_third,T,80,0,0.0,0.0,,,,,4.429520821390448,4.4019297631577015,,,,,0.0
bridge,pseudo,pre_advance,A,80,0,0.0,0.0,,,,,4.883513325058257,4.853299396730429,,,,,0.0
bridge,pseudo,pre_second,S,79,0,0.0,0.0,,,,,4.570841796783709,4.542167880186523,,,,,0.0
bridge,pseudo,pre_third,T,80,0,0.0,0.0,,,,,4.426287779520506,4.398694165093339,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,2.793226611031144,3.994311339914052,7.039271811120267,2.009097992484665,3.8701729628458414,3.8564125474777735,0.5209758986492988,0.5191235667687889,0.6375,0.8125,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3588910274943412,0.4034881730707269,0.4328441104440519,0.629754541558552,0.6034740830360077,0.5997128541946206,1.0500934524811472,1.0435486117155692,0.7848101265822784,0.9113924050632911,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1314296687957918,0.14329176034492574,0.4968659950876268,0.38320129749096243,0.3702946512216629,0.37116445093783057,1.0324299553007248,1.0348550707570807,0.8625,0.9375,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,2.792093411569889,4.0018134969712005,7.039271811120267,2.008788191905431,3.879972769564906,3.8667653871861147,0.5195009240959527,0.5177325489659799,0.6375,0.8,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,79,1.0,1.0,0.3588921422794081,0.4034881730707269,0.4328441104440519,0.6297452529472027,0.6028527700487082,0.5991036053382641,1.0511458240877016,1.044608707522936,0.7848101265822784,0.9113924050632911,1.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,80,1.0,1.0,0.1314296441112611,0.14329108482375702,0.4968614866738065,0.3831986065864807,0.37024860599091997,0.37112273077746893,1.03253876630977,1.0349765006161247,0.8625,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,80,1.0,1.0,1.8876526661407935,2.926845230039331,5.512617387582272,1.736676019401608,3.8274386249861614,3.8048272758302932,0.45644017283876015,0.4537436624232968,0.6,0.7625,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,79,1.0,1.0,0.3520466104793643,0.3884696683167785,0.4131654017922875,0.6202620485348719,0.6411425191842367,0.6402321314452203,0.9688080589375151,0.9674324038344356,0.7341772151898734,0.8734177215189873,1.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,80,1.0,1.0,0.1273993538395396,0.1397254055462821,0.4969420172989639,0.37772090693540583,0.37139884613612956,0.37113834776674076,1.0177361331920414,1.0170222952091752,0.8375,0.9375,1.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,80,1.0,1.0,1.8848070212649504,2.9321261674206056,5.512617387582272,1.7359358096227688,3.8260642521758705,3.8035859275610546,0.4563945294476074,0.45371318807193256,0.6,0.7625,1.0
