model_id,timing_mode,checkpoint_id,outcome_id,n_density_forecasts,mean_log_score,mean_crps,coverage_68,coverage_90,mean_predictive_sd
ar,exact,pre_advance,A,68,-5.618128715841734,2.418392797090324,0.8235294117647058,0.9264705882352942,3.3618436429867624
ar,exact,pre_second,S,67,-5.047878604746491,2.483539935822012,0.8208955223880597,0.8955223880597015,3.530749439170137
ar,exact,pre_third,T,68,-4.874850531908389,2.4785197279639726,0.8235294117647058,0.8970588235294118,3.5255243334180353
ar,pseudo,pre_advance,A,68,-5.618128715841734,2.418392797090324,0.8235294117647058,0.9264705882352942,3.3618436429867624
ar,pseudo,pre_second,S,67,-5.047878604746491,2.483539935822012,0.8208955223880597,0.8955223880597015,3.530749439170137
ar,pseudo,pre_third,T,68,-4.874850531908389,2.4785197279639726,0.8235294117647058,0.8970588235294118,3.5255243334180353
bridge,exact,pre_advance,A,68,-4.2342576282526565,1.8350709004732675,0.7794117647058824,0.8970588235294118,2.486762469089019
bridge,exact,pre_second,S,67,-3.8618045141304775,1.8159486579610202,0.7313432835820896,0.9104477611940298,2.441746402333912
bridge,exact,pre_third,T,68,-3.674828813300994,1.7665528322119612,0.8235294117647058,0.8970588235294118,2.4860180312941424
bridge,pseudo,pre_advance,A,68,-4.220993123711288,1.829642516843332,0.7794117647058824,0.8970588235294118,2.4863559056179607
bridge,pseudo,pre_second,S,67,-3.8706752801249955,1.8077118421036062,0.7313432835820896,0.9104477611940298,2.4317803914575222
bridge,pseudo,pre_third,T,68,-3.6799303811991173,1.76399674184095,0.8235294117647058,0.8970588235294118,2.4791045763393007
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,-3.5862278340996077,1.6312717858288643,0.625,0.8125,1.9439122584076796
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,-0.8944557908979258,0.3264585442717312,0.7848101265822784,0.9113924050632911,0.6274698377528329
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,-0.4439977132536252,0.18735160172035922,0.875,0.9375,0.38283872188059365
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,-3.585196657539464,1.6282314748718771,0.625,0.8125,1.9409972413521146
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,-0.8944451085434129,0.3264519849870391,0.7848101265822784,0.9113924050632911,0.6274515056420211
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,-0.44391582926882583,0.18732400070579897,0.875,0.9375,0.382838415120131
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,-4.2193981675102865,1.565755011922464,0.625,0.775,1.6768545814610882
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,-0.967082286745051,0.3475655880305462,0.7468354430379747,0.8734177215189873,0.6146288946658528
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,-0.4440004552022483,0.18829879757540913,0.85,0.9375,0.37734590359750575
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,-4.218404544762871,1.5622616608264384,0.625,0.775,1.674157567067678
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,-0.965687559351281,0.34721286126191286,0.7341772151898734,0.8860759493670886,0.6147992735698832
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,-0.4440326848877,0.18830479734658162,0.85,0.9375,0.377345910887421
midas_umidas,exact,pre_advance,A,68,-4.114163400322907,6.280939763569838,0.8382352941176471,0.9558823529411765,12.234077447846687
midas_umidas,exact,pre_second,S,67,-4.155173103463849,2.1013279936850027,0.835820895522388,0.8955223880597015,3.3985247481452814
midas_umidas,exact,pre_third,T,68,-4.18682413026999,2.490610900048014,0.7794117647058824,0.8823529411764706,3.6090164964929303
midas_umidas,pseudo,pre_advance,A,68,-4.134603835125136,6.366150371362198,0.8382352941176471,0.9558823529411765,12.371873173317013
midas_umidas,pseudo,pre_second,S,67,-4.1515896794530365,2.091423793869083,0.835820895522388,0.8955223880597015,3.391537659691085
midas_umidas,pseudo,pre_third,T,68,-4.194349403565174,2.490297750862133,0.7794117647058824,0.8823529411764706,3.5978499047023726
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,-3.5913033740413893,1.5503744385756957,0.7375,0.8875,1.923970654880265
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,-0.9076250915540174,0.3162153083727547,0.7721518987341772,0.9113924050632911,0.5978004084454971
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,-0.43814201821108456,0.19142519804482194,0.8125,0.95,0.3817954249502621
