model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,n_indicators,initialization_seed,initialization_jitter
ar,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.91427503282673,,,not_available,3.0876,-0.17332496717326995,False,True,0,,,,,,,13,,0.0
no_revision,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.979208231416087,,,not_available,3.0876,-0.10839176858391308,False,True,0,,,,,,,13,,0.0
bridge,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.028159457585212,,,not_available,3.0876,-0.05944054241478813,False,True,0,,,,,,,13,,0.0
midas_umidas,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,16.786138488141816,,,not_available,3.0876,13.698538488141816,False,True,0,,,,,,,13,,0.0
monthly_mixed_frequency_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,2.275883389126721,3.685813939877023,1.9198473741099897,model_implied_state_space,3.0876,-0.8117166108732792,False,True,69,-2880.070283328214,-3648.828755686391,-2880.070283328214,0.2660082914085251,9.232115396672413e-05,69.0,13,,0.0
standard_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.2440738813846406,,,not_available,3.0876,0.15647388138464047,False,True,0,,,,,,,13,,0.0
release_dfm,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.2440738813846406,,,not_available,3.0876,0.15647388138464047,False,True,0,,,,,,,13,,0.0
revision_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,3.0836519185945965,4.226674182073059,2.0558876871252134,model_implied_state_space,3.0876,-0.003948081405403592,False,True,31,-973.2114726503162,-1662.4073345730442,-973.2114726503162,0.09045391189783913,9.283971367787622e-05,31.0,13,,0.0
indicator_revision_only_dfm_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,5.161155281319671,5.758902864063914,2.3997714191280624,model_implied_state_space,3.0876,2.0735552813196705,False,True,26,-1739.1501009134845,-2505.9405164391596,-1739.1501009134845,0.16408933230604816,9.428718861556445e-05,26.0,13,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2005:Q1:pre_advance:exact,2005-04-27,pre_advance,A,2005:Q1,4.761828115922878,4.417041101305677,2.1016757840603475,model_implied_state_space,3.0876,1.6742281159228778,False,True,29,-1705.067720581706,-2515.777266403571,-1705.067720581706,0.1540410904772216,9.028198674845969e-05,29.0,13,,0.0
ar,exact,2005:Q1:pre_second:exact,2005-05-25,pre_second,S,2005:Q1,3.2499698412702402,,,not_available,3.4827,-0.23273015872975966,False,True,0,,,,,,,13,,0.0
no_revision,exact,2005:Q1:pre_second:exact,2005-05-25,pre_second,S,2005:Q1,3.0876,,,not_available,3.4827,-0.3950999999999998,False,True,0,,,,,,,13,,0.0
bridge,exact,2005:Q1:pre_second:exact,2005-05-25,pre_second,S,2005:Q1,3.2504980081513053,,,not_available,3.4827,-0.2322019918486946,False,True,0,,,,,,,13,,0.0
midas_umidas,exact,2005:Q1:pre_second:exact,2005-05-25,pre_second,S,2005:Q1,2.9916234375979873,,,not_available,3.4827,-0.4910765624020126,False,True,0,,,,,,,13,,0.0
