model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
ar,exact,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.03488368219251871,1.0,1.0,0.9125,1.0,0.0,,,
bridge,exact,pre_advance,A,80,4.873697083215683,2.0735239008375914,-0.08665986755250982,0.6828893713352308,0.2066013457099369,0.9,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,80,3.565938234338687,2.1017620073081202,0.3030224497820539,0.4996497068835254,0.20621065642356795,0.9125,1.0,31.75,8.967894641730026e-05,9.288089957869007e-05,9.972064680272848e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,80,3.609554187519902,1.9861752724982658,0.15538105902962013,0.5057610573305364,0.19417416724609315,0.925,1.0,32.025,9.13997419359254e-05,9.349515981594216e-05,9.968050671222596e-05
midas_umidas,exact,pre_advance,A,80,13.366462459511451,8.137926816908715,-1.4902070873137654,1.8728728909694918,0.002181984669447562,0.6125,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,80,3.725297676313166,1.9813474811497251,0.1300663641953979,0.5219787247293538,0.21526308919735748,0.95,1.0,41.8,9.427379510694152e-05,9.564925750159617e-05,9.992598888541152e-05
no_revision,exact,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.19438472290895642,1.0185748655930085,0.051114480642453164,0.8875,1.0,0.0,,,
release_dfm,exact,pre_advance,A,80,3.065863149762876,1.6259560683385963,0.5613778136832769,0.4295805264860708,0.2108819315398012,0.9375,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_advance,A,80,3.3827862430690288,1.823460922756461,0.10913821090601403,0.473986940806482,0.1948587460097336,0.9625,1.0,24.575,9.376535119450786e-05,9.29897804893243e-05,9.99444316614338e-05
standard_dfm,exact,pre_advance,A,80,3.065863149762876,1.6259560683385963,0.5613778136832769,0.4295805264860708,0.2108819315398012,0.9375,1.0,0.0,,,
ar,exact,pre_second,S,79,6.942115480721942,2.4901407735357477,0.04251227511661703,1.0,1.0,0.8987341772151899,1.0,0.0,,,
bridge,exact,pre_second,S,79,4.54265384858136,2.082360160345379,-0.05675651704617081,0.6543616079559872,0.19298013266723918,0.9113924050632911,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,79,0.5913344351831148,0.4467080518673777,-0.019289355866970437,0.08518072579248125,0.1556354671641436,0.9746835443037974,1.0,31.79746835443038,9.084556337384237e-05,9.527680132535336e-05,9.999832040606652e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,79,0.6316802729495307,0.4737773229380404,0.06621123625998351,0.09099247552186202,0.15583868712503787,0.9620253164556962,1.0,32.620253164556964,9.161855523900674e-05,9.353237719142313e-05,9.987919942710936e-05
midas_umidas,exact,pre_second,S,79,4.770330173182115,2.0735614295798213,0.42856838831025096,0.6871579976491585,0.29683026010589925,0.8607594936708861,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_second,S,79,0.5947350900660507,0.41264174470635595,0.03882850672277812,0.08567058437987862,0.1554933113431472,0.9620253164556962,1.0,42.77215189873418,9.433169402498471e-05,9.556488856492491e-05,9.996191109577998e-05
no_revision,exact,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.08205895236639228,0.15540264661795927,0.9620253164556962,1.0,0.0,,,
release_dfm,exact,pre_second,S,79,0.6907381923525489,0.4420605262914331,-0.00750483960018141,0.0994996689799686,0.15613889739557096,0.9620253164556962,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_second,S,79,0.6949709053482976,0.46482256202126504,0.06404889933705717,0.10010938413200014,0.1560645611933207,0.9620253164556962,1.0,24.810126582278482,9.390002704041374e-05,9.3669612333604e-05,9.986560588594552e-05
standard_dfm,exact,pre_second,S,79,2.9233852978395802,1.6559888022137657,0.6257983634253166,0.4211087104439185,0.19840546343088422,0.9240506329113924,1.0,0.0,,,
ar,exact,pre_third,T,80,6.853900266254954,2.504536216607909,0.06813531391939998,1.0,1.0,0.9,1.0,0.0,,,
bridge,exact,pre_third,T,80,4.401929763157702,2.034724902716331,-0.03986372387584931,0.6422517971016471,0.18519559577147499,0.9,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,80,0.37076981624725935,0.24204833607555223,-0.048727596115774305,0.054096179086926224,0.14877637305778096,1.0,1.0,31.0375,9.137439056807872e-05,9.415508091700843e-05,9.993742233652613e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,80,0.3721184482018661,0.24624221438190402,-0.041317091301438534,0.05429294762778853,0.14879008529712112,1.0,1.0,32.4125,9.333707201835435e-05,9.352230899413463e-05,9.983936563764872e-05
midas_umidas,exact,pre_third,T,80,6.190490508808118,2.464334501422888,0.36004221609239345,0.9032069724280755,0.386671894836855,0.875,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_third,T,80,0.36921097634627237,0.25972931094915386,0.0007731722336124944,0.0538687407174679,0.14877421258386858,0.9875,1.0,42.5875,9.440200811054625e-05,9.586332524593056e-05,9.999501178932916e-05
no_revision,exact,pre_third,T,80,0.36218671255306983,0.24027250000000003,-0.04849250000000001,0.05284388428239744,0.14872437738793134,1.0,1.0,0.0,,,
release_dfm,exact,pre_third,T,80,0.4446166872002174,0.28661966943844275,-0.004436688674578823,0.06487060942355392,0.149209923288727,1.0,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_third,T,80,0.3730632960286532,0.24559535413871023,-0.03886597078882975,0.05443080312467094,0.14879540217383774,1.0,1.0,24.5375,9.293437404244215e-05,9.321138048474741e-05,9.965469673331925e-05
standard_dfm,exact,pre_third,T,80,2.9071466913431796,1.6952067512158628,0.6264289329021568,0.42415946809971256,0.19323215727097356,0.925,1.0,0.0,,,
ar,pseudo,pre_advance,A,80,7.136876466075766,2.4019986787197354,-0.03488368219251871,1.0,1.0,0.9125,1.0,0.0,,,
bridge,pseudo,pre_advance,A,80,4.853299396730428,2.061680360176223,-0.06262122829072408,0.6800313021809987,0.20780927872741273,0.9,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,80,3.565456409224665,2.101993198112723,0.31125528613917197,0.49958219484008276,0.2059183093343401,0.9125,1.0,31.875,8.97965653183069e-05,9.314804341348237e-05,9.956915879045996e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,80,3.609977367006642,1.9844540661406758,0.16053140050613526,0.5058203521058842,0.19372829919561532,0.925,1.0,32.1,9.153231389377462e-05,9.34979784049452e-05,9.957269644339934e-05
midas_umidas,pseudo,pre_advance,A,80,13.553973435987377,8.229496807263976,-1.5805326543917773,1.8991464263693598,0.0031455831228280533,0.6125,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,80,3.728626854574298,1.988785250207998,0.13734465294835463,0.5224452002634278,0.21555043562240922,0.95,1.0,41.3875,9.436104636534708e-05,9.5881518023639e-05,9.994961427668047e-05
no_revision,pseudo,pre_advance,A,80,7.26944298718703,2.553570419453158,-0.19438472290895642,1.0185748655930085,0.051114480642453164,0.8875,1.0,0.0,,,
release_dfm,pseudo,pre_advance,A,80,3.051686880620196,1.617840274844697,0.5850074419094153,0.42759418565334584,0.21160616681323627,0.9375,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_advance,A,80,3.380002846945497,1.8201847043519066,0.11790086257431528,0.47359693880255743,0.1951602864002537,0.9625,1.0,24.575,9.372164369131895e-05,9.301033021627611e-05,9.99444316614338e-05
standard_dfm,pseudo,pre_advance,A,80,3.051686880620196,1.617840274844697,0.5850074419094153,0.42759418565334584,0.21160616681323627,0.9375,1.0,0.0,,,
ar,pseudo,pre_second,S,79,6.942115480721942,2.4901407735357477,0.04251227511661703,1.0,1.0,0.8987341772151899,1.0,0.0,,,
bridge,pseudo,pre_second,S,79,4.542167880186523,2.069129516390108,-0.05619203697229968,0.654291605030195,0.1916852752037389,0.9113924050632911,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,79,0.5913395153803191,0.44664092669761135,-0.019251564166856194,0.08518145758630093,0.15563550088075093,0.9746835443037974,1.0,31.835443037974684,9.137192042759255e-05,9.539247287019404e-05,9.970365798388255e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,79,0.6312514733847517,0.47361626007297636,0.0656147628229159,0.09093070766940124,0.1558250570780037,0.9620253164556962,1.0,32.36708860759494,9.176490469476062e-05,9.360424446466443e-05,9.975865629444102e-05
midas_umidas,pseudo,pre_second,S,79,4.7627716394170765,2.056091631829284,0.39163177288133155,0.6860692036373003,0.2949752830466327,0.8734177215189873,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,79,0.5932395574559545,0.4095022992793799,0.03802457258917835,0.08545515543545248,0.1554779363591665,0.9620253164556962,1.0,42.43037974683544,9.398318302518718e-05,9.545835473294451e-05,9.989107895116457e-05
no_revision,pseudo,pre_second,S,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.08205895236639228,0.15540264661795927,0.9620253164556962,1.0,0.0,,,
release_dfm,pseudo,pre_second,S,79,0.6904136306729566,0.4416792069701229,-0.007934078948254781,0.09945291641866455,0.1561355396190309,0.9620253164556962,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_second,S,79,0.69465339202786,0.46423122512941584,0.06343953195650939,0.10006364687491771,0.1560594490322054,0.9620253164556962,1.0,24.82278481012658,9.368912936190407e-05,9.363989350836496e-05,9.986307100241731e-05
standard_dfm,pseudo,pre_second,S,79,2.9162859684726596,1.6502216253940645,0.6290688191942768,0.420086064049367,0.19837844515168954,0.9240506329113924,1.0,0.0,,,
ar,pseudo,pre_third,T,80,6.853900266254954,2.504536216607909,0.06813531391939998,1.0,1.0,0.9,1.0,0.0,,,
bridge,pseudo,pre_third,T,80,4.398694165093339,2.023836204423721,-0.037244391964048516,0.6417797158138154,0.18453576972944857,0.9,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,80,0.37071505667263055,0.24198448035320697,-0.048741911225562456,0.05408818953754536,0.14877601055597356,1.0,1.0,31.025,9.194657880959626e-05,9.419725798411242e-05,9.993993631184371e-05
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,80,0.3721319800979772,0.2462074148268171,-0.04129213178549292,0.05429492196292406,0.14879017337225045,1.0,1.0,32.4125,9.391733870095575e-05,9.42091235380895e-05,9.985117018023644e-05
midas_umidas,pseudo,pre_third,T,80,6.186914482958172,2.466880937795282,0.38281850628520886,0.9026852219340462,0.3847185977533838,0.875,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,80,0.36872263671598393,0.260112334328093,-0.0012235814448962059,0.05379749082889092,0.14877098851112344,0.9875,1.0,42.9875,9.419491495521817e-05,9.565707396611082e-05,9.996162498274964e-05
no_revision,pseudo,pre_third,T,80,0.36218671255306983,0.24027250000000003,-0.04849250000000001,0.05284388428239744,0.14872437738793134,1.0,1.0,0.0,,,
release_dfm,pseudo,pre_third,T,80,0.4446354112046445,0.28664795186023795,-0.0043697752705770445,0.06487334129937641,0.14921005951916058,1.0,1.0,0.0,,,
revision_dfm_kalman_em,pseudo,pre_third,T,80,0.3729824226779415,0.2455303117646363,-0.03890712389415968,0.05441900351458472,0.14879486362696437,1.0,1.0,24.55,9.297924988184345e-05,9.3211375161093e-05,9.965571978906267e-05
standard_dfm,pseudo,pre_third,T,80,2.906128566370332,1.6923315853777297,0.6300497207873996,0.4240109212966812,0.19309716005729083,0.925,1.0,0.0,,,
