model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement
ar,exact,pre_advance,DELTA_SA,79,0.6781421206748107,0.4682494597319136,0.0830363873945812,1.0,1.0,0.5316455696202531,1.0,0.0,,,
bridge,exact,pre_advance,DELTA_SA,79,0.7182954588874341,0.4981139843812444,-8.351340754934227e-05,1.0592108010820316,0.5886505918118834,0.5316455696202531,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,31.835443037974684,8.965784304021618e-05,9.299720613469333e-05,9.972064680272848e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,79,0.6360147970701743,0.46892272027938625,0.0752137414992127,0.9378783262087952,0.5304386619090302,0.620253164556962,1.0,32.10126582278481,9.137126664486627e-05,9.334102970228742e-05,9.968050671222596e-05
midas_umidas,exact,pre_advance,DELTA_SA,79,13.866667467382854,7.931094055528306,0.9838526443093487,20.448025634485447,0.002689911096541277,0.43037974683544306,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,79,0.6404863203599428,0.41586197399312164,0.040131941054362984,0.9444721111300429,0.6629528976127944,0.6582278481012658,1.0,41.70886075949367,9.426032789760221e-05,9.565430269629657e-05,9.992598888541152e-05
no_revision,exact,pre_advance,DELTA_SA,79,0.5696627235545563,0.3997025316455696,-0.06579873417721517,0.8400344207902792,0.13796434092086865,0.0,1.0,0.0,,,
release_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223116,0.4275288832410044,-0.008320378652386344,0.946183211542467,0.7003278430952316,0.5949367088607594,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,79,0.629218358595464,0.4372406999515958,0.07402793243190744,0.9278561814879406,0.519538453928575,0.6582278481012658,1.0,24.620253164556964,9.378421861952402e-05,9.300433357694919e-05,9.99444316614338e-05
standard_dfm,exact,pre_advance,DELTA_SA,79,0.6416466896223116,0.4275288832410044,-0.008320378652386344,0.946183211542467,0.7003278430952316,0.5949367088607594,1.0,0.0,,,
ar,exact,pre_second,DELTA_TS,79,0.40791620019200964,0.2599709855671533,0.01637946087350748,1.0,1.0,0.6075949367088608,1.0,0.0,,,
bridge,exact,pre_second,DELTA_TS,79,0.4916791866250378,0.35909573516181387,0.01926729786961579,1.2053436132068307,0.000463343848143835,0.620253164556962,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,31.79746835443038,9.084556337384237e-05,9.527680132535336e-05,9.999832040606652e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,79,0.36190856986341013,0.238837081446496,-0.050725674845221426,0.887213034670005,0.09621975244384542,0.5189873417721519,1.0,32.620253164556964,9.161855523900674e-05,9.353237719142313e-05,9.987919942710936e-05
midas_umidas,exact,pre_second,DELTA_TS,79,3.1241130194946445,1.2474017897367604,0.0017971423327571507,7.658712789597711,0.11676293747629878,0.6835443037974683,1.0,0.0,,,
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,79,0.37782339804570936,0.26045162537649763,0.004659052997436304,0.9262279798347421,0.3945925500892414,0.5569620253164557,1.0,42.77215189873418,9.433169402498471e-05,9.556488856492491e-05,9.996191109577998e-05
no_revision,exact,pre_second,DELTA_TS,79,0.3613823734957444,0.23798607594936708,-0.05443417721518989,0.8859230727429768,0.09095370415119064,0.0,1.0,0.0,,,
release_dfm,exact,pre_second,DELTA_TS,79,0.36379196310695533,0.2423442573273786,-0.0208241387175782,0.8918301428962991,0.10057888675392843,0.5822784810126582,1.0,0.0,,,
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,79,0.3617093443923939,0.2385576792842235,-0.050736377267462475,0.8867246366340298,0.09550566650551905,0.569620253164557,1.0,24.810126582278482,9.390002704041374e-05,9.3669612333604e-05,9.986560588594552e-05
standard_dfm,exact,pre_second,DELTA_TS,79,0.3671373475049815,0.24650353001034286,0.002241302448894584,0.9000312989093515,0.12994126597111824,0.5822784810126582,1.0,0.0,,,
ar,exact,pre_third,DELTA_MT,80,3.029600437848392,1.7654017002683489,0.3284006384956069,1.0,1.0,0.4625,1.0,0.0,,,
bridge,exact,pre_third,DELTA_MT,80,1.9681597928674712,1.4938949101809555,-0.0888329936349379,0.6496433550376858,0.19500418616258547,0.475,1.0,0.0,,,
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,80,1.338732745080212,1.05551,-0.03200500000000002,0.4418842591767559,0.08844962478017648,0.0,1.0,31.0375,9.137439056807872e-05,9.415508091700843e-05,9.993742233652613e-05
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,80,1.3403512690962829,1.057187728170918,-0.03049441968951021,0.44241849596780297,0.08864647429479786,0.4125,1.0,32.4125,9.333707201835435e-05,9.352230899413463e-05,9.983936563764872e-05
midas_umidas,exact,pre_third,DELTA_MT,80,7.878605056442747,5.424526380733331,1.7338434550072683,2.600542618761336,0.0012058346410695007,0.4875,1.0,0.0,,,
