model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,A,24,12.772608971613197,5.0482671137361335,-0.8181744385362836,1.0,1.0,0.8333333333333334,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,A,24,8.613899659546695,4.1482852609401455,-0.27478973924922373,0.6744040844506295,0.2113433906553904,0.7916666666666666,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,24,5.5066714165294535,3.00641834964407,-0.42693517991622437,0.43113129265664457,0.18327787043042254,0.9166666666666666,1.0,43.333333333333336,9.080236018156047e-05,9.164839918844355e-05,9.933577115984499e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,24,5.848062388003924,3.068247886440426,-0.5080767499584096,0.45785965897813796,0.1790097438655081,0.9166666666666666,1.0,43.458333333333336,9.107406177215234e-05,9.160523985950677e-05,9.860959843246166e-05,0.0,0.0
midas_umidas,exact,pre_advance,A,24,18.771174886157752,8.23184582438807,0.20866086818820273,1.4696429623639318,0.15771115141880857,0.625,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,24,6.3725243691147115,3.662074805934507,-0.5638027300740327,0.4989211196614166,0.21536925098112822,0.875,1.0,34.958333333333336,9.479560252804889e-05,9.572414527196684e-05,9.992598888191642e-05,0.0,0.0
no_revision,exact,pre_advance,A,24,13.017943149641257,5.570252771236277,-1.2816524947503103,1.0192078359694021,0.042778256341442916,0.75,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,24,5.233977985163841,2.939804113620527,0.6102238249747501,0.4097814312484024,0.21650236675165516,0.875,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,24,5.850169767130359,3.236209294529026,-0.5250841349914636,0.4580246510428852,0.19119499075571267,0.9166666666666666,1.0,26.125,9.210130244022517e-05,9.029041576036654e-05,9.93370294007138e-05,0.0,0.0
standard_dfm,exact,pre_advance,A,24,5.233977985163841,2.939804113620527,0.6102238249747501,0.4097814312484024,0.21650236675165516,0.875,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,S,24,12.239075796986006,4.8895026607216865,-0.6506450334454126,1.0,1.0,0.8333333333333334,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,S,24,7.891003231821023,3.850045055889797,-0.2051124055691346,0.6447384886499569,0.2050554977804523,0.8333333333333334,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,24,0.4120064843589627,0.2996285436849318,-0.04549031756963461,0.03366320228692622,0.17234371629225695,1.0,1.0,44.041666666666664,9.146136479495761e-05,9.248463924678363e-05,9.832136160384394e-05,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,24,0.5748812619321619,0.4014036617958459,0.017720617573216895,0.04697096998727079,0.172644801374549,1.0,1.0,44.416666666666664,9.182586044883676e-05,9.221892434409424e-05,9.924866354193209e-05,0.0,0.0
midas_umidas,exact,pre_second,S,24,7.675872631261396,2.9340262231374368,0.5090868708350226,0.6271611319828296,0.2537937134845074,1.0,1.0,0.0,,,,0.0,0.0
