model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,revision_target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.08085476933679514,,,not_available,0.20989999999999998,-0.12904523066320484,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.09188707340450097,,,not_available,0.20989999999999998,-0.118012926595499,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.0,0.7197696584270759,0.8483923964929647,model_implied_state_space,0.20989999999999998,-0.20989999999999998,True,False,5,-3736.5859269940697,-5552.5665433636705,-3736.5859269940697,109.18361926380976,0.028383197368821615,6.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.01779374740763684,1.8346857293790624,1.354505714044449,model_implied_state_space,0.20989999999999998,-0.19210625259236314,True,False,5,-3859.4093214343143,-5561.6939933901995,-3859.4093214343143,77.05452760360777,0.019569583508032774,6.0,0,{},14,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,1.0837724166581584,,,not_available,0.20989999999999998,0.8738724166581584,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.13570981321820375,2.1591347331433237,1.4693994464213342,model_implied_state_space,0.20989999999999998,-0.07419018678179623,True,False,5,-6658.26005943219,-8302.954274077316,-6658.26005943219,118.75775419662114,0.017521015356116432,6.0,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.0,,,not_available,0.20989999999999998,-0.20989999999999998,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.09583988950882683,,,not_available,0.20989999999999998,-0.11406011049117315,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.1754568578409308,1.8682634689421453,1.3668443470059586,model_implied_state_space,0.20989999999999998,-0.034443142159069184,True,False,5,-2123.7155200028324,-3431.473833455687,-2123.7155200028324,71.59758798520079,0.03259898951784196,6.0,0,{},14,expanding,40,1965:Q3,,,0.0
spf,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.0,,,not_available,0.20989999999999998,-0.20989999999999998,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2023:Q1:pre_advance:exact,2023-04-26,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.09583988950882683,,,not_available,0.20989999999999998,-0.11406011049117315,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
ar,pseudo,2023:Q1:pre_advance:pseudo,2023-04-30,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.08085476933679514,,,not_available,0.20989999999999998,-0.12904523066320484,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,pseudo,2023:Q1:pre_advance:pseudo,2023-04-30,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.09120156070385876,,,not_available,0.20989999999999998,-0.11869843929614121,True,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,pseudo,2023:Q1:pre_advance:pseudo,2023-04-30,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.0,0.7197701435344603,0.8483926823909199,model_implied_state_space,0.20989999999999998,-0.20989999999999998,True,False,5,-3736.583037272921,-5552.5633871430355,-3736.583037272921,109.1812377242436,0.028382617160580777,6.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,2023:Q1:pre_advance:pseudo,2023-04-30,pre_advance,DELTA_SA,DELTA_SA,2023:Q1,0.0176415291554628,1.8346878247982943,1.354506487543819,model_implied_state_space,0.20989999999999998,-0.19225847084453718,True,False,5,-3859.405827701559,-5561.690836361378,-3859.405827701559,77.05220985939559,0.019569023751964943,6.0,0,{},14,expanding,40,1965:Q3,,,0.0
