model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,DELTA_SA,4,0.22261772186622358,0.14550314039374762,0.11387890991557431,1.0,1.0,0.75,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,4,0.19628861445707124,0.15481162521728048,0.043069612562763926,0.8817295083768122,,0.75,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999996,0.8319995210226064,,0.0,0.0,5.0,0.023391479592762478,0.023766993542764125,0.02388144697564867,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,4,0.3324873042449577,0.24954470947096263,0.24168540103729463,1.493534753018259,,0.75,0.0,5.0,0.02464278614932498,0.02464070916117187,0.024702222298756384,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,4,0.6802330921321854,0.44690207100857243,-0.2020858318768895,3.0556106963530696,,0.75,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,4,0.2910302409784635,0.22366827762852154,0.1912186615268308,1.307309402588131,,0.75,0.0,5.0,0.017681339694466766,0.018043858443408667,0.018220583459783238,0.0,0.0
no_revision,exact,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999996,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,4,0.22171680528408713,0.13474201905901545,0.12464520244634164,0.9959530778835396,,0.75,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.33754062281652036,0.26487166160518627,0.2434280638617088,1.5162342871308185,,0.75,0.0,5.0,0.04239251693242303,0.04232881764203833,0.04277060397954908,0.0,0.0
spf,exact,pre_advance,DELTA_SA,4,0.18521783796384184,0.13862499999999994,0.03162499999999996,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
