model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,A,1,0.25182148350026656,0.25182148350026656,0.25182148350026656,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,A,1,0.2526993338243564,0.2526993338243564,0.2526993338243564,1.0034860025121284,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,1,0.20377164481386068,0.20377164481386068,0.20377164481386068,0.8091908679969514,,1.0,0.0,5.0,0.02371299389409131,0.02371299389409131,0.02371299389409131,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,1,0.05113283901187504,0.05113283901187504,0.05113283901187504,0.203051933064404,,1.0,0.0,5.0,0.024587503976199788,0.024587503976199788,0.024587503976199788,0.0,0.0
midas_umidas,exact,pre_advance,A,1,0.1015344082616707,0.1015344082616707,-0.1015344082616707,0.40319994485920513,,1.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,1,0.5650732352611461,0.5650732352611461,-0.5650732352611461,2.243943715233287,,1.0,0.0,5.0,0.017992798125229588,0.017992798125229588,0.017992798125229588,0.0,0.0
no_revision,exact,pre_advance,A,1,0.1930473719443051,0.1930473719443051,0.1930473719443051,0.7666040611824954,,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,1,0.17402462038704858,0.17402462038704858,-0.17402462038704858,0.6910634389415166,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,1,0.255708364428751,0.255708364428751,-0.255708364428751,1.0154350648501376,,1.0,0.0,5.0,0.042141828466066386,0.042141828466066386,0.042141828466066386,0.0,0.0
spf,exact,pre_advance,A,1,0.34689999999999976,0.34689999999999976,-0.34689999999999976,1.3775631656924638,,1.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,1,0.17402462038704858,0.17402462038704858,-0.17402462038704858,0.6910634389415166,,1.0,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,S,1,0.24648768829132628,0.24648768829132628,0.24648768829132628,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,S,1,0.0718421510976861,0.0718421510976861,-0.0718421510976861,0.2914634462909772,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,1,0.07503931982522305,0.07503931982522305,-0.07503931982522305,0.3044343526664639,,1.0,0.0,5.0,0.023785768348765356,0.023785768348765356,0.023785768348765356,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,1,0.12913171814286395,0.12913171814286395,0.12913171814286395,0.5238870916353513,,1.0,0.0,5.0,0.0246375340049125,0.0246375340049125,0.0246375340049125,0.0,0.0
midas_umidas,exact,pre_second,S,1,1.7929117456718349,1.7929117456718349,-1.7929117456718349,7.2738389414110385,,1.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,S,1,0.12260997840918941,0.12260997840918941,-0.12260997840918941,0.4974284081250965,,1.0,0.0,5.0,0.016056825076468318,0.016056825076468318,0.016056825076468318,0.0,0.0
no_revision,exact,pre_second,S,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,0.3809520899438139,,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,S,1,0.01543777015990866,0.01543777015990866,0.01543777015990866,0.06263099900414744,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,S,1,0.02443471976048972,0.02443471976048972,0.02443471976048972,0.0991316034073478,,1.0,0.0,5.0,0.04239412600376041,0.04239412600376041,0.04239412600376041,0.0,0.0
spf,exact,pre_second,S,1,0.44079999999999986,0.44079999999999986,-0.44079999999999986,1.7883246139215436,,1.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,S,1,0.03312236675893887,0.03312236675893887,0.03312236675893887,0.13437736784561513,,1.0,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,T,1,0.22172391598119345,0.22172391598119345,0.22172391598119345,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,T,1,0.04526349080664094,0.04526349080664094,0.04526349080664094,0.20414347548543285,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,1,0.13141997990353405,0.13141997990353405,-0.13141997990353405,0.592719009683561,,1.0,0.0,5.0,0.023806546789596712,0.023806546789596712,0.023806546789596712,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,1,0.0587182765571268,0.0587182765571268,-0.0587182765571268,0.26482608471567526,,1.0,0.0,5.0,0.024675216640736738,0.024675216640736738,0.024675216640736738,0.0,0.0
