model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,DELTA_SA,1,0.005333795208940284,0.005333795208940284,-0.005333795208940284,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,1,0.013118587007399096,0.013118587007399096,-0.013118587007399096,2.459522065153583,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,17.60472540126941,,0.0,0.0,5.0,0.02371299389409131,0.02371299389409131,0.02371299389409131,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,1,0.11955777961946001,0.11955777961946001,0.11955777961946001,22.415142489734567,,1.0,0.0,5.0,0.024587503976199788,0.024587503976199788,0.024587503976199788,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,1,1.2790924056507862,1.2790924056507862,-1.2790924056507862,239.80905819309018,,0.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,1,0.15155602403033996,0.15155602403033996,0.15155602403033996,28.414293780216404,,1.0,0.0,5.0,0.017992798125229588,0.017992798125229588,0.017992798125229588,0.0,0.0
no_revision,exact,pre_advance,DELTA_SA,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,17.60472540126941,,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,1,0.0016847606482608413,0.0016847606482608413,-0.0016847606482608413,0.315865267087292,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,1,0.15136247292293037,0.15136247292293037,0.15136247292293037,28.378006090151892,,1.0,0.0,5.0,0.042141828466066386,0.042141828466066386,0.042141828466066386,0.0,0.0
spf,exact,pre_advance,DELTA_SA,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,17.60472540126941,,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,1,0.0016847606482608413,0.0016847606482608413,-0.0016847606482608413,0.315865267087292,,1.0,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,DELTA_TS,1,0.024763772310132826,0.024763772310132826,-0.024763772310132826,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,DELTA_TS,1,0.027694162530152333,0.027694162530152333,0.027694162530152333,1.118333757204691,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,1,0.10440000000000005,0.10440000000000005,-0.10440000000000005,4.215835886896833,,0.0,0.0,5.0,0.023785768348765356,0.023785768348765356,0.023785768348765356,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,1,0.09532966188926251,0.09532966188926251,-0.09532966188926251,3.8495613953878736,,1.0,0.0,5.0,0.0246375340049125,0.0246375340049125,0.0246375340049125,0.0,0.0
midas_umidas,exact,pre_second,DELTA_TS,1,0.8707464835904368,0.8707464835904368,-0.8707464835904368,35.16210990335044,,0.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,1,0.05124505694520387,0.05124505694520387,-0.05124505694520387,2.0693558438281814,,1.0,0.0,5.0,0.016056825076468318,0.016056825076468318,0.016056825076468318,0.0,0.0
no_revision,exact,pre_second,DELTA_TS,1,0.10440000000000005,0.10440000000000005,-0.10440000000000005,4.215835886896833,,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,DELTA_TS,1,0.05400553658531981,0.05400553658531981,-0.05400553658531981,2.1808283450911015,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,1,0.0969418958463657,0.0969418958463657,-0.0969418958463657,3.91466593345712,,1.0,0.0,5.0,0.04239412600376041,0.04239412600376041,0.04239412600376041,0.0,0.0
spf,exact,pre_second,DELTA_TS,1,0.10440000000000005,0.10440000000000005,-0.10440000000000005,4.215835886896833,,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,DELTA_TS,1,0.0370822387147931,0.0370822387147931,-0.0370822387147931,1.4974390109224116,,1.0,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,DELTA_MT,1,0.9346469452895665,0.9346469452895665,0.9346469452895665,1.0,1.0,0.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,DELTA_MT,1,0.7274976639003956,0.7274976639003956,0.7274976639003956,0.7783662778408876,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,1,0.5985,0.5985,0.5985,0.6403487466752235,,0.0,0.0,5.0,0.023806546789596712,0.023806546789596712,0.023806546789596712,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,1,0.6201911876475905,0.6201911876475905,0.6201911876475905,0.6635566411180499,,0.0,0.0,5.0,0.024675216640736738,0.024675216640736738,0.024675216640736738,0.0,0.0
midas_umidas,exact,pre_third,DELTA_MT,1,5.944332993307739,5.944332993307739,5.944332993307739,6.359976912422373,,0.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,1,0.6859769241480227,0.6859769241480227,0.6859769241480227,0.7339422951149727,,0.0,0.0,5.0,0.017879959262247017,0.017879959262247017,0.017879959262247017,0.0,0.0
no_revision,exact,pre_third,DELTA_MT,1,0.5985,0.5985,0.5985,0.6403487466752235,,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_third,DELTA_MT,1,0.9058783372384984,0.9058783372384984,0.9058783372384984,0.9692198126832211,,0.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,1,0.6162534901811623,0.6162534901811623,0.6162534901811623,0.6593436091424216,,0.0,0.0,5.0,0.04226039538152377,0.04226039538152377,0.04226039538152377,0.0,0.0
spf,exact,pre_third,DELTA_MT,1,0.5985,0.5985,0.5985,0.6403487466752235,,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_third,DELTA_MT,1,0.9130865928938015,0.9130865928938015,0.9130865928938015,0.9769320891654064,,0.0,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_advance,DELTA_SA,1,0.005333795208940284,0.005333795208940284,-0.005333795208940284,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_advance,DELTA_SA,1,0.01637151838826645,0.01637151838826645,-0.01637151838826645,3.0693938831444436,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,17.60472540126941,,0.0,0.0,5.0,0.02371345449215704,0.02371345449215704,0.02371345449215704,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,DELTA_SA,1,0.11901981817837193,0.11901981817837193,0.11901981817837193,22.314283454092106,,1.0,0.0,5.0,0.02458798601844494,0.02458798601844494,0.02458798601844494,0.0,0.0
midas_umidas,pseudo,pre_advance,DELTA_SA,1,1.2830689234921833,1.2830689234921833,-1.2830689234921833,240.55459072398523,,0.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_advance,DELTA_SA,1,0.15032048151631194,0.15032048151631194,0.15032048151631194,28.182649619608764,,1.0,0.0,5.0,0.01798562936716054,0.01798562936716054,0.01798562936716054,0.0,0.0
no_revision,pseudo,pre_advance,DELTA_SA,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,17.60472540126941,,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,pseudo,pre_advance,DELTA_SA,1,0.001677502223384586,0.001677502223384586,-0.001677502223384586,0.31450443027374336,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,1,0.15076026306118706,0.15076026306118706,0.15076026306118706,28.265101518800165,,1.0,0.0,5.0,0.042141417534459824,0.042141417534459824,0.042141417534459824,0.0,0.0
spf,pseudo,pre_advance,DELTA_SA,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,17.60472540126941,,0.0,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_advance,DELTA_SA,1,0.001677502223384586,0.001677502223384586,-0.001677502223384586,0.31450443027374336,,1.0,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_second,DELTA_TS,1,0.024763772310132826,0.024763772310132826,-0.024763772310132826,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,pseudo,pre_second,DELTA_TS,1,0.022413427744692793,0.022413427744692793,0.022413427744692793,0.9050893968816568,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_second,DELTA_TS,1,0.10440000000000005,0.10440000000000005,-0.10440000000000005,4.215835886896833,,0.0,0.0,5.0,0.02378534590547921,0.02378534590547921,0.02378534590547921,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,DELTA_TS,1,0.09532471462837444,0.09532471462837444,-0.09532471462837444,3.849361617227014,,1.0,0.0,5.0,0.024637053919047264,0.024637053919047264,0.024637053919047264,0.0,0.0
midas_umidas,pseudo,pre_second,DELTA_TS,1,0.8991347124417493,0.8991347124417493,-0.8991347124417493,36.308471148147405,,0.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,pseudo,pre_second,DELTA_TS,1,0.050937493388232724,0.050937493388232724,-0.050937493388232724,2.0569359445850726,,1.0,0.0,5.0,0.01605453112787172,0.01605453112787172,0.01605453112787172,0.0,0.0
no_revision,pseudo,pre_second,DELTA_TS,1,0.10440000000000005,0.10440000000000005,-0.10440000000000005,4.215835886896833,,0.0,1.0,0.0,,,,0.0,0.0
release_dfm,pseudo,pre_second,DELTA_TS,1,0.05398878023959286,0.05398878023959286,-0.05398878023959286,2.1801516975465716,,1.0,1.0,0.0,,,,0.0,0.0
