model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,2.5022415996938236,,,not_available,2.8248,-0.32255840030617655,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,2.416193032674926,,,not_available,2.8248,-0.40860696732507407,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,2.406973036116476,,,not_available,2.8248,-0.41782696388352436,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,0.9544518095465631,,,not_available,2.8248,-1.8703481904534371,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
spf,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.8702,,,not_available,2.8248,-0.9546000000000001,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.4318622354781478,4.543225725919165,2.131484394950891,model_implied_state_space,2.8248,-1.3929377645218524,False,False,20,-6493.4955320697945,-8688.148717082291,-6493.4955320697945,2.2059724325617935,0.000339552683932455,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.8708357897270056,,,not_available,2.8248,-0.9539642102729946,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.8708357897270056,,,not_available,2.8248,-0.9539642102729946,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.6012649562991204,2.919167278717882,1.7085570750542347,model_implied_state_space,2.8248,-1.2235350437008798,False,False,20,-1924.1692822775992,-3574.164233216894,-1924.1692822775992,0.42989849878972564,0.00022325440469723995,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.8726044710762553,3.310801940459061,1.819560919688885,model_implied_state_space,2.8248,-0.9521955289237449,False,False,20,-3748.6874337993545,-5818.803092891442,-3748.6874337993545,0.6323780243383226,0.00016861975939881562,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.709539086204079,2.385664455884601,1.544559631702383,model_implied_state_space,2.8248,-1.1152609137959213,False,False,20,-3713.585977491884,-5832.690181303576,-3713.585977491884,0.9691538666261295,0.0002608368957969895,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
ar,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.5967948124928846,,,not_available,2.8336,-0.23680518750711554,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.8248,,,not_available,2.8336,-0.008799999999999919,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.5321424251252944,,,not_available,2.8336,-0.3014575748747057,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,3.054649787624036,,,not_available,2.8336,0.22104978762403604,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
spf,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,1.8702,,,not_available,2.8336,-0.9634,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.75310039425212,0.3472695707289644,0.5892958261594633,model_implied_state_space,2.8336,-0.08049960574787995,False,False,20,-6510.905542995438,-8707.256363283941,-6510.905542995438,2.231576938465878,0.00034257444959778815,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.1884578766251432,,,not_available,2.8336,-0.6451421233748569,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.946644569928208,,,not_available,2.8336,0.11304456992820766,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.989161372283162,0.39747185696139475,0.630453691369473,model_implied_state_space,2.8336,0.1555613722831617,False,False,20,-1924.9346782131065,-3575.5707630699617,-1924.9346782131065,0.43058292876207815,0.0002235209165404315,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.718830945130249,0.3670814819457568,0.605872496442739,model_implied_state_space,2.8336,-0.11476905486975131,False,False,20,-3749.420243795262,-5820.1711146482285,-3749.420243795262,0.6675368790342873,0.00017795821320776734,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,3.0586480222456465,0.37245312014992493,0.6102893741086477,model_implied_state_space,2.8336,0.22504802224564635,False,False,20,-3714.2363363232466,-5834.149734125387,-3714.2363363232466,1.005967717223939,0.00027069486726691755,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
ar,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.66526432629407,,,not_available,3.073,-0.4077356737059299,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.8336,,,not_available,3.073,-0.23939999999999984,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.3677227363632447,,,not_available,3.073,-0.7052772636367552,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.584814950604585,,,not_available,3.073,-0.48818504939541496,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
spf,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,1.8702,,,not_available,3.073,-1.2027999999999999,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.8252123431063194,0.15145543251335858,0.3891727540737642,model_implied_state_space,3.073,-0.24778765689368054,False,False,20,-6528.044890747001,-8727.583307632305,-6528.044890747001,2.2568301644823805,0.00034554063813291817,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.1363286462139577,,,not_available,3.073,-0.9366713537860423,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.9283436678816743,,,not_available,3.073,-0.14465633211832563,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.8498266086286645,0.13987107085502037,0.3739934101759286,model_implied_state_space,3.073,-0.2231733913713354,False,False,20,-1921.8538169900096,-3600.5475129566626,-1921.8538169900096,0.2941635573088206,0.00015295939796848245,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.8246723584284394,0.14324263292199169,0.37847408487503037,model_implied_state_space,3.073,-0.2483276415715605,False,False,20,-3748.9519447519697,-5821.545267083413,-3748.9519447519697,0.6722963891575091,0.00017924919851554176,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.858840358787254,0.13904358144372658,0.37288548033374347,model_implied_state_space,3.073,-0.214159641212746,False,False,20,-3713.8244867630424,-5835.494191492558,-3713.8244867630424,1.0066905922099068,0.00027091935670942404,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
ar,pseudo,2024:Q3:pre_advance:pseudo,2024-10-31,pre_advance,A,2024:Q3,2.5022415996938236,,,not_available,2.8248,-0.32255840030617655,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,pseudo,2024:Q3:pre_advance:pseudo,2024-10-31,pre_advance,A,2024:Q3,2.416193032674926,,,not_available,2.8248,-0.40860696732507407,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,pseudo,2024:Q3:pre_advance:pseudo,2024-10-31,pre_advance,A,2024:Q3,2.433606173658529,,,not_available,2.8248,-0.39119382634147115,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
