model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,2.5022415996938236,,,not_available,2.8248,-0.32255840030617655,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,2.416193032674926,,,not_available,2.8248,-0.40860696732507407,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,2.406973036116476,,,not_available,2.8248,-0.41782696388352436,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,0.9544518095465631,,,not_available,2.8248,-1.8703481904534371,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
spf,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.8702,,,not_available,2.8248,-0.9546000000000001,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.4318622354781445,4.543225725919203,2.1314843949508995,model_implied_state_space,2.8248,-1.3929377645218557,False,False,20,-6493.495532069726,-8688.148717082293,-6493.495532069726,2.205972432683666,0.00033955268395121133,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.8708357897270056,,,not_available,2.8248,-0.9539642102729946,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.8708357897270056,,,not_available,2.8248,-0.9539642102729946,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.6012649562991104,2.9191672787179357,1.7085570750542505,model_implied_state_space,2.8248,-1.2235350437008898,False,False,20,-1924.1692822776342,-3574.164233216894,-1924.1692822776342,0.4298984987658514,0.0002232544046848403,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.8726044710762593,3.3108019404589704,1.81956091968886,model_implied_state_space,2.8248,-0.9521955289237409,False,False,20,-3748.6874337993827,-5818.803092891442,-3748.6874337993827,0.63237802431604,0.00016861975939287384,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q3:pre_advance:exact,2024-10-29,pre_advance,A,2024:Q3,1.709539086204083,2.385664455884613,1.5445596317023869,model_implied_state_space,2.8248,-1.1152609137959173,False,False,20,-3713.585977491898,-5832.690181303576,-3713.585977491898,0.9691538666206725,0.00026083689579552025,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
ar,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.5967948124928846,,,not_available,2.8336,-0.23680518750711554,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.8248,,,not_available,2.8336,-0.008799999999999919,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.5321424251252944,,,not_available,2.8336,-0.3014575748747057,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,3.054649787624036,,,not_available,2.8336,0.22104978762403604,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
spf,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,1.8702,,,not_available,2.8336,-0.9634,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.7531003942520873,0.3472695707292631,0.5892958261597168,model_implied_state_space,2.8336,-0.08049960574791282,False,False,20,-6510.905542995555,-8707.256363283941,-6510.905542995555,2.231576938775106,0.00034257444964523603,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.1884578766251432,,,not_available,2.8336,-0.6451421233748569,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.946644569928208,,,not_available,2.8336,0.11304456992820766,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.989161372283171,0.39747185696140414,0.6304536913694805,model_implied_state_space,2.8336,0.15556137228317102,False,False,20,-1924.9346782130947,-3575.5707630699617,-1924.9346782130947,0.4305829287795859,0.00022352091654951936,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,2.71883094513025,0.36708148194564094,0.6058724964426434,model_implied_state_space,2.8336,-0.11476905486974998,False,False,20,-3749.4202437952436,-5820.1711146482285,-3749.4202437952436,0.6675368790565699,0.00017795821321370746,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q3:pre_second:exact,2024-11-26,pre_second,S,2024:Q3,3.058648022245661,0.37245312014985255,0.6102893741085884,model_implied_state_space,2.8336,0.225048022245661,False,False,20,-3714.23633632325,-5834.149734125388,-3714.23633632325,1.0059677172080228,0.0002706948672626356,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
ar,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.66526432629407,,,not_available,3.073,-0.4077356737059299,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.8336,,,not_available,3.073,-0.23939999999999984,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.3677227363632447,,,not_available,3.073,-0.7052772636367552,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.584814950604585,,,not_available,3.073,-0.48818504939541496,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
spf,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,1.8702,,,not_available,3.073,-1.2027999999999999,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.825212343106317,0.15145543251336113,0.3891727540737675,model_implied_state_space,3.073,-0.24778765689368276,False,False,20,-6528.044890746802,-8727.583307632307,-6528.044890746802,2.2568301646942928,0.00034554063816536314,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.1363286462139577,,,not_available,3.073,-0.9366713537860423,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.9283436678816743,,,not_available,3.073,-0.14465633211832563,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.8498266086286925,0.13987107085509884,0.3739934101760335,model_implied_state_space,3.073,-0.22317339137130743,False,False,20,-1921.8538169900241,-3600.547512956663,-1921.8538169900241,0.29416355729904353,0.00015295939796339817,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.8246723584284505,0.1432426329222498,0.3784740848753714,model_implied_state_space,3.073,-0.2483276415715494,False,False,20,-3748.951944751965,-5821.545267083413,-3748.951944751965,0.672296389139774,0.00017924919851081424,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q3:pre_third:exact,2024-12-18,pre_third,T,2024:Q3,2.858840358787266,0.1390435814437735,0.37288548033380636,model_implied_state_space,3.073,-0.214159641212734,False,False,20,-3713.8244867630356,-5835.494191492558,-3713.8244867630356,1.0066905922476508,0.00027091935671957944,21.0,0,{},14,expanding,40,1965:Q3,,,0.0
ar,pseudo,2024:Q3:pre_advance:pseudo,2024-10-31,pre_advance,A,2024:Q3,2.5022415996938236,,,not_available,2.8248,-0.32255840030617655,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,pseudo,2024:Q3:pre_advance:pseudo,2024-10-31,pre_advance,A,2024:Q3,2.416193032674926,,,not_available,2.8248,-0.40860696732507407,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,pseudo,2024:Q3:pre_advance:pseudo,2024-10-31,pre_advance,A,2024:Q3,2.433606173658529,,,not_available,2.8248,-0.39119382634147115,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
