model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,A,2,0.28935962154415623,0.28718994190322156,-0.035368458402954994,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,A,2,0.3452798322110614,0.3352631488539404,-0.08256381502958399,1.1932550587690471,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,2,0.7176465724378659,0.6517087554058254,-0.30048677351791553,2.480119958023767,,1.0,0.0,20.0,0.0001890607610564362,0.0001890607610564362,0.00020950176271999853,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,2,0.8051388455621845,0.6724022036668282,-0.44285871012908906,2.78248513481457,,1.0,0.0,20.0,0.00027890938413001006,0.00027890938413001006,0.0002969818724644999,0.0,0.0
midas_umidas,exact,pre_advance,A,2,1.3244832180125,0.9859412993575539,-0.9859412993575539,4.577291091771711,,1.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,2,1.2316260317165193,1.2193287459367546,-1.2193287459367546,4.256385272914014,,1.0,0.0,20.0,0.0003448884256920488,0.0003448884256920488,0.0003502241674328863,0.0,0.0
no_revision,exact,pre_advance,A,2,0.3195519844729469,0.3008271696346896,-0.10777979769038448,1.10434200448449,,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,2,0.6856866204698159,0.5639944153300216,-0.5639944153300216,2.369669329848706,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,2,0.8954334142075897,0.7749882277939492,-0.7749882277939492,3.0945347848782236,,1.0,0.0,20.0,0.00022403681787705145,0.00022403681787705145,0.0002248192310692626,0.0,0.0
spf,exact,pre_advance,A,2,0.7181924428730785,0.6507499999999999,-0.6507499999999999,2.4820064355920595,,1.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,2,0.6856866204698159,0.5639944153300216,-0.5639944153300216,2.369669329848706,,1.0,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,S,2,0.2416949288974452,0.2416464378992209,0.004841250392105367,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,S,2,0.2191323391511184,0.1866498629861959,-0.1866498629861959,0.906648476866056,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,2,0.08915670620047013,0.08348960627663593,-0.08348960627663593,0.3688811619142438,,1.0,0.0,20.0,0.00022202986927337192,0.00022202986927337192,0.0002661015253330364,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,2,0.16430309936003828,0.1414394248408879,0.08360859740477311,0.6797953937616729,,1.0,0.0,20.0,0.0003100790535347914,0.0003100790535347914,0.0003494632398069472,0.0,0.0
midas_umidas,exact,pre_second,S,2,1.2773792577728547,1.0069807666479353,-0.7859309790238994,5.285089197361132,,1.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,S,2,0.07214879206012126,0.07159748965424306,-0.07159748965424306,0.2985118156564016,,1.0,0.0,20.0,0.000332098740430019,0.000332098740430019,0.00034257444964523603,0.0,0.0
no_revision,exact,pre_second,S,2,0.0666882673339172,0.05135000000000001,-0.05135000000000001,0.2759191830715407,,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,S,2,0.08067651311801842,0.06424117004405816,0.06424117004405816,0.3337948110291163,,1.0,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,S,2,0.11024785809733255,0.08302091236465592,0.0725404599185151,0.45614468867947316,,1.0,0.0,20.0,0.00018843224400032834,0.00018843224400032834,0.00022352091654951936,0.0,0.0
spf,exact,pre_second,S,2,0.7491475822559931,0.7021,-0.7021,3.099558545449945,,1.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,S,2,0.45678520692571295,0.3391322450668979,-0.306009878307959,1.8899246625051607,,1.0,1.0,0.0,,,,0.0,0.0
ar,exact,pre_third,T,2,0.3281843038069187,0.31472979484356167,-0.09300587886236822,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,T,2,0.4997323294539548,0.3752703772216981,-0.33000688641505715,1.5227185567898556,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,T,2,0.1914970109961702,0.17819064947404484,-0.17819064947404484,0.5835044783519994,,1.0,0.0,20.0,0.00021941400739005268,0.00021941400739005268,0.00025957881626929115,0.0,0.0
