model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,exact,pre_advance,DELTA_SA,0.0,77,0.5324675324675324,0.4723404255319149,35,12,24,6,0.39431818181818185,0.2205430953575319
ar,exact,pre_advance,DELTA_SA,0.1,60,0.5,0.4513888888888889,25,11,19,5,0.4930366666666667,0.22554911265382432
ar,exact,pre_advance,DELTA_SA,0.2,51,0.5686274509803921,0.506578947368421,24,8,14,5,0.5549509803921567,0.230699762304151
ar,exact,pre_second,DELTA_TS,0.0,77,0.5974025974025974,0.5375886524822695,38,9,22,8,0.2351532467532467,0.12948231972429577
ar,exact,pre_second,DELTA_TS,0.1,49,0.6122448979591837,0.5238970588235294,26,6,13,4,0.3465244897959183,0.13563013751121214
ar,exact,pre_second,DELTA_TS,0.2,36,0.6666666666666666,0.5538461538461539,21,5,7,3,0.4171083333333333,0.1530580104548606
ar,exact,pre_third,DELTA_MT,0.0,78,0.44871794871794873,0.44539473684210523,23,17,26,12,1.0207653846153844,0.977862321589168
ar,exact,pre_third,DELTA_MT,0.1,73,0.410958904109589,0.4125375375375375,19,17,26,11,1.0881534246575342,0.9524543778701978
ar,exact,pre_third,DELTA_MT,0.2,66,0.42424242424242425,0.4209558823529412,18,16,22,10,1.1870863636363636,1.0221880592586379
ar,pseudo,pre_advance,DELTA_SA,0.0,77,0.5324675324675324,0.4723404255319149,35,12,24,6,0.39431818181818185,0.2205430953575319
ar,pseudo,pre_advance,DELTA_SA,0.1,60,0.5,0.4513888888888889,25,11,19,5,0.4930366666666667,0.22554911265382432
ar,pseudo,pre_advance,DELTA_SA,0.2,51,0.5686274509803921,0.506578947368421,24,8,14,5,0.5549509803921567,0.230699762304151
