model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
no_revision,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,0.0,2.0,0.0862917117959787,0.086562832909412,0.0866588114556838,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,4,0.1962886144570712,0.1548116252172804,0.0430696125627639,0.8817295083768122,,0.75,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,4,0.2217168052840871,0.1347420190590154,0.1246452024463416,0.9959530778835396,,0.75,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,4,0.2217168052840871,0.1347420190590154,0.1246452024463416,0.9959530778835396,,0.75,1.0,0.0,,,,0.0,0.0
ar,exact,pre_advance,DELTA_SA,4,0.2226177218662235,0.1455031403937476,0.1138789099155743,1.0,1.0,0.75,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,4,0.2389210561936911,0.1458280740202106,0.1130290076869848,1.0732346651955438,,0.75,0.0,2.0,0.0664332479754276,0.0655521731317388,0.0692688637525495,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,4,0.3100212329496549,0.2381156665760441,0.1788577345617132,1.3926170403268892,,0.5,0.0,2.0,0.079750575118268,0.0804061724247816,0.0804939151519712,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.3204254192767376,0.2577950211944855,0.1803065750672215,1.4393527010814038,,0.5,0.0,2.0,0.1243206129695305,0.1228935248475887,0.1288209015766801,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,4,0.6802330921321854,0.4469020710085724,-0.2020858318768895,3.0556106963530696,,0.75,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,DELTA_TS,4,0.0983874810469687,0.0803600845475338,-0.0600133792012362,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,DELTA_TS,4,0.1024598459234908,0.0845288942523458,-0.0699575915103602,1.041391087902515,,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,DELTA_TS,4,0.1126363523955676,0.0915272113375784,-0.085010540231591,1.1448240283923592,,1.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,4,0.1503065059196547,0.1184600823817847,-0.1184600823817847,1.527699503231519,,0.5,0.0,2.0,0.0672388068588927,0.067135621754494,0.0692987749772407,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.1536723934642132,0.1347530387754858,-0.1347530387754858,1.5619100299036237,,1.0,0.0,2.0,0.1257504711851246,0.1255715528948837,0.1290358380930415,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,4,0.1537023074608053,0.1348063350277302,-0.1348063350277302,1.562214072615906,,1.0,0.0,2.0,0.0806454677596673,0.0805212701638941,0.0810793314711936,0.0,0.0
no_revision,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,0.0,2.0,0.0867972025561768,0.0866797881246065,0.0872360829728644,0.0,0.0
bridge,exact,pre_second,DELTA_TS,4,0.2039906980474367,0.1831455656700534,-0.1692984844049772,2.0733399806226815,,0.5,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_second,DELTA_TS,4,0.4710115369723843,0.3477612331004162,-0.3411281977476596,4.787311677870177,,0.5,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,0.0,2.0,0.0859100769540367,0.0860050228993695,0.0867183358911262,0.0,0.0
bridge,exact,pre_third,DELTA_MT,4,0.5552759332896955,0.4788809447099557,0.25756770551075,0.881951900251835,,0.5,1.0,0.0,,,,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,4,0.5726276793545612,0.5420338471665762,0.1389454631013884,0.9095119015001002,,0.5,0.0,2.0,0.0789787229272264,0.079081189942025,0.0805353728668932,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5741431923138749,0.5431611175927915,0.1410991994573143,0.9119190102080256,,0.5,0.0,2.0,0.1245112679746349,0.1234470658973426,0.1282338233026543,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,4,0.5922996295318197,0.5716509664672424,0.0987020950427118,0.94075711275517,,0.0,0.0,2.0,0.0663663302426054,0.0657116327922844,0.0687056553064942,0.0,0.0
ar,exact,pre_third,DELTA_MT,4,0.6295988853033146,0.4894934026892072,0.3896897513886399,1.0,1.0,0.5,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_third,DELTA_MT,4,0.6476687847705994,0.5579266076178505,0.3111794916057876,1.0287006535257437,,0.5,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_third,DELTA_MT,4,0.6549096861246385,0.5346146519012216,0.3947721115551703,1.0402014701934077,,0.5,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_third,DELTA_MT,4,3.290177920371463,2.6591305078141967,1.1174867773084762,5.225831870376314,,0.0,1.0,0.0,,,,0.0,0.0
no_revision,pseudo,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
spf,pseudo,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,0.0,2.0,0.0862911991947394,0.0865617458314697,0.0866586663468417,0.0,0.0
bridge,pseudo,pre_advance,DELTA_SA,4,0.2035166972574194,0.16209213233892,0.0338744477428037,0.9141980950632386,,0.75,1.0,0.0,,,,0.0,0.0
standard_dfm,pseudo,pre_advance,DELTA_SA,4,0.2217189807060592,0.1347604725130756,0.1246284116314245,0.9959628498907,,0.75,1.0,0.0,,,,0.0,0.0
