model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.5220660619756323,,,not_available,1.5897,0.9323660619756324,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
no_revision,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.676662735671639,,,not_available,1.5897,1.0869627356716391,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
bridge,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.3003401037625855,,,not_available,1.5897,-0.2893598962374144,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
midas_umidas,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,-1.1901251250953742,,,not_available,1.5897,-2.779825125095374,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
spf,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.0914,,,not_available,1.5897,0.5017000000000003,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.7601443625239162,13.774792671545946,3.7114407810910772,model_implied_state_space,1.5897,0.17044436252391626,False,False,2,-7349.19207902651,-8510.081799207532,-7349.19207902651,570.5476749024547,0.07203211980540618,3.0,0,{},14,expanding,40,1965:Q3,,,0.0
standard_dfm,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.0093654772458316,,,not_available,1.5897,-0.5803345227541683,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
release_dfm,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.0093654772458316,,,not_available,1.5897,-0.5803345227541683,False,True,0,,,,,,,0,{},14,expanding,40,1965:Q3,,,0.0
revision_dfm_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.9365989888372654,12.290285154425629,3.505750298356349,model_implied_state_space,1.5897,0.34689898883726555,False,False,2,-2466.1918476044993,-3523.6144761937826,-2466.1918476044993,387.8343547427121,0.1358426603664305,3.0,0,{},14,expanding,40,1965:Q3,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.2883030571273077,8.032886303134811,2.834234694434251,model_implied_state_space,1.5897,0.6986030571273079,False,False,2,-4084.2640536171657,-5651.876922386602,-4084.2640536171657,428.0280894662901,0.09483722212005176,3.0,0,{},14,expanding,40,1965:Q3,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.025121161186624,11.232308441495759,3.3514636267600695,model_implied_state_space,1.5897,0.4354211611866241,False,False,2,-4135.7704067199,-5664.033101173353,-4135.7704067199,395.2001877714647,0.08720272551014181,3.0,0,{},14,expanding,40,1965:Q3,,,0.0
