timing_mode,checkpoint_id,outcome_id,anchor_model,model_id,n_common_forecasts,RMSE,MAE,bias,first_target_quarter,last_target_quarter
exact,pre_advance,DELTA_SA,spf,ar,4,0.22261772186622356,0.14550314039374757,0.11387890991557434,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,bridge,4,0.19628861445707124,0.15481162521728045,0.04306961256276395,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,indicator_revision_only_dfm_kalman_em,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,joint_indicator_revision_dfm_full_kalman_em,4,0.31862496432764525,0.23960279371025564,0.18360172230738472,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,midas_umidas,4,0.6802330921321854,0.4469020710085724,-0.2020858318768895,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,monthly_mixed_frequency_kalman_em,4,0.24231679842295037,0.1555055822941471,0.12432275625938342,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,no_revision,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,release_dfm,4,0.2295873904408543,0.15176246583414163,0.1375857853664142,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,revision_dfm_kalman_em,4,0.3164158299217278,0.2555551827310756,0.17767517695925952,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,spf,4,0.18521783796384184,0.13862499999999994,0.03162499999999998,2024:Q1,2024:Q4
exact,pre_advance,DELTA_SA,spf,standard_dfm,4,0.2295873904408543,0.15176246583414163,0.1375857853664142,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,ar,4,0.09838748104696876,0.08036008454753382,-0.06001337920123627,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,bridge,4,0.20399069804743666,0.1831455656700534,-0.16929848440497725,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,indicator_revision_only_dfm_kalman_em,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,joint_indicator_revision_dfm_full_kalman_em,4,0.1536443269410037,0.13474572573891874,-0.13474572573891874,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,midas_umidas,4,0.47101153697238424,0.3477612331004162,-0.34112819774765957,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,monthly_mixed_frequency_kalman_em,4,0.15073344036391323,0.11956520744875222,-0.11956520744875222,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,no_revision,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,release_dfm,4,0.11821587073778395,0.09787613237516266,-0.08929709092846425,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,revision_dfm_kalman_em,4,0.15365909363048508,0.13474331276427096,-0.13474331276427096,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,spf,4,0.15440160297095354,0.13554999999999992,-0.13554999999999992,2024:Q1,2024:Q4
exact,pre_second,DELTA_TS,spf,standard_dfm,4,0.09995917497293351,0.08136199313342182,-0.06764873604382327,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,ar,4,0.6295988853033145,0.48949340268920727,0.3896897513886399,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,bridge,4,0.5552759332896955,0.4788809447099557,0.25756770551075003,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,indicator_revision_only_dfm_kalman_em,4,0.5274127178974736,0.5086,0.07469999999999992,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,joint_indicator_revision_dfm_full_kalman_em,4,0.5802871200432065,0.5489049390713269,0.1415813291418507,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,midas_umidas,4,3.2901779203714625,2.6591305078141967,1.1174867773084762,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,monthly_mixed_frequency_kalman_em,4,0.5979175183293214,0.5765884689996029,0.09867213986865352,2024:Q1,2024:Q4
exact,pre_third,DELTA_MT,spf,no_revision,4,0.5274127178974736,0.5086,0.07469999999999992,2024:Q1,2024:Q4
