timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,target_quarter,loss_diff_baseline_minus_model,cumulative_loss_diff
exact,pre_advance,DELTA_SA,ar,bridge,2024:Q1,0.08308195917709753,0.08308195917709753
exact,pre_advance,DELTA_SA,ar,bridge,2024:Q2,-0.04089950912320479,0.04218245005389274
exact,pre_advance,DELTA_SA,ar,bridge,2024:Q3,0.0020789175935691188,0.04426136764746186
exact,pre_advance,DELTA_SA,ar,bridge,2024:Q4,-0.00014364795373978442,0.04411771969372207
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,2024:Q1,0.07155817897030346,0.07155817897030346
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,2024:Q2,-0.009033581491366181,0.06252459747893728
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,2024:Q3,0.00727617350536104,0.06980077098429832
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,2024:Q4,-0.008788760628669104,0.06101201035562922
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q1,-0.16727479056097588,-0.16727479056097588
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q2,-0.009190371484443984,-0.17646516204541987
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q3,-0.027207452596576337,-0.2036726146419962
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q4,-0.004180256573547501,-0.20785287121554372
exact,pre_advance,DELTA_SA,ar,midas_umidas,2024:Q1,0.18674922130366314,0.18674922130366314
exact,pre_advance,DELTA_SA,ar,midas_umidas,2024:Q2,0.002997525708536584,0.18974674701219973
exact,pre_advance,DELTA_SA,ar,midas_umidas,2024:Q3,-0.20633145236124312,-0.016584705349043383
exact,pre_advance,DELTA_SA,ar,midas_umidas,2024:Q4,-1.6360489328221843,-1.6526336381712277
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,2024:Q1,-0.036624308642407094,-0.036624308642407094
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,2024:Q2,-0.0005353660494235505,-0.037159674691830645
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,2024:Q3,0.0005083857964917459,-0.0366512888953389
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,2024:Q4,1.6166059172966515e-05,-0.036635122836165934
exact,pre_advance,DELTA_SA,ar,no_revision,2024:Q1,0.07155817897030346,0.07155817897030346
exact,pre_advance,DELTA_SA,ar,no_revision,2024:Q2,-0.009033581491366181,0.06252459747893728
exact,pre_advance,DELTA_SA,ar,no_revision,2024:Q3,0.00727617350536104,0.06980077098429832
exact,pre_advance,DELTA_SA,ar,no_revision,2024:Q4,-0.008788760628669104,0.06101201035562922
exact,pre_advance,DELTA_SA,ar,release_dfm,2024:Q1,-0.010060578657949154,-0.010060578657949154
exact,pre_advance,DELTA_SA,ar,release_dfm,2024:Q2,0.002550195432297617,-0.007510383225651537
exact,pre_advance,DELTA_SA,ar,release_dfm,2024:Q3,-0.004477198937994425,-0.011987582163645961
exact,pre_advance,DELTA_SA,ar,release_dfm,2024:Q4,-0.0006192968784900705,-0.012606879042136032
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,2024:Q1,-0.13965235766431633,-0.13965235766431633
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,2024:Q2,-0.020907072687438605,-0.16055943035175493
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,2024:Q3,-0.032902337982733926,-0.19346176833448886
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,2024:Q4,-0.008779541010105099,-0.20224130934459394
exact,pre_advance,DELTA_SA,ar,spf,2024:Q1,0.07155817897030346,0.07155817897030346
exact,pre_advance,DELTA_SA,ar,spf,2024:Q2,-0.009033581491366181,0.06252459747893728
exact,pre_advance,DELTA_SA,ar,spf,2024:Q3,0.00727617350536104,0.06980077098429832
exact,pre_advance,DELTA_SA,ar,spf,2024:Q4,-0.008788760628669104,0.06101201035562922
exact,pre_advance,DELTA_SA,ar,standard_dfm,2024:Q1,-0.010060578657949154,-0.010060578657949154
