table,model_id,timing_mode,checkpoint_id,outcome_id,n_forecasts,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,RMSE,MAE,bias
point,ar,exact,pre_advance,A,4,1.0,0.0,,,,0.5449478501967144,0.4738680764754017,0.1182256962625478
point,bridge,exact,pre_advance,A,4,1.0,0.0,,,,0.5313621355918142,0.4645847440510615,0.110991313990592
point,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,4,0.0,2.0,0.0949425126524068,0.0949333011772937,0.0952356167529399,0.4826199576174121,0.4155653426047841,0.1442164362510379
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,4,0.0,2.0,0.0879066676791224,0.0880218923556843,0.088380160494979,0.4443182499583842,0.3663786163313611,-0.003186815534185
point,midas_umidas,exact,pre_advance,A,4,1.0,0.0,,,,1.6879081724991063,1.287988374404909,-1.087865487500332
point,monthly_mixed_frequency_kalman_em,exact,pre_advance,A,4,0.0,2.0,0.0708712908168917,0.0705605118239128,0.0720321198054061,0.4571466680052027,0.3793044059744372,-0.1668904469100756
point,no_revision,exact,pre_advance,A,4,1.0,0.0,,,,0.5997786872752903,0.4798295258536187,0.1601755279543533
point,release_dfm,exact,pre_advance,A,4,1.0,0.0,,,,0.5183869388747535,0.4009723665632263,-0.344543927792307
point,revision_dfm_kalman_em,exact,pre_advance,A,4,0.0,2.0,0.1333909733794606,0.1326087826257835,0.1358426603664305,0.4708459727929174,0.4089544719020759,0.0480022594951541
point,spf,exact,pre_advance,A,4,1.0,0.0,,,,0.7030634146362618,0.6590500000000001,-0.4081999999999999
point,standard_dfm,exact,pre_advance,A,4,1.0,0.0,,,,0.5183869388747535,0.4009723665632263,-0.344543927792307
point,ar,exact,pre_second,S,4,1.0,0.0,,,,0.738338556884482,0.5738277128651487,0.2321046061781221
point,bridge,exact,pre_second,S,4,1.0,0.0,,,,0.1587544562173639,0.1175295558283365,-0.0900265485915471
point,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,4,0.0,2.0,0.095176548975782,0.0951914820750572,0.0957204705602781,0.3284556749074753,0.2583220900028322,0.0712559964985208
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,4,0.0,2.0,0.08834925287547,0.0883682490994419,0.0888829158431821,0.4197926011212463,0.3237910707621402,0.1634281209742815
point,midas_umidas,exact,pre_second,S,4,1.0,0.0,,,,0.9209467497407416,0.6127762884199124,-0.5022513946078944
point,monthly_mixed_frequency_kalman_em,exact,pre_second,S,4,0.0,2.0,0.0710691183633165,0.0709589531259582,0.0720142101611684,0.3677412815770546,0.3345372292202962,-0.0447089560230892
point,no_revision,exact,pre_second,S,4,1.0,0.0,,,,0.1852178379638418,0.1386249999999999,0.0316249999999999
point,release_dfm,exact,pre_second,S,4,1.0,0.0,,,,0.2512065518918772,0.1793076301522368,0.1718870907074078
point,revision_dfm_kalman_em,exact,pre_second,S,4,0.0,2.0,0.1341081229591051,0.1339020475121781,0.1361257304080992,0.3887369729316834,0.2557256496051205,0.1769137141030443
point,spf,exact,pre_second,S,4,1.0,0.0,,,,0.825143552662202,0.797675,-0.376575
point,standard_dfm,exact,pre_second,S,4,1.0,0.0,,,,0.3769029880513151,0.3521531034718026,-0.2183958589929588
point,ar,exact,pre_third,T,4,1.0,0.0,,,,0.7105338846281707,0.578932871417022,0.1720912269768858
point,bridge,exact,pre_third,T,4,1.0,0.0,,,,0.4512203904879576,0.3842356300235748,-0.3616038846202543
point,indicator_revision_only_dfm_kalman_em,exact,pre_third,T,4,0.0,2.0,0.0951060449980687,0.095066148647622,0.0957351875274009,0.2223495765455065,0.1919815202891929,-0.0889457087278312
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,4,0.0,2.0,0.0878618894129689,0.0878356566813821,0.0888609009642909,0.2342703328747482,0.1942402510764556,-0.0340174674964561
point,midas_umidas,exact,pre_third,T,4,1.0,0.0,,,,0.9045773686983376,0.7836537918422019,-0.7836537918422019
point,monthly_mixed_frequency_kalman_em,exact,pre_third,T,4,0.0,2.0,0.0707782438036699,0.0706906071195928,0.0714191900683779,0.3505414549826418,0.3126034096695624,-0.076681953511785
point,no_revision,exact,pre_third,T,4,1.0,0.0,,,,0.1544016029709535,0.1355499999999999,-0.1355499999999999
point,release_dfm,exact,pre_third,T,4,1.0,0.0,,,,0.0658753012269773,0.042141981429291,-0.0281075056854253
point,revision_dfm_kalman_em,exact,pre_third,T,4,0.0,2.0,0.1336360423910247,0.1332593366351797,0.1353907154546959,0.2215287123464714,0.1766342379553228,-0.0343075083351333
point,spf,exact,pre_third,T,4,1.0,0.0,,,,0.890795746790475,0.853075,-0.5121249999999999
point,standard_dfm,exact,pre_third,T,4,1.0,0.0,,,,0.5239025929432558,0.4911660062381554,-0.3566054824336723
point,ar,pseudo,pre_advance,A,4,1.0,0.0,,,,0.5449478501967144,0.4738680764754017,0.1182256962625478
point,bridge,pseudo,pre_advance,A,4,1.0,0.0,,,,0.5049320916956728,0.4449284913768952,0.1417038082097374
point,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,4,0.0,2.0,0.0949530582865013,0.0949522922527885,0.0952333124487801,0.4830824828590634,0.4235716377499395,0.1234324246297247
point,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,4,0.0,2.0,0.0879170558931182,0.0880439374176004,0.0883778882294759,0.4403694652174553,0.3624840268167872,-0.0277223158888955
