model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
no_revision,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,0.0,2.0,0.0949425126524068,0.0949333011772937,0.0952356167529399,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,4,0.1962886144570712,0.1548116252172804,0.0430696125627639,0.8817295083768122,,0.75,1.0,0.0,,,,0.0,0.0
ar,exact,pre_advance,DELTA_SA,4,0.2226177218662235,0.1455031403937476,0.1138789099155743,1.0,1.0,0.75,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,4,0.2295873904408543,0.1517624658341416,0.1375857853664142,1.0313077885992337,,0.75,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,4,0.2295873904408543,0.1517624658341416,0.1375857853664142,1.0313077885992337,,0.75,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,4,0.2423167984229503,0.1555055822941471,0.1243227562593834,1.0884883574927806,,0.75,0.0,2.0,0.0708712908168917,0.0705605118239128,0.0720321198054061,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.3164158299217278,0.2555551827310756,0.1776751769592595,1.4213416042046725,,0.5,0.0,2.0,0.1333909733794606,0.1326087826257835,0.1358426603664305,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,4,0.3186249643276452,0.2396027937102556,0.1836017223073847,1.431265047798462,,0.5,0.0,2.0,0.0879066676791224,0.0880218923556843,0.088380160494979,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,4,0.6802330921321854,0.4469020710085724,-0.2020858318768895,3.0556106963530696,,0.75,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,DELTA_TS,4,0.0983874810469687,0.0803600845475338,-0.0600133792012362,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,DELTA_TS,4,0.0999591749729335,0.0813619931334218,-0.0676487360438232,1.015974531609509,,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,DELTA_TS,4,0.1182158707377839,0.0978761323751626,-0.0892970909284642,1.2015336654604405,,1.0,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,4,0.1507334403639132,0.1195652074487522,-0.1195652074487522,1.5320388199790913,,0.5,0.0,2.0,0.0710691183633165,0.0709589531259582,0.0720142101611684,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,4,0.1536443269410037,0.1347457257389187,-0.1347457257389187,1.5616247647163168,,1.0,0.0,2.0,0.08834925287547,0.0883682490994419,0.0888829158431821,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.1536590936304851,0.1347433127642709,-0.1347433127642709,1.5617748517936998,,1.0,0.0,2.0,0.1341081229591051,0.1339020475121781,0.1361257304080992,0.0,0.0
no_revision,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,1.5693216385654234,,0.0,0.0,2.0,0.095176548975782,0.0951914820750572,0.0957204705602781,0.0,0.0
bridge,exact,pre_second,DELTA_TS,4,0.2039906980474367,0.1831455656700534,-0.1692984844049772,2.0733399806226815,,0.5,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_second,DELTA_TS,4,0.4710115369723843,0.3477612331004162,-0.3411281977476596,4.787311677870177,,0.5,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.8376963971964276,,0.0,0.0,2.0,0.0951060449980687,0.095066148647622,0.0957351875274009,0.0,0.0
bridge,exact,pre_third,DELTA_MT,4,0.5552759332896955,0.4788809447099557,0.25756770551075,0.881951900251835,,0.5,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5740356753510906,0.5432223085415707,0.1397971039717839,0.9117482396344204,,0.5,0.0,2.0,0.1336360423910247,0.1332593366351797,0.1353907154546959,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,4,0.5802871200432065,0.5489049390713269,0.1415813291418507,0.9216774895712342,,0.5,0.0,2.0,0.0878618894129689,0.0878356566813821,0.0888609009642909,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,4,0.5979175183293214,0.5765884689996029,0.0986721398686535,0.9496800777232468,,0.0,0.0,2.0,0.0707782438036699,0.0706906071195928,0.0714191900683779,0.0,0.0
ar,exact,pre_third,DELTA_MT,4,0.6295988853033146,0.4894934026892072,0.3896897513886399,1.0,1.0,0.5,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_third,DELTA_MT,4,0.7196802756058901,0.6143362097894124,0.440080582482608,1.1430774297816266,,0.5,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_third,DELTA_MT,4,0.7434142541369634,0.623328418329602,0.386952125639175,1.1807744128689446,,0.5,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_third,DELTA_MT,4,3.290177920371463,2.6591305078141967,1.1174867773084762,5.225831870376314,,0.0,1.0,0.0,,,,0.0,0.0
no_revision,pseudo,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
spf,pseudo,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.8319995210226064,,0.0,0.0,2.0,0.0949530582865013,0.0949522922527885,0.0952333124487801,0.0,0.0
bridge,pseudo,pre_advance,DELTA_SA,4,0.2035166972574194,0.16209213233892,0.0338744477428037,0.9141980950632386,,0.75,1.0,0.0,,,,0.0,0.0
ar,pseudo,pre_advance,DELTA_SA,4,0.2226177218662235,0.1455031403937476,0.1138789099155743,1.0,1.0,0.75,1.0,0.0,,,,0.0,0.0
