timing_mode,checkpoint_id,outcome_id,model_id,revision_size_bin,n_obs,mean_squared_loss_gain_vs_no_revision,share_positive_loss_gain,mean_official_revision,mean_abs_official_revision
exact,pre_second,S,ar,abs_le_0p1,2,-0.053969113654741045,0.0,0.05135000000000001,0.05135000000000001
exact,pre_second,S,ar,abs_0p1_0p2,1,-0.18710051598747035,0.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,ar,abs_0p2_0p5,1,-1.7483139650320858,0.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,bridge,abs_le_0p1,2,-0.04357165706184077,0.5,0.05135000000000001,0.05135000000000001
exact,pre_second,S,bridge,abs_0p1_0p2,1,0.009362028371732417,1.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,bridge,abs_0p2_0p5,1,0.11419196627646529,1.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,indicator_revision_only_dfm_kalman_em,abs_le_0p1,2,-0.022450455315578273,0.5,0.05135000000000001,0.05135000000000001
exact,pre_second,S,indicator_revision_only_dfm_kalman_em,abs_0p1_0p2,1,-0.006183399014602532,0.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,indicator_revision_only_dfm_kalman_em,abs_0p2_0p5,1,-0.24205935238691245,0.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,abs_le_0p1,2,-0.02121150818006625,0.0,0.05135000000000001,0.05135000000000001
exact,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,abs_0p1_0p2,1,-0.000219826510440016,0.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,abs_0p2_0p5,1,-0.48539054381107316,0.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,midas_umidas,abs_le_0p1,2,-1.1083054711395224,0.0,0.05135000000000001,0.05135000000000001
exact,pre_second,S,midas_umidas,abs_0p1_0p2,1,-0.10850517325053124,0.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,midas_umidas,abs_0p2_0p5,1,0.1159306004679788,1.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,monthly_mixed_frequency_kalman_em,abs_le_0p1,2,-0.024812443418781596,0.0,0.05135000000000001,0.05135000000000001
exact,pre_second,S,monthly_mixed_frequency_kalman_em,abs_0p1_0p2,1,-0.09280392747560011,0.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,monthly_mixed_frequency_kalman_em,abs_0p2_0p5,1,-0.18514870481658624,0.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,release_dfm,abs_le_0p1,2,-0.002061374768881784,0.5,0.05135000000000001,0.05135000000000001
exact,pre_second,S,release_dfm,abs_0p1_0p2,1,0.01235304219790018,1.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,release_dfm,abs_0p2_0p5,1,-0.09657229163917212,0.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,revision_dfm_kalman_em,abs_le_0p1,2,-0.008009055591626721,0.5,0.05135000000000001,0.05135000000000001
exact,pre_second,S,revision_dfm_kalman_em,abs_0p1_0p2,1,0.012368648997572737,1.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,revision_dfm_kalman_em,abs_0p2_0p5,1,-0.446109952886646,0.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,spf,abs_le_0p1,2,-0.5567747749999999,0.0,0.05135000000000001,0.05135000000000001
exact,pre_second,S,spf,abs_0p1_0p2,1,-0.8793148000000001,0.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,spf,abs_0p2_0p5,1,-0.5933605900000003,0.0,-0.3404999999999998,0.3404999999999998
exact,pre_second,S,standard_dfm,abs_le_0p1,2,-0.20420540026616638,0.5,0.05135000000000001,0.05135000000000001
exact,pre_second,S,standard_dfm,abs_0p1_0p2,1,-0.16282776740407212,0.0,0.11129999999999995,0.11129999999999995
exact,pre_second,S,standard_dfm,abs_0p2_0p5,1,0.06798326331816246,1.0,-0.3404999999999998,0.3404999999999998
exact,pre_third,T,ar,abs_le_0p1,1,-0.163341856265736,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,ar,abs_0p1_0p2,2,-0.8258981544705147,0.0,0.13234999999999997,0.13234999999999997
exact,pre_third,T,ar,abs_0p2_0p5,1,-0.10893601961242862,0.0,0.23939999999999984,0.23939999999999984
exact,pre_third,T,bridge,abs_le_0p1,1,-0.11395717021364991,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,bridge,abs_0p1_0p2,2,-0.08248955717591047,0.5,0.13234999999999997,0.13234999999999997
exact,pre_third,T,bridge,abs_0p2_0p5,1,-0.44010365860294925,0.0,0.23939999999999984,0.23939999999999984
exact,pre_third,T,indicator_revision_only_dfm_kalman_em,abs_le_0p1,1,-0.010454499313535886,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,indicator_revision_only_dfm_kalman_em,abs_0p1_0p2,2,-0.010982097032152673,0.5,0.13234999999999997,0.13234999999999997
exact,pre_third,T,indicator_revision_only_dfm_kalman_em,abs_0p2_0p5,1,-0.09225374713640912,0.0,0.23939999999999984,0.23939999999999984
exact,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,abs_le_0p1,1,-0.005139800233431546,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,abs_0p1_0p2,2,-0.03341718544155396,0.5,0.13234999999999997,0.13234999999999997
exact,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,abs_0p2_0p5,1,-0.07120555198792301,0.0,0.23939999999999984,0.23939999999999984
exact,pre_third,T,midas_umidas,abs_le_0p1,1,-0.7264830758874283,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,midas_umidas,abs_0p1_0p2,2,-0.11135384144742189,0.5,0.13234999999999997,0.13234999999999997
exact,pre_third,T,midas_umidas,abs_0p2_0p5,1,-0.1106259288504131,0.0,0.23939999999999984,0.23939999999999984
exact,pre_third,T,monthly_mixed_frequency_kalman_em,abs_le_0p1,1,-0.07317330424775467,0.0,0.03810000000000002,0.03810000000000002
exact,pre_third,T,monthly_mixed_frequency_kalman_em,abs_0p1_0p2,2,-0.0663077250691814,0.5,0.13234999999999997,0.13234999999999997
exact,pre_third,T,monthly_mixed_frequency_kalman_em,abs_0p2_0p5,1,-0.1259272287083409,0.0,0.23939999999999984,0.23939999999999984
