model_id,timing_mode,forecast_origin,forecast_origin_date,checkpoint_id,target_id,target_quarter,forecast_value,forecast_variance,forecast_sd,density_source,realized_value,forecast_error,revision_target_flag,converged,n_iter,loglikelihood,llf_initial,llf_final,llf_last_improvement,llf_relative_last_improvement,llf_history_length,numerical_guard_event_count,numerical_guard_events,n_indicators,estimation_window,rolling_window_quarters,training_window_start,excluded_quarters,initialization_seed,initialization_jitter
ar,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.176983216489404,,,not_available,1.5897,-0.4127167835105958,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
no_revision,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.1769832909109001,,,not_available,1.5897,-0.41271670908909974,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
bridge,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,0.2435736234093704,,,not_available,1.5897,-1.3461263765906295,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
midas_umidas,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,-0.7861880883330234,,,not_available,1.5897,-2.3758880883330233,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
spf,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,2.0914,,,not_available,1.5897,0.5017000000000003,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.3249685339740038,31.229653432099543,5.588349795073635,model_implied_state_space,1.5897,-0.26473146602599607,False,False,2,-2558.4307211432842,-3146.1917880789088,-2558.4307211432842,217.1912258094835,0.07822138914080191,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
standard_dfm,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,-0.37871352784290524,,,not_available,1.5897,-1.9684135278429051,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
release_dfm,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,-0.37871352784290524,,,not_available,1.5897,-1.9684135278429051,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
revision_dfm_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.3464089230699434,22.034729204466935,4.694116445558944,model_implied_state_space,1.5897,-0.24329107693005647,False,False,2,-709.8971298584052,-1096.9115617180648,-709.8971298584052,138.83365994375026,0.16338546467884868,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.797576211034928,14.162994368996287,3.7633753957048035,model_implied_state_space,1.5897,0.20787621103492815,False,False,2,-1178.9599160400026,-1870.9718195688151,-1178.9599160400026,181.67402520159158,0.13342354336139248,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q1:pre_advance:exact,2024-04-24,pre_advance,A,2024:Q1,1.5223358363822377,19.077406572837017,4.367769061298573,model_implied_state_space,1.5897,-0.06736416361776221,False,False,2,-1190.4412541182414,-1873.2526422638848,-1190.4412541182414,172.31599084901723,0.12635385915266337,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
ar,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.3127942695441013,,,not_available,1.2492,0.06359426954410119,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
no_revision,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.5897,,,not_available,1.2492,0.3404999999999998,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
bridge,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,0.020899605094772067,,,not_available,1.2492,-1.228300394905228,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
midas_umidas,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,0.7197056700297355,,,not_available,1.2492,-0.5294943299702646,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
spf,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,2.0914,,,not_available,1.2492,0.8422000000000001,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.8047051604828857,17.87972681032938,4.228442598679729,model_implied_state_space,1.2492,0.5555051604828856,False,False,2,-2612.636365081243,-3178.886180425234,-2612.636365081243,214.27859559699755,0.07577264471404241,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
standard_dfm,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,-0.33719624571638507,,,not_available,1.2492,-1.5863962457163852,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
release_dfm,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.7511918810077276,,,not_available,1.2492,0.5019918810077275,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
revision_dfm_kalman_em,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.697627185675155,14.082739109353678,3.7526975776571283,model_implied_state_space,1.2492,0.44842718567515494,False,False,2,-709.2879726970394,-1098.1973292811892,-709.2879726970394,139.2022220269514,0.16386560185333252,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.711352771257832,11.642168921301137,3.4120622680867267,model_implied_state_space,1.2492,0.46215277125783194,False,False,2,-1178.5787249393134,-1872.0414701310476,-1178.5787249393134,181.76541153201106,0.13351907622943643,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q1:pre_second:exact,2024-05-29,pre_second,S,2024:Q1,1.7881468573260166,11.883582259530192,3.447257208206285,model_implied_state_space,1.2492,0.5389468573260165,False,False,2,-1189.9600674958112,-1874.403338328468,-1189.9600674958112,172.46790171068983,0.12649579266814082,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
ar,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,2.027247167655839,,,not_available,1.4095,0.617747167655839,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
no_revision,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.2492,,,not_available,1.4095,-0.1602999999999999,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
bridge,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,-0.18389384147846632,,,not_available,1.4095,-1.5933938414784663,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
midas_umidas,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.4799761497517345,,,not_available,1.4095,0.07047614975173455,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
spf,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,2.0914,,,not_available,1.4095,0.6819000000000002,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
monthly_mixed_frequency_kalman_em,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.6660244353686005,19.817223381091914,4.451654005096523,model_implied_state_space,1.4095,0.2565244353686005,False,False,2,-2630.190852753523,-3197.599153399158,-2630.190852753523,214.5893558258158,0.07540615932983187,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
standard_dfm,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,-0.3073965333644626,,,not_available,1.4095,-1.7168965333644626,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
release_dfm,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.159365684156489,,,not_available,1.4095,-0.250134315843511,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
revision_dfm_kalman_em,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.5362332004378754,12.994548125163291,3.604795157170972,model_implied_state_space,1.4095,0.1267332004378754,False,False,2,-709.7144794414846,-1099.433095349207,-709.7144794414846,139.51971438775854,0.16409562847548684,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
indicator_revision_only_dfm_kalman_em,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.5500777333101359,13.511438161401529,3.6757908212249415,model_implied_state_space,1.4095,0.1405777333101359,False,False,2,-1200.4857855192868,-1884.637639841024,-1200.4857855192868,177.63308801273547,0.1288018686582139,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,2024:Q1:pre_third:exact,2024-06-26,pre_third,T,2024:Q1,1.573696682442237,13.182459396514988,3.630765676343626,model_implied_state_space,1.4095,0.16419668244223695,False,False,2,-1207.3855264448548,-1887.8154801923315,-1207.3855264448548,172.20456450130473,0.12473258038762818,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
ar,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,1.176983216489404,,,not_available,1.5897,-0.4127167835105958,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
no_revision,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,1.1769832909109001,,,not_available,1.5897,-0.41271670908909974,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
bridge,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,0.30456365871703595,,,not_available,1.5897,-1.285136341282964,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
midas_umidas,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,-0.7981398606739669,,,not_available,1.5897,-2.387839860673967,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
spf,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,2.0914,,,not_available,1.5897,0.5017000000000003,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
monthly_mixed_frequency_kalman_em,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,1.329460772032975,31.229042498556314,5.588295133451374,model_implied_state_space,1.5897,-0.2602392279670249,False,False,2,-2559.574588121117,-3147.4625653757525,-2559.574588121117,217.14360019724654,0.07817337306226366,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
standard_dfm,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,-0.3393931467175282,,,not_available,1.5897,-1.929093146717528,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
release_dfm,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,-0.3393931467175282,,,not_available,1.5897,-1.929093146717528,False,True,0,,,,,,,0,{},14,rolling,40,2012:Q1,,,0.0
revision_dfm_kalman_em,pseudo,2024:Q1:pre_advance:pseudo,2024-04-30,pre_advance,A,2024:Q1,1.3548621581255267,22.034092533352798,4.694048629206221,model_implied_state_space,1.5897,-0.2348378418744732,False,False,2,-709.907038193647,-1096.9238124817575,-709.907038193647,138.83440155890128,0.16338428969561727,3.0,0,{},14,rolling,40,2012:Q1,,,0.0
