model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
ar,exact,pre_advance,A,4,0.9106606681971224,0.8258206550755424,-0.8258206550755424,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,A,4,1.1096919544541888,0.965462609244789,-0.34160146559025323,1.21855702481485,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,4,0.6294110957392942,0.446614254013808,-0.15085436760572618,0.691158757284828,,1.0,0.0,2.0,0.129372942672275,0.12874683044903143,0.13342354336139248,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,4,0.7934737631526113,0.5356494866570158,-0.3336606037186256,0.871316606572554,,1.0,0.0,2.0,0.1237017093139025,0.12307104488439077,0.12635385915266337,0.0,0.0
midas_umidas,exact,pre_advance,A,4,1.500582329722024,1.3228217318245568,-0.5784032251703058,1.6477952569235224,,0.75,1.0,0.0,,,,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,A,4,0.5371167056766166,0.46056587896446727,-0.46056587896446727,0.5898099307835175,,1.0,0.0,2.0,0.07677844969388138,0.07673072082171517,0.07822138914080191,0.0,0.0
no_revision,exact,pre_advance,A,4,0.9106606012086816,0.8258205789332467,-0.8258205789332467,0.9999999264397342,,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,A,4,1.3981867643440102,1.2452996530909242,-1.2452996530909242,1.5353542907613063,,0.75,1.0,0.0,,,,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,A,4,0.7311880512988784,0.5875257526281898,-0.20688284322940514,0.8029204256141266,,1.0,0.0,2.0,0.16277080110962333,0.16279340972814416,0.16414443935607897,0.0,0.0
spf,exact,pre_advance,A,4,0.7030634146362618,0.6590500000000001,-0.40819999999999995,0.7720366533762234,,1.0,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_advance,A,4,1.3981867643440102,1.2452996530909242,-1.2452996530909242,1.5353542907613063,,0.75,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,S,4,0.7487229421391953,0.6244279207874364,-0.5926307860153857,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_second,S,4,0.988330300970696,0.8291592280967255,-0.7117414529556978,1.3200213928892206,,1.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,4,0.45171898704524915,0.3411732029524125,-0.11009681732349652,0.6033192809006644,,1.0,0.0,2.0,0.13201369943864028,0.13169347357037392,0.13351907622943643,0.0,0.0
