model_id,timing_mode,checkpoint_id,outcome_id,threshold_abs_revision,n_obs,sign_accuracy,balanced_accuracy,actual_positive_pred_positive,actual_positive_pred_nonpositive,actual_negative_pred_positive,actual_negative_pred_nonpositive,mean_abs_realized_revision,mean_abs_forecast_revision
ar,exact,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.2015648690601567
ar,exact,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.2247625071581798
ar,exact,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.1358110530546972
ar,exact,pre_second,DELTA_TS,0.0,4,1.0,1.0,4,0,0,0,0.13554999999999992,0.5123196756475212
ar,exact,pre_second,DELTA_TS,0.1,3,1.0,1.0,3,0,0,0,0.16803333333333326,0.4684487734476744
ar,exact,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.4339292008086608
ar,exact,pre_third,DELTA_MT,0.0,4,0.5,0.5,0,2,0,2,0.5086,15.25517327993915
ar,exact,pre_third,DELTA_MT,0.1,4,0.5,0.5,0,2,0,2,0.5086,15.25517327993915
ar,exact,pre_third,DELTA_MT,0.2,4,0.5,0.5,0,2,0,2,0.5086,15.25517327993915
ar,pseudo,pre_advance,DELTA_SA,0.0,4,0.75,0.5,3,0,1,0,0.13862499999999994,0.2015648690601567
ar,pseudo,pre_advance,DELTA_SA,0.1,2,0.5,0.5,1,0,1,0,0.22589999999999985,0.2247625071581798
ar,pseudo,pre_advance,DELTA_SA,0.2,1,0.0,0.0,0,0,1,0,0.3404999999999998,0.1358110530546972
ar,pseudo,pre_second,DELTA_TS,0.0,4,1.0,1.0,4,0,0,0,0.13554999999999992,0.5123196756475212
ar,pseudo,pre_second,DELTA_TS,0.1,3,1.0,1.0,3,0,0,0,0.16803333333333326,0.4684487734476744
ar,pseudo,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.4339292008086608
ar,pseudo,pre_third,DELTA_MT,0.0,4,0.5,0.5,0,2,0,2,0.5086,15.25517327993915
ar,pseudo,pre_third,DELTA_MT,0.1,4,0.5,0.5,0,2,0,2,0.5086,15.25517327993915
ar,pseudo,pre_third,DELTA_MT,0.2,4,0.5,0.5,0,2,0,2,0.5086,15.25517327993915
bridge,exact,pre_advance,DELTA_SA,0.0,4,0.25,0.5,0,3,0,1,0.13862499999999994,0.17753296175849123
bridge,exact,pre_advance,DELTA_SA,0.1,2,0.5,0.5,0,1,0,1,0.22589999999999985,0.0994241207794285
bridge,exact,pre_advance,DELTA_SA,0.2,1,1.0,1.0,0,0,0,1,0.3404999999999998,0.164970461575902
bridge,exact,pre_second,DELTA_TS,0.0,4,0.5,0.5,2,2,0,0,0.13554999999999992,0.2522635139486528
bridge,exact,pre_second,DELTA_TS,0.1,3,0.6666666666666666,0.6666666666666666,2,1,0,0,0.16803333333333326,0.18069518927133257
bridge,exact,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.3416935130747305
bridge,exact,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.9333872329459475
bridge,exact,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.9333872329459475
bridge,exact,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.9333872329459475
bridge,pseudo,pre_advance,DELTA_SA,0.0,4,0.25,0.5,0,3,0,1,0.13862499999999994,0.1919279507728128
bridge,pseudo,pre_advance,DELTA_SA,0.1,2,0.5,0.5,0,1,0,1,0.22589999999999985,0.124666323430452
bridge,pseudo,pre_advance,DELTA_SA,0.2,1,1.0,1.0,0,0,0,1,0.3404999999999998,0.1699433062003066
bridge,pseudo,pre_second,DELTA_TS,0.0,4,0.5,0.5,2,2,0,0,0.13554999999999992,0.251603290926544
bridge,pseudo,pre_second,DELTA_TS,0.1,3,0.6666666666666666,0.6666666666666666,2,1,0,0,0.16803333333333326,0.18024646351474194
bridge,pseudo,pre_second,DELTA_TS,0.2,1,1.0,1.0,1,0,0,0,0.2393999999999998,0.3286232075994122
bridge,pseudo,pre_third,DELTA_MT,0.0,4,0.5,0.5,2,0,2,0,0.5086,0.968568876697019
bridge,pseudo,pre_third,DELTA_MT,0.1,4,0.5,0.5,2,0,2,0,0.5086,0.968568876697019
bridge,pseudo,pre_third,DELTA_MT,0.2,4,0.5,0.5,2,0,2,0,0.5086,0.968568876697019
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.0,4,0.0,0.5,0,3,0,1,0.13862499999999994,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.1,2,0.0,0.5,0,1,0,1,0.22589999999999985,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,0.2,1,0.0,1.0,0,0,0,1,0.3404999999999998,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.0,4,0.0,0.0,0,4,0,0,0.13554999999999992,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.1,3,0.0,0.0,0,3,0,0,0.16803333333333326,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,0.2,1,0.0,0.0,0,1,0,0,0.2393999999999998,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.0,4,0.0,0.5,0,2,0,2,0.5086,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,0.1,4,0.0,0.5,0,2,0,2,0.5086,0.0
