table,model_id,timing_mode,checkpoint_id,outcome_id,n_forecasts,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,RMSE,MAE,bias
point,ar,exact,pre_advance,A,4,1.0,0.0,,,,0.9106606681971224,0.8258206550755424,-0.8258206550755424
point,bridge,exact,pre_advance,A,4,1.0,0.0,,,,1.1096919544541888,0.965462609244789,-0.3416014655902532
point,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,4,0.0,2.0,0.129372942672275,0.1287468304490314,0.1334235433613924,0.6294110957392942,0.446614254013808,-0.1508543676057261
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,4,0.0,2.0,0.1237017093139025,0.1230710448843907,0.1263538591526633,0.7934737631526113,0.5356494866570158,-0.3336606037186256
point,midas_umidas,exact,pre_advance,A,4,1.0,0.0,,,,1.500582329722024,1.3228217318245568,-0.5784032251703058
point,monthly_mixed_frequency_kalman_em,exact,pre_advance,A,4,0.0,2.0,0.0767784496938813,0.0767307208217151,0.0782213891408019,0.5371167056766166,0.4605658789644672,-0.4605658789644672
point,no_revision,exact,pre_advance,A,4,1.0,0.0,,,,0.9106606012086816,0.8258205789332467,-0.8258205789332467
point,release_dfm,exact,pre_advance,A,4,1.0,0.0,,,,1.3981867643440102,1.2452996530909242,-1.2452996530909242
point,revision_dfm_kalman_em,exact,pre_advance,A,4,0.0,2.0,0.1627708011096233,0.1627934097281441,0.1641444393560789,0.7311880512988784,0.5875257526281898,-0.2068828432294051
point,spf,exact,pre_advance,A,4,1.0,0.0,,,,0.7030634146362618,0.6590500000000001,-0.4081999999999999
point,standard_dfm,exact,pre_advance,A,4,1.0,0.0,,,,1.3981867643440102,1.2452996530909242,-1.2452996530909242
point,ar,exact,pre_second,S,4,1.0,0.0,,,,0.7487229421391953,0.6244279207874364,-0.5926307860153857
point,bridge,exact,pre_second,S,4,1.0,0.0,,,,0.988330300970696,0.8291592280967255,-0.7117414529556978
point,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,4,0.0,2.0,0.1320136994386402,0.1316934735703739,0.1335190762294364,0.4517189870452491,0.3411732029524125,-0.1100968173234965
point,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,4,0.0,2.0,0.1249030180113162,0.1245156374687254,0.1264957926681408,0.4740292261187623,0.3394021676938376,-0.0699287390308293
