model_id,timing_mode,checkpoint_id,revision_target_id,n_forecasts,RMSE,MAE,bias,relative_RMSFE,DM_test,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,mean_numerical_guard_event_count,max_numerical_guard_event_count
no_revision,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.6703241239681028,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.6703241239681028,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.1852178379638418,0.1386249999999999,0.0316249999999999,0.6703241239681028,,0.0,0.0,2.0,0.129372942672275,0.1287468304490314,0.1334235433613924,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_advance,DELTA_SA,4,0.2351467928277691,0.1593157439749268,0.1074262306344591,0.8510226101276201,,0.75,0.0,2.0,0.0767784496938813,0.0767307208217151,0.0782213891408019,0.0,0.0
standard_dfm,exact,pre_advance,DELTA_SA,4,0.2355808770862576,0.1503020548000186,0.1238194496578115,0.8525936097327254,,0.75,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_advance,DELTA_SA,4,0.2355808770862576,0.1503020548000186,0.1238194496578115,0.8525936097327254,,0.75,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_advance,DELTA_SA,4,0.2511904928155969,0.2336727309705402,-0.1459079617584913,0.9090865593550548,,0.25,1.0,0.0,,,,0.0,0.0
ar,exact,pre_advance,DELTA_SA,4,0.2763108641643567,0.2331898690601566,0.2331898690601566,1.0,1.0,0.75,1.0,0.0,,,,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,DELTA_SA,4,0.3465459412158572,0.2907352157947568,0.2082268113705616,1.254188619270949,,0.5,0.0,2.0,0.1237017093139025,0.1230710448843907,0.1263538591526633,0.0,0.0
revision_dfm_kalman_em,exact,pre_advance,DELTA_SA,4,0.3482628041440916,0.2942351911265505,0.1749158625605565,1.2604021387191495,,0.5,0.0,2.0,0.1627708011096233,0.1627934097281441,0.1641444393560789,0.0,0.0
midas_umidas,exact,pre_advance,DELTA_SA,4,0.8867275868534378,0.7535059124397611,-0.7307356150629661,3.2091665651119308,,0.5,1.0,0.0,,,,0.0,0.0
standard_dfm,exact,pre_second,DELTA_TS,4,0.073863857214427,0.0638128337377806,-0.0193396726186589,0.1722854760740757,,1.0,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_second,DELTA_TS,4,0.0923405054647617,0.0758889410535442,-0.055328411263188,0.2153817651132624,,1.0,1.0,0.0,,,,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,DELTA_TS,4,0.1533066970152106,0.134218910259369,-0.134218910259369,0.3575837801691567,,0.75,0.0,2.0,0.1249030180113162,0.1245156374687254,0.1264957926681408,0.0,0.0
revision_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.1535077221943029,0.1345409434972644,-0.1345409434972644,0.3580526660355184,,0.5,0.0,2.0,0.1631993874423182,0.1634807129237179,0.1644574871177191,0.0,0.0
no_revision,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,0.360137619096007,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,0.360137619096007,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,DELTA_TS,4,0.1544016029709535,0.1355499999999999,-0.1355499999999999,0.360137619096007,,0.0,0.0,2.0,0.1320136994386402,0.1316934735703739,0.1335190762294364,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_second,DELTA_TS,4,0.1754780194536897,0.1433946317056247,-0.1433946317056247,0.4092977981687357,,0.5,0.0,2.0,0.0753365780011282,0.0752671523473028,0.0757726447140424,0.0,0.0
bridge,exact,pre_second,DELTA_TS,4,0.2824845115964378,0.2159135139486528,-0.1516705131146942,0.6588875858819797,,0.5,1.0,0.0,,,,0.0,0.0
ar,exact,pre_second,DELTA_TS,4,0.4287294489215594,0.3767696756475213,0.3767696756475213,1.0,1.0,1.0,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_second,DELTA_TS,4,0.5553022019085411,0.3943147017892684,-0.3943147017892684,1.29522756905402,,0.25,1.0,0.0,,,,0.0,0.0
no_revision,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.0228052931693223,,0.0,1.0,0.0,,,,0.0,0.0
spf,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.0228052931693223,,0.0,1.0,0.0,,,,0.0,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5274127178974736,0.5086,0.0746999999999999,0.0228052931693223,,0.0,0.0,2.0,0.1286959297899954,0.1280563012675596,0.1320606098435727,0.0,0.0
monthly_mixed_frequency_kalman_em,exact,pre_third,DELTA_MT,4,0.5711914811593725,0.5566791598224675,0.0564747694626165,0.0246982841740861,,0.0,0.0,2.0,0.0765125383521035,0.0765429492647074,0.0777705819804762,0.0,0.0
revision_dfm_kalman_em,exact,pre_third,DELTA_MT,4,0.5727434088167739,0.5455530734695091,0.1253513202669071,0.0247653894296168,,0.5,0.0,2.0,0.1636677638399638,0.1635236156824865,0.1649942973821853,0.0,0.0
joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,DELTA_MT,4,0.5749887914436079,0.5456264752486306,0.1277445155576577,0.0248624796349618,,0.5,0.0,2.0,0.1237806575565051,0.1239011803860617,0.1248098770564904,0.0,0.0
standard_dfm,exact,pre_third,DELTA_MT,4,0.7277688506660407,0.5862114210453362,0.472116581906732,0.0314686799080301,,0.5,1.0,0.0,,,,0.0,0.0
release_dfm,exact,pre_third,DELTA_MT,4,0.996337942245552,0.7963326822394464,0.6934573505691234,0.0430815907496681,,0.5,1.0,0.0,,,,0.0,0.0
bridge,exact,pre_third,DELTA_MT,4,1.3287434726419107,1.230391041832349,1.0080872329459474,0.0574547852414754,,0.5,1.0,0.0,,,,0.0,0.0
midas_umidas,exact,pre_third,DELTA_MT,4,1.845948771247558,1.6146279650527928,-0.4121979880650616,0.0798187102345044,,0.25,1.0,0.0,,,,0.0,0.0
