model_id,timing_mode,checkpoint_id,target_id,n_forecasts,n_variance,share_positive_variance,share_finite_sd,min_forecast_variance,median_forecast_variance,max_forecast_variance,mean_forecast_sd,empirical_error_sd,RMSE,mean_sd_to_rmse,mean_sd_to_empirical_error_sd,coverage_68,coverage_90,model_implied_share
ar,exact,pre_advance,A,4,0,0.0,0.0,,,,,0.44320514174489084,0.9106606681971224,,,,,0.0
ar,exact,pre_second,S,4,0,0.0,0.0,,,,,0.5283619915075382,0.7487229421391953,,,,,0.0
ar,exact,pre_third,T,4,0,0.0,0.0,,,,,0.6282331701254303,0.5853235908483728,,,,,0.0
ar,pseudo,pre_advance,A,4,0,0.0,0.0,,,,,0.44320514174489084,0.9106606681971224,,,,,0.0
ar,pseudo,pre_second,S,4,0,0.0,0.0,,,,,0.5283619915075382,0.7487229421391953,,,,,0.0
ar,pseudo,pre_third,T,4,0,0.0,0.0,,,,,0.6282331701254303,0.5853235908483728,,,,,0.0
bridge,exact,pre_advance,A,4,0,0.0,0.0,,,,,1.219138861375492,1.1096919544541888,,,,,0.0
bridge,exact,pre_second,S,4,0,0.0,0.0,,,,,0.7918088051723418,0.988330300970696,,,,,0.0
bridge,exact,pre_third,T,4,0,0.0,0.0,,,,,0.7147397851044854,1.1405510452162835,,,,,0.0
bridge,pseudo,pre_advance,A,4,0,0.0,0.0,,,,,1.150893354544284,1.050147679881337,,,,,0.0
bridge,pseudo,pre_second,S,4,0,0.0,0.0,,,,,0.8299222839642468,1.0478643591156662,,,,,0.0
bridge,pseudo,pre_third,T,4,0,0.0,0.0,,,,,0.7094830995404758,1.1059059648947767,,,,,0.0
indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,4,4,1.0,1.0,14.162994368996287,15.324191259730352,16.63763201241233,3.9164754787564253,0.7055978904106932,0.6294110957392942,6.222444290017176,5.550577080774492,1.0,1.0,1.0
indicator_revision_only_dfm_kalman_em,exact,pre_second,S,4,4,1.0,1.0,11.521790694809074,11.626256830887218,11.642168921301137,3.406474469851992,0.5058705158073853,0.45171898704524915,7.541136342605768,6.733886169299967,1.0,1.0,1.0
