timing_mode,checkpoint_id,outcome_id,baseline_model,model_id,target_quarter,loss_diff_baseline_minus_model,cumulative_loss_diff
exact,pre_advance,DELTA_SA,ar,bridge,2024:Q4,-0.00014364795373978442,-0.00014364795373978442
exact,pre_advance,DELTA_SA,ar,indicator_revision_only_dfm_kalman_em,2024:Q4,-0.008788760628669104,-0.008788760628669104
exact,pre_advance,DELTA_SA,ar,joint_indicator_revision_dfm_full_kalman_em,2024:Q4,-0.0034648508035859146,-0.0034648508035859146
exact,pre_advance,DELTA_SA,ar,midas_umidas,2024:Q4,-0.11574459160368963,-0.11574459160368963
exact,pre_advance,DELTA_SA,ar,monthly_mixed_frequency_kalman_em,2024:Q4,-1.6262164279153108e-06,-1.6262164279153108e-06
exact,pre_advance,DELTA_SA,ar,no_revision,2024:Q4,-0.008788760628669104,-0.008788760628669104
exact,pre_advance,DELTA_SA,ar,release_dfm,2024:Q4,2.561095288898528e-05,2.561095288898528e-05
exact,pre_advance,DELTA_SA,ar,revision_dfm_kalman_em,2024:Q4,-0.0073921714531055465,-0.0073921714531055465
exact,pre_advance,DELTA_SA,ar,standard_dfm,2024:Q4,2.561095288898528e-05,2.561095288898528e-05
exact,pre_advance,DELTA_SA,no_revision,ar,2024:Q4,0.008788760628669104,0.008788760628669104
exact,pre_advance,DELTA_SA,no_revision,bridge,2024:Q4,0.00864511267492932,0.00864511267492932
exact,pre_advance,DELTA_SA,no_revision,indicator_revision_only_dfm_kalman_em,2024:Q4,0.0,0.0
exact,pre_advance,DELTA_SA,no_revision,joint_indicator_revision_dfm_full_kalman_em,2024:Q4,0.00532390982508319,0.00532390982508319
exact,pre_advance,DELTA_SA,no_revision,midas_umidas,2024:Q4,-0.10695583097502052,-0.10695583097502052
exact,pre_advance,DELTA_SA,no_revision,monthly_mixed_frequency_kalman_em,2024:Q4,0.00878713441224119,0.00878713441224119
exact,pre_advance,DELTA_SA,no_revision,release_dfm,2024:Q4,0.00881437158155809,0.00881437158155809
exact,pre_advance,DELTA_SA,no_revision,revision_dfm_kalman_em,2024:Q4,0.0013965891755635578,0.0013965891755635578
exact,pre_advance,DELTA_SA,no_revision,standard_dfm,2024:Q4,0.00881437158155809,0.00881437158155809
exact,pre_advance,DELTA_SA,bridge,ar,2024:Q4,0.00014364795373978442,0.00014364795373978442
exact,pre_advance,DELTA_SA,bridge,indicator_revision_only_dfm_kalman_em,2024:Q4,-0.00864511267492932,-0.00864511267492932
exact,pre_advance,DELTA_SA,bridge,joint_indicator_revision_dfm_full_kalman_em,2024:Q4,-0.00332120284984613,-0.00332120284984613
exact,pre_advance,DELTA_SA,bridge,midas_umidas,2024:Q4,-0.11560094364994984,-0.11560094364994984
exact,pre_advance,DELTA_SA,bridge,monthly_mixed_frequency_kalman_em,2024:Q4,0.00014202173731186913,0.00014202173731186913
exact,pre_advance,DELTA_SA,bridge,no_revision,2024:Q4,-0.00864511267492932,-0.00864511267492932
exact,pre_advance,DELTA_SA,bridge,release_dfm,2024:Q4,0.0001692589066287697,0.0001692589066287697
exact,pre_advance,DELTA_SA,bridge,revision_dfm_kalman_em,2024:Q4,-0.007248523499365762,-0.007248523499365762
exact,pre_advance,DELTA_SA,bridge,standard_dfm,2024:Q4,0.0001692589066287697,0.0001692589066287697
exact,pre_advance,DELTA_SA,midas_umidas,ar,2024:Q4,0.11574459160368963,0.11574459160368963
exact,pre_advance,DELTA_SA,midas_umidas,bridge,2024:Q4,0.11560094364994984,0.11560094364994984
exact,pre_advance,DELTA_SA,midas_umidas,indicator_revision_only_dfm_kalman_em,2024:Q4,0.10695583097502052,0.10695583097502052
exact,pre_advance,DELTA_SA,midas_umidas,joint_indicator_revision_dfm_full_kalman_em,2024:Q4,0.11227974080010372,0.11227974080010372
exact,pre_advance,DELTA_SA,midas_umidas,monthly_mixed_frequency_kalman_em,2024:Q4,0.11574296538726171,0.11574296538726171
exact,pre_advance,DELTA_SA,midas_umidas,no_revision,2024:Q4,0.10695583097502052,0.10695583097502052
exact,pre_advance,DELTA_SA,midas_umidas,release_dfm,2024:Q4,0.11577020255657862,0.11577020255657862
exact,pre_advance,DELTA_SA,midas_umidas,revision_dfm_kalman_em,2024:Q4,0.10835242015058408,0.10835242015058408
exact,pre_advance,DELTA_SA,midas_umidas,standard_dfm,2024:Q4,0.11577020255657862,0.11577020255657862
exact,pre_advance,DELTA_SA,standard_dfm,ar,2024:Q4,-2.561095288898528e-05,-2.561095288898528e-05
exact,pre_advance,DELTA_SA,standard_dfm,bridge,2024:Q4,-0.0001692589066287697,-0.0001692589066287697
exact,pre_advance,DELTA_SA,standard_dfm,indicator_revision_only_dfm_kalman_em,2024:Q4,-0.00881437158155809,-0.00881437158155809
exact,pre_advance,DELTA_SA,standard_dfm,joint_indicator_revision_dfm_full_kalman_em,2024:Q4,-0.0034904617564749,-0.0034904617564749
exact,pre_advance,DELTA_SA,standard_dfm,midas_umidas,2024:Q4,-0.11577020255657862,-0.11577020255657862
exact,pre_advance,DELTA_SA,standard_dfm,monthly_mixed_frequency_kalman_em,2024:Q4,-2.723716931690059e-05,-2.723716931690059e-05
exact,pre_advance,DELTA_SA,standard_dfm,no_revision,2024:Q4,-0.00881437158155809,-0.00881437158155809
exact,pre_advance,DELTA_SA,standard_dfm,release_dfm,2024:Q4,0.0,0.0
exact,pre_advance,DELTA_SA,standard_dfm,revision_dfm_kalman_em,2024:Q4,-0.007417782405994532,-0.007417782405994532
exact,pre_advance,DELTA_SA,release_dfm,ar,2024:Q4,-2.561095288898528e-05,-2.561095288898528e-05
exact,pre_advance,DELTA_SA,release_dfm,bridge,2024:Q4,-0.0001692589066287697,-0.0001692589066287697
exact,pre_advance,DELTA_SA,release_dfm,indicator_revision_only_dfm_kalman_em,2024:Q4,-0.00881437158155809,-0.00881437158155809
exact,pre_advance,DELTA_SA,release_dfm,joint_indicator_revision_dfm_full_kalman_em,2024:Q4,-0.0034904617564749,-0.0034904617564749
exact,pre_advance,DELTA_SA,release_dfm,midas_umidas,2024:Q4,-0.11577020255657862,-0.11577020255657862
exact,pre_advance,DELTA_SA,release_dfm,monthly_mixed_frequency_kalman_em,2024:Q4,-2.723716931690059e-05,-2.723716931690059e-05
exact,pre_advance,DELTA_SA,release_dfm,no_revision,2024:Q4,-0.00881437158155809,-0.00881437158155809
exact,pre_advance,DELTA_SA,release_dfm,revision_dfm_kalman_em,2024:Q4,-0.007417782405994532,-0.007417782405994532
exact,pre_advance,DELTA_SA,release_dfm,standard_dfm,2024:Q4,0.0,0.0
exact,pre_second,DELTA_TS,ar,bridge,2024:Q4,-0.0001537222192183915,-0.0001537222192183915
