timing_mode,checkpoint_id,outcome_id,model_id,best_model,mean_squared_error,n_obs,test_stat_vs_best,p_value_worse_than_best_one_sided,included_in_proxy_set_alpha_10pct,method_note
exact,pre_advance,A,joint_indicator_revision_dfm_full_kalman_em,joint_indicator_revision_dfm_full_kalman_em,0.012791478740724515,1,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,revision_dfm_kalman_em,joint_indicator_revision_dfm_full_kalman_em,0.018174488381826896,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,release_dfm,joint_indicator_revision_dfm_full_kalman_em,0.030284568500856333,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,standard_dfm,joint_indicator_revision_dfm_full_kalman_em,0.030284568500856333,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,no_revision,joint_indicator_revision_dfm_full_kalman_em,0.037267287814602874,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,monthly_mixed_frequency_kalman_em,joint_indicator_revision_dfm_full_kalman_em,0.06134949723405973,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,0.063414059552275,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,bridge,joint_indicator_revision_dfm_full_kalman_em,0.06385695331527351,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,indicator_revision_only_dfm_kalman_em,joint_indicator_revision_dfm_full_kalman_em,0.06936426880136642,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_advance,A,midas_umidas,joint_indicator_revision_dfm_full_kalman_em,0.6226978860345292,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,indicator_revision_only_dfm_kalman_em,indicator_revision_only_dfm_kalman_em,1.3489621689552991e-05,1,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,release_dfm,indicator_revision_only_dfm_kalman_em,0.0002383247475101644,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,standard_dfm,indicator_revision_only_dfm_kalman_em,0.001097091179713654,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,bridge,indicator_revision_only_dfm_kalman_em,0.005161294674342761,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,revision_dfm_kalman_em,indicator_revision_only_dfm_kalman_em,0.006454779831093782,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,no_revision,indicator_revision_only_dfm_kalman_em,0.008817210000000018,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,indicator_revision_only_dfm_kalman_em,0.011983213126854462,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,monthly_mixed_frequency_kalman_em,indicator_revision_only_dfm_kalman_em,0.012581575670986079,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,ar,indicator_revision_only_dfm_kalman_em,0.060756180479201984,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_second,S,midas_umidas,indicator_revision_only_dfm_kalman_em,1.8768909479198534,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,revision_dfm_kalman_em,revision_dfm_kalman_em,5.333913825015318e-05,1,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,monthly_mixed_frequency_kalman_em,revision_dfm_kalman_em,0.0006760277837239403,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,revision_dfm_kalman_em,0.0007771724735284332,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,release_dfm,revision_dfm_kalman_em,0.0012669700806449862,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,standard_dfm,revision_dfm_kalman_em,0.0013705656327429629,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,bridge,revision_dfm_kalman_em,0.0020487836000028657,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,indicator_revision_only_dfm_kalman_em,revision_dfm_kalman_em,0.008198448516941913,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,no_revision,revision_dfm_kalman_em,0.010899360000000002,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,ar,revision_dfm_kalman_em,0.04916149491803531,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
exact,pre_third,T,midas_umidas,revision_dfm_kalman_em,0.1278945398648197,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,joint_indicator_revision_dfm_full_kalman_em,joint_indicator_revision_dfm_full_kalman_em,0.014544256405033075,1,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,release_dfm,joint_indicator_revision_dfm_full_kalman_em,0.02047254104766816,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,standard_dfm,joint_indicator_revision_dfm_full_kalman_em,0.02047254104766816,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,revision_dfm_kalman_em,joint_indicator_revision_dfm_full_kalman_em,0.02078761395668584,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,no_revision,joint_indicator_revision_dfm_full_kalman_em,0.037267287814602874,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,monthly_mixed_frequency_kalman_em,joint_indicator_revision_dfm_full_kalman_em,0.05602075260428544,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,ar,joint_indicator_revision_dfm_full_kalman_em,0.063414059552275,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,indicator_revision_only_dfm_kalman_em,joint_indicator_revision_dfm_full_kalman_em,0.07275380467261283,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,bridge,joint_indicator_revision_dfm_full_kalman_em,0.10860282801509988,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_advance,A,midas_umidas,joint_indicator_revision_dfm_full_kalman_em,0.6540845552261416,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,indicator_revision_only_dfm_kalman_em,indicator_revision_only_dfm_kalman_em,2.693037089192789e-05,1,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,release_dfm,indicator_revision_only_dfm_kalman_em,0.0002423904658829665,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,standard_dfm,indicator_revision_only_dfm_kalman_em,0.0005653474980047483,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,revision_dfm_kalman_em,indicator_revision_only_dfm_kalman_em,0.006780093773986291,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,no_revision,indicator_revision_only_dfm_kalman_em,0.008817210000000018,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,joint_indicator_revision_dfm_full_kalman_em,indicator_revision_only_dfm_kalman_em,0.01229155171489485,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,monthly_mixed_frequency_kalman_em,indicator_revision_only_dfm_kalman_em,0.012999305968738353,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,bridge,indicator_revision_only_dfm_kalman_em,0.015478457758795009,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,ar,indicator_revision_only_dfm_kalman_em,0.060756180479201984,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_second,S,midas_umidas,indicator_revision_only_dfm_kalman_em,1.9453854251055505,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_third,T,revision_dfm_kalman_em,revision_dfm_kalman_em,7.216761948103606e-05,1,0.0,1.0,True,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_third,T,bridge,revision_dfm_kalman_em,0.00016232653812151695,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_third,T,standard_dfm,revision_dfm_kalman_em,0.00021610132093666793,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_third,T,monthly_mixed_frequency_kalman_em,revision_dfm_kalman_em,0.00039637603985753116,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_third,T,joint_indicator_revision_dfm_full_kalman_em,revision_dfm_kalman_em,0.0008177022353962732,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_third,T,release_dfm,revision_dfm_kalman_em,0.0012541679417662898,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_third,T,indicator_revision_only_dfm_kalman_em,revision_dfm_kalman_em,0.008328352374775562,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
pseudo,pre_third,T,no_revision,revision_dfm_kalman_em,0.010899360000000002,1,,,False,Proxy only; not a formal Hansen-Lunde-Nason MCS implementation.
