coverage_item,value
source_dir,/Users/haaminh109/Desktop/Minh/Tài liệu học tập (DSEB)/Kì 6/Time Series/RADFM/paper_project/outputs/full_state_space_release_revision_dfm/smoke_q2_check
point_forecast_rows,60
revision_forecast_rows,60
failure_rows,0
calendar_rows,960
calendar_status::derived_from_alfred_gdpc1_vintage_date,641
calendar_status::fallback_deterministic_month_end,319
headline_A_S_T_calendar_status::derived_from_alfred_gdpc1_vintage_date,240
point_coverage::exact::pre_advance::A,1
point_coverage::exact::pre_second::S,1
point_coverage::exact::pre_third::T,1
point_coverage::pseudo::pre_advance::A,1
point_coverage::pseudo::pre_second::S,1
point_coverage::pseudo::pre_third::T,1
revision_coverage::exact::pre_advance::DELTA_SA,1
revision_coverage::exact::pre_second::DELTA_TS,1
revision_coverage::exact::pre_third::DELTA_MT,1
revision_coverage::pseudo::pre_advance::DELTA_SA,1
revision_coverage::pseudo::pre_second::DELTA_TS,1
revision_coverage::pseudo::pre_third::DELTA_MT,1
