subsample,model_id,timing_mode,checkpoint_id,target_id,n_forecasts,RMSE,MAE,bias,sign_accuracy,convergence_rate,mean_iterations,mean_llf_relative_last_improvement,median_llf_relative_last_improvement,max_llf_relative_last_improvement,relative_RMSFE,DM_test_vs_ar_normal_approx
full_sample,ar,exact,pre_advance,A,1,0.2518214835002665,0.2518214835002665,0.2518214835002665,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,exact,pre_second,S,1,0.2464876882913262,0.2464876882913262,0.2464876882913262,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,exact,pre_third,T,1,0.2217239159811934,0.2217239159811934,0.2217239159811934,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_advance,A,1,0.2518214835002665,0.2518214835002665,0.2518214835002665,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_second,S,1,0.2464876882913262,0.2464876882913262,0.2464876882913262,1.0,1.0,0.0,,,,1.0,1.0
full_sample,ar,pseudo,pre_third,T,1,0.2217239159811934,0.2217239159811934,0.2217239159811934,1.0,1.0,0.0,,,,1.0,1.0
full_sample,bridge,exact,pre_advance,A,1,0.2526993338243564,0.2526993338243564,0.2526993338243564,1.0,1.0,0.0,,,,1.0034860025121286,
full_sample,bridge,exact,pre_second,S,1,0.0718421510976861,0.0718421510976861,-0.0718421510976861,1.0,1.0,0.0,,,,0.29146344629097726,
full_sample,bridge,exact,pre_third,T,1,0.0452634908066409,0.0452634908066409,0.0452634908066409,1.0,1.0,0.0,,,,0.20414347548543274,
full_sample,bridge,pseudo,pre_advance,A,1,0.3295494318233607,0.3295494318233607,0.3295494318233607,1.0,1.0,0.0,,,,1.308662895804964,
full_sample,bridge,pseudo,pre_second,S,1,0.1244124501759973,0.1244124501759973,-0.1244124501759973,1.0,1.0,0.0,,,,0.5047410320508706,
full_sample,bridge,pseudo,pre_third,T,1,0.0127407432326971,0.0127407432326971,-0.0127407432326971,1.0,1.0,0.0,,,,0.057462196517302035,
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_advance,A,1,0.2633709718275088,0.2633709718275088,0.2633709718275088,1.0,0.0,2.0,0.0865268096985312,0.0865268096985312,0.0865268096985312,1.0458637927420122,
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_second,S,1,0.0036728220334714,0.0036728220334714,0.0036728220334714,1.0,0.0,2.0,0.0866241959415352,0.0866241959415352,0.0866241959415352,0.014900630773616799,
full_sample,indicator_revision_only_dfm_kalman_em,exact,pre_third,T,1,0.0905452843440337,0.0905452843440337,-0.0905452843440337,1.0,0.0,2.0,0.0867183358911262,0.0867183358911262,0.0867183358911262,0.40836949836170916,
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_advance,A,1,0.2697291320428938,0.2697291320428938,0.2697291320428938,1.0,0.0,2.0,0.086525156300399,0.086525156300399,0.086525156300399,1.0711124733827895,
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_second,S,1,0.0051894480334548,0.0051894480334548,0.0051894480334548,1.0,0.0,2.0,0.0866232818648659,0.0866232818648659,0.0866232818648659,0.02105357906282662,
full_sample,indicator_revision_only_dfm_kalman_em,pseudo,pre_third,T,1,0.0912598070060175,0.0912598070060175,-0.0912598070060175,1.0,0.0,2.0,0.0867177743979993,0.0867177743979993,0.0867177743979993,0.41159207657940766,
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_advance,A,1,0.1130994197187789,0.1130994197187789,0.1130994197187789,1.0,0.0,2.0,0.0803555128352569,0.0803555128352569,0.0803555128352569,0.44912538099101146,
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_second,S,1,0.1094678634433616,0.1094678634433616,0.1094678634433616,1.0,0.0,2.0,0.0804639229344099,0.0804639229344099,0.0804639229344099,0.44411087710790836,
full_sample,joint_indicator_revision_dfm_full_kalman_em,exact,pre_third,T,1,0.0278778132845536,0.0278778132845536,-0.0278778132845536,1.0,0.0,2.0,0.0805353728668932,0.0805353728668932,0.0805353728668932,0.12573209868311272,
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_advance,A,1,0.1205995705010307,0.1205995705010307,0.1205995705010307,1.0,0.0,2.0,0.0803538512415582,0.0803538512415582,0.0803538512415582,0.47890898276319255,
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_second,S,1,0.110867270710949,0.110867270710949,0.110867270710949,1.0,0.0,2.0,0.0804630656774176,0.0804630656774176,0.0804630656774176,0.4497882692620083,
full_sample,joint_indicator_revision_dfm_full_kalman_em,pseudo,pre_third,T,1,0.0285954932707284,0.0285954932707284,-0.0285954932707284,1.0,0.0,2.0,0.0805348101770204,0.0805348101770204,0.0805348101770204,0.12896891679088812,
full_sample,midas_umidas,exact,pre_advance,A,1,0.7891120871172417,0.7891120871172417,-0.7891120871172417,1.0,1.0,0.0,,,,3.133617021664502,
full_sample,midas_umidas,exact,pre_second,S,1,1.369996696317131,1.369996696317131,-1.369996696317131,1.0,1.0,0.0,,,,5.55807353224847,
full_sample,midas_umidas,exact,pre_third,T,1,0.3576234610100681,0.3576234610100681,0.3576234610100681,1.0,1.0,0.0,,,,1.6129223562892587,
full_sample,midas_umidas,pseudo,pre_advance,A,1,0.8087549413921016,0.8087549413921016,-0.8087549413921016,1.0,1.0,0.0,,,,3.211620113385781,
full_sample,midas_umidas,pseudo,pre_second,S,1,1.3947707428482827,1.3947707428482827,-1.3947707428482827,1.0,1.0,0.0,,,,5.658581783605312,
full_sample,midas_umidas,pseudo,pre_third,T,1,0.3517933009049452,0.3517933009049452,0.3517933009049452,1.0,1.0,0.0,,,,1.5866276731950932,
full_sample,monthly_mixed_frequency_kalman_em,exact,pre_advance,A,1,0.2476883066155117,0.2476883066155117,0.2476883066155117,1.0,0.0,2.0,0.0653597818856832,0.0653597818856832,0.0653597818856832,0.9835868773890754,
full_sample,monthly_mixed_frequency_kalman_em,exact,pre_second,S,1,0.1121676230959098,0.1121676230959098,-0.1121676230959098,1.0,0.0,2.0,0.068786432195151,0.068786432195151,0.068786432195151,0.45506379597887986,
full_sample,monthly_mixed_frequency_kalman_em,exact,pre_third,T,1,0.0260005342968936,0.0260005342968936,0.0260005342968936,1.0,0.0,2.0,0.065521540048137,0.065521540048137,0.065521540048137,0.11726535760399867,
full_sample,monthly_mixed_frequency_kalman_em,pseudo,pre_advance,A,1,0.2366870351419474,0.2366870351419474,0.2366870351419474,1.0,0.0,2.0,0.0653480903140892,0.0653480903140892,0.0653480903140892,0.9399000905405154,
full_sample,monthly_mixed_frequency_kalman_em,pseudo,pre_second,S,1,0.1140144989408731,0.1140144989408731,-0.1140144989408731,1.0,0.0,2.0,0.0687778501229111,0.0687778501229111,0.0687778501229111,0.46255656715039756,
full_sample,monthly_mixed_frequency_kalman_em,pseudo,pre_third,T,1,0.0199091948570888,0.0199091948570888,0.0199091948570888,1.0,0.0,2.0,0.0655081763483049,0.0655081763483049,0.0655081763483049,0.08979272609806105,
full_sample,no_revision,exact,pre_advance,A,1,0.1930473719443051,0.1930473719443051,0.1930473719443051,1.0,1.0,0.0,,,,0.7666040611824956,
full_sample,no_revision,exact,pre_second,S,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,1.0,1.0,0.0,,,,0.380952089943814,
full_sample,no_revision,exact,pre_third,T,1,0.1044,0.1044,-0.1044,1.0,1.0,0.0,,,,0.4708558368094816,
full_sample,no_revision,pseudo,pre_advance,A,1,0.1930473719443051,0.1930473719443051,0.1930473719443051,1.0,1.0,0.0,,,,0.7666040611824956,
full_sample,no_revision,pseudo,pre_second,S,1,0.0939000000000001,0.0939000000000001,-0.0939000000000001,1.0,1.0,0.0,,,,0.380952089943814,
full_sample,no_revision,pseudo,pre_third,T,1,0.1044,0.1044,-0.1044,1.0,1.0,0.0,,,,0.4708558368094816,
full_sample,release_dfm,exact,pre_advance,A,1,0.1740246203870485,0.1740246203870485,-0.1740246203870485,1.0,1.0,0.0,,,,0.6910634389415163,
full_sample,release_dfm,exact,pre_second,S,1,0.0154377701599086,0.0154377701599086,0.0154377701599086,1.0,1.0,0.0,,,,0.06263099900414722,
full_sample,release_dfm,exact,pre_third,T,1,0.035594523183279,0.035594523183279,-0.035594523183279,1.0,1.0,0.0,,,,0.16053533524231153,
full_sample,release_dfm,pseudo,pre_advance,A,1,0.143082287679741,0.143082287679741,-0.143082287679741,1.0,1.0,0.0,,,,0.5681893605379763,
full_sample,release_dfm,pseudo,pre_second,S,1,0.0155688941766256,0.0155688941766256,0.0155688941766256,1.0,1.0,0.0,,,,0.06316296884664102,
full_sample,release_dfm,pseudo,pre_third,T,1,0.0354142336041074,0.0354142336041074,-0.0354142336041074,1.0,1.0,0.0,,,,0.1597222087991231,
full_sample,revision_dfm_kalman_em,exact,pre_advance,A,1,0.1348127901270013,0.1348127901270013,0.1348127901270013,1.0,0.0,2.0,0.1226745006062646,0.1226745006062646,0.1226745006062646,0.5353506311420749,
full_sample,revision_dfm_kalman_em,exact,pre_second,S,1,0.0803416444385711,0.0803416444385711,0.0803416444385711,1.0,0.0,2.0,0.1281157179698546,0.1281157179698546,0.1281157179698546,0.3259458717614104,
full_sample,revision_dfm_kalman_em,exact,pre_third,T,1,0.0073033648580742,0.0073033648580742,-0.0073033648580742,1.0,0.0,2.0,0.1229171168012,0.1229171168012,0.1229171168012,0.03293900356104874,
full_sample,revision_dfm_kalman_em,pseudo,pre_advance,A,1,0.1441791037449111,0.1441791037449111,0.1441791037449111,1.0,0.0,2.0,0.1226719294723463,0.1226719294723463,0.1226719294723463,0.5725448906934048,
full_sample,revision_dfm_kalman_em,pseudo,pre_second,S,1,0.0823413248253044,0.0823413248253044,0.0823413248253044,1.0,0.0,2.0,0.1281209085748072,0.1281209085748072,0.1281209085748072,0.3340585706170622,
full_sample,revision_dfm_kalman_em,pseudo,pre_third,T,1,0.0084951527049863,0.0084951527049863,-0.0084951527049863,1.0,0.0,2.0,0.1229188096232703,0.1229188096232703,0.1229188096232703,0.03831410187481471,
full_sample,standard_dfm,exact,pre_advance,A,1,0.1740246203870485,0.1740246203870485,-0.1740246203870485,1.0,1.0,0.0,,,,0.6910634389415163,
full_sample,standard_dfm,exact,pre_second,S,1,0.0331223667589388,0.0331223667589388,0.0331223667589388,1.0,1.0,0.0,,,,0.13437736784561488,
full_sample,standard_dfm,exact,pre_third,T,1,0.0370211511536711,0.0370211511536711,0.0370211511536711,1.0,1.0,0.0,,,,0.16696958913900486,
